# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: [(1,0),(2,4)] on p6m
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 4.4055 AA; b = 15.2611 AA
#        Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
# Surface lattice: Hexagonal (p6m); a = 4.4055 AA; alpha = 120.00 deg
#
# Exporting beams from 12 domain(s) out of 12 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[1 0] [2 4]]
# Domain 2 - Basis: a = [4.4055 0.0000]; b = [ -0.0000 -15.2611]
#            Superlattice: [[ 1  0] [-2 -4]]
# Domain 3 - Basis: a = [-2.2028 -3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[-1 -1] [-2  2]]
# Domain 4 - Basis: a = [-4.4055  0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[-1  0] [ 2  4]]
# Domain 5 - Basis: a = [2.2028 3.8153]; b = [13.2165 -7.6305]
#            Superlattice: [[ 1  1] [ 2 -2]]
# Domain 6 - Basis: a = [-2.2027  3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[0 1] [4 2]]
# Domain 7 - Basis: a = [ 2.2027 -3.8153]; b = [-13.2165  -7.6305]
#            Superlattice: [[ 0 -1] [-4 -2]]
# Domain 8 - Basis: a = [2.2028 3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[ 1  1] [-2  2]]
# Domain 9 - Basis: a = [ 2.2027 -3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[ 0 -1] [ 4  2]]
# Domain 10 - Basis: a = [-2.2027  3.8153]; b = [-13.2165  -7.6305]
#             Superlattice: [[ 0  1] [-4 -2]]
# Domain 11 - Basis: a = [-4.4055  0.0000]; b = [ -0.0000 -15.2611]
#             Superlattice: [[-1  0] [-2 -4]]
# Domain 12 - Basis: a = [-2.2028 -3.8153]; b = [13.2165 -7.6305]
#             Superlattice: [[-1 -1] [ 2 -2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,        domain(s)         ,
(  0  | -5/2), 0.00000,-2.50000,  0.00000, -4.11712,   25,                  1+2+4+11,
( -5/2|  0  ),-2.50000, 0.00000, -3.56553, -2.05856,   25,                  6+7+9+10,
(  3/2|  3/2), 1.50000, 1.50000,  2.13932,  3.70541,   26,                  3+5+8+12,
(  3  | -3/2), 3.00000,-1.50000,  4.27864, -0.00000,   26,                  1+2+4+11,
( -3/2|  3  ),-1.50000, 3.00000, -2.13932,  3.70541,   26,                  6+7+9+10,
(  3/2| -3  ), 1.50000,-3.00000,  2.13932, -3.70541,   26,                  6+7+9+10,
( -3  |  3/2),-3.00000, 1.50000, -4.27864,  0.00000,   26,                  1+2+4+11,
( -3/2| -3/2),-1.50000,-1.50000, -2.13932, -3.70541,   26,                  3+5+8+12,
(  7/4|  5/4), 1.75000, 1.25000,  2.49587,  3.49956,   27,                  3+5+8+12,
(  5/4|  7/4), 1.25000, 1.75000,  1.78277,  3.91127,   27,                  3+5+8+12,
(  3  | -5/4), 3.00000,-1.25000,  4.27864,  0.41171,   27,                  1+2+4+11,
( -5/4|  3  ),-1.25000, 3.00000, -1.78277,  3.91127,   27,                  6+7+9+10,
(  3  | -7/4), 3.00000,-1.75000,  4.27864, -0.41171,   27,                  1+2+4+11,
( -7/4|  3  ),-1.75000, 3.00000, -2.49587,  3.49956,   27,                  6+7+9+10,
(  7/4| -3  ), 1.75000,-3.00000,  2.49587, -3.49956,   27,                  6+7+9+10,
( -3  |  7/4),-3.00000, 1.75000, -4.27864,  0.41171,   27,                  1+2+4+11,
(  5/4| -3  ), 1.25000,-3.00000,  1.78277, -3.91127,   27,                  6+7+9+10,
( -3  |  5/4),-3.00000, 1.25000, -4.27864, -0.41171,   27,                  1+2+4+11,
( -5/4| -7/4),-1.25000,-1.75000, -1.78277, -3.91127,   27,                  3+5+8+12,
( -7/4| -5/4),-1.75000,-1.25000, -2.49587, -3.49956,   27,                  3+5+8+12,
(  2  |  1  ), 2.00000, 1.00000,  2.85243,  3.29370,   28,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  |  2  ), 1.00000, 2.00000,  1.42621,  4.11712,   28,1+2+3+4+5+6+7+8+9+10+11+12,
(  3  | -1  ), 3.00000,-1.00000,  4.27864,  0.82342,   28,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  |  3  ),-1.00000, 3.00000, -1.42621,  4.11712,   28,1+2+3+4+5+6+7+8+9+10+11+12,
(  3  | -2  ), 3.00000,-2.00000,  4.27864, -0.82342,   28,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  |  3  ),-2.00000, 3.00000, -2.85243,  3.29370,   28,1+2+3+4+5+6+7+8+9+10+11+12,
(  2  | -3  ), 2.00000,-3.00000,  2.85243, -3.29370,   28,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  |  2  ),-3.00000, 2.00000, -4.27864,  0.82342,   28,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  | -3  ), 1.00000,-3.00000,  1.42621, -4.11712,   28,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  |  1  ),-3.00000, 1.00000, -4.27864, -0.82342,   28,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  | -2  ),-1.00000,-2.00000, -1.42621, -4.11712,   28,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  | -1  ),-2.00000,-1.00000, -2.85243, -3.29370,   28,1+2+3+4+5+6+7+8+9+10+11+12,
(  9/4|  3/4), 2.25000, 0.75000,  3.20898,  3.08784,   29,                  3+5+8+12,
(  3/4|  9/4), 0.75000, 2.25000,  1.06966,  4.32298,   29,                  3+5+8+12,
(  3  | -3/4), 3.00000,-0.75000,  4.27864,  1.23514,   29,                  1+2+4+11,
( -3/4|  3  ),-0.75000, 3.00000, -1.06966,  4.32298,   29,                  6+7+9+10,
(  3  | -9/4), 3.00000,-2.25000,  4.27864, -1.23514,   29,                  1+2+4+11,
( -9/4|  3  ),-2.25000, 3.00000, -3.20898,  3.08784,   29,                  6+7+9+10,
(  9/4| -3  ), 2.25000,-3.00000,  3.20898, -3.08784,   29,                  6+7+9+10,
( -3  |  9/4),-3.00000, 2.25000, -4.27864,  1.23514,   29,                  1+2+4+11,
(  3/4| -3  ), 0.75000,-3.00000,  1.06966, -4.32298,   29,                  6+7+9+10,
( -3  |  3/4),-3.00000, 0.75000, -4.27864, -1.23514,   29,                  1+2+4+11,
( -3/4| -9/4),-0.75000,-2.25000, -1.06966, -4.32298,   29,                  3+5+8+12,
( -9/4| -3/4),-2.25000,-0.75000, -3.20898, -3.08784,   29,                  3+5+8+12,
( 11/4|  0  ), 2.75000, 0.00000,  3.92209,  2.26442,   30,                  6+7+9+10,
(  0  | 11/4), 0.00000, 2.75000,  0.00000,  4.52884,   30,                  1+2+4+11,
( 11/4|-11/4), 2.75000,-2.75000,  3.92209, -2.26442,   30,                  3+5+8+12,
(-11/4| 11/4),-2.75000, 2.75000, -3.92209,  2.26442,   30,                  3+5+8+12,
(  0  |-11/4), 0.00000,-2.75000,  0.00000, -4.52884,   30,                  1+2+4+11,
(-11/4|  0  ),-2.75000, 0.00000, -3.92209, -2.26442,   30,                  6+7+9+10,
(  5/2|  1/2), 2.50000, 0.50000,  3.56553,  2.88199,   31,                  3+5+8+12,
(  1/2|  5/2), 0.50000, 2.50000,  0.71311,  4.52884,   31,                  3+5+8+12,
(  3  | -1/2), 3.00000,-0.50000,  4.27864,  1.64685,   31,                  1+2+4+11,
( -1/2|  3  ),-0.50000, 3.00000, -0.71311,  4.52884,   31,                  6+7+9+10,
(  3  | -5/2), 3.00000,-2.50000,  4.27864, -1.64685,   31,                  1+2+4+11,
( -5/2|  3  ),-2.50000, 3.00000, -3.56553,  2.88199,   31,                  6+7+9+10,
(  5/2| -3  ), 2.50000,-3.00000,  3.56553, -2.88199,   31,                  6+7+9+10,
( -3  |  5/2),-3.00000, 2.50000, -4.27864,  1.64685,   31,                  1+2+4+11,
(  1/2| -3  ), 0.50000,-3.00000,  0.71311, -4.52884,   31,                  6+7+9+10,
( -3  |  1/2),-3.00000, 0.50000, -4.27864, -1.64685,   31,                  1+2+4+11,
( -1/2| -5/2),-0.50000,-2.50000, -0.71311, -4.52884,   31,                  3+5+8+12,
( -5/2| -1/2),-2.50000,-0.50000, -3.56553, -2.88199,   31,                  3+5+8+12,
(  2  |  5/4), 2.00000, 1.25000,  2.85243,  3.70541,   32,                  1+2+4+11,
(  5/4|  2  ), 1.25000, 2.00000,  1.78277,  4.32298,   32,                  6+7+9+10,
( 13/4| -5/4), 3.25000,-1.25000,  4.63520,  0.61757,   32,                  3+5+8+12,
( -5/4| 13/4),-1.25000, 3.25000, -1.78277,  4.32298,   32,                  3+5+8+12,
( 13/4| -2  ), 3.25000,-2.00000,  4.63520, -0.61757,   32,                  6+7+9+10,
( -2  | 13/4),-2.00000, 3.25000, -2.85243,  3.70541,   32,                  1+2+4+11,
(  2  |-13/4), 2.00000,-3.25000,  2.85243, -3.70541,   32,                  1+2+4+11,
(-13/4|  2  ),-3.25000, 2.00000, -4.63520,  0.61757,   32,                  6+7+9+10,
(  5/4|-13/4), 1.25000,-3.25000,  1.78277, -4.32298,   32,                  3+5+8+12,
(-13/4|  5/4),-3.25000, 1.25000, -4.63520, -0.61757,   32,                  3+5+8+12,
( -5/4| -2  ),-1.25000,-2.00000, -1.78277, -4.32298,   32,                  6+7+9+10,
( -2  | -5/4),-2.00000,-1.25000, -2.85243, -3.70541,   32,                  1+2+4+11,
( 11/4|  1/4), 2.75000, 0.25000,  3.92209,  2.67613,   33,                  3+5+8+12,
(  1/4| 11/4), 0.25000, 2.75000,  0.35655,  4.73469,   33,                  3+5+8+12,
(  3  | -1/4), 3.00000,-0.25000,  4.27864,  2.05856,   33,                  1+2+4+11,
( -1/4|  3  ),-0.25000, 3.00000, -0.35655,  4.73469,   33,                  6+7+9+10,
(  3  |-11/4), 3.00000,-2.75000,  4.27864, -2.05856,   33,                  1+2+4+11,
(-11/4|  3  ),-2.75000, 3.00000, -3.92209,  2.67613,   33,                  6+7+9+10,
( 11/4| -3  ), 2.75000,-3.00000,  3.92209, -2.67613,   33,                  6+7+9+10,
( -3  | 11/4),-3.00000, 2.75000, -4.27864,  2.05856,   33,                  1+2+4+11,
(  1/4| -3  ), 0.25000,-3.00000,  0.35655, -4.73469,   33,                  6+7+9+10,
( -3  |  1/4),-3.00000, 0.25000, -4.27864, -2.05856,   33,                  1+2+4+11,
( -1/4|-11/4),-0.25000,-2.75000, -0.35655, -4.73469,   33,                  3+5+8+12,
(-11/4| -1/4),-2.75000,-0.25000, -3.92209, -2.67613,   33,                  3+5+8+12,
(  9/4|  1  ), 2.25000, 1.00000,  3.20898,  3.49956,   34,                  6+7+9+10,
(  1  |  9/4), 1.00000, 2.25000,  1.42621,  4.52884,   34,                  1+2+4+11,
( 13/4| -1  ), 3.25000,-1.00000,  4.63520,  1.02928,   34,                  6+7+9+10,
( -1  | 13/4),-1.00000, 3.25000, -1.42621,  4.52884,   34,                  1+2+4+11,
( 13/4| -9/4), 3.25000,-2.25000,  4.63520, -1.02928,   34,                  3+5+8+12,
( -9/4| 13/4),-2.25000, 3.25000, -3.20898,  3.49956,   34,                  3+5+8+12,
(  9/4|-13/4), 2.25000,-3.25000,  3.20898, -3.49956,   34,                  3+5+8+12,
(-13/4|  9/4),-3.25000, 2.25000, -4.63520,  1.02928,   34,                  3+5+8+12,
(  1  |-13/4), 1.00000,-3.25000,  1.42621, -4.52884,   34,                  1+2+4+11,
(-13/4|  1  ),-3.25000, 1.00000, -4.63520, -1.02928,   34,                  6+7+9+10,
( -1  | -9/4),-1.00000,-2.25000, -1.42621, -4.52884,   34,                  1+2+4+11,
( -9/4| -1  ),-2.25000,-1.00000, -3.20898, -3.49956,   34,                  6+7+9+10,
(  3  |  0  ), 3.00000, 0.00000,  4.27864,  2.47027,   35,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  |  3  ), 0.00000, 3.00000,  0.00000,  4.94055,   35,1+2+3+4+5+6+7+8+9+10+11+12,
(  3  | -3  ), 3.00000,-3.00000,  4.27864, -2.47027,   35,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  |  3  ),-3.00000, 3.00000, -4.27864,  2.47027,   35,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  | -3  ), 0.00000,-3.00000,  0.00000, -4.94055,   35,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  |  0  ),-3.00000, 0.00000, -4.27864, -2.47027,   35,1+2+3+4+5+6+7+8+9+10+11+12,
(  2  |  3/2), 2.00000, 1.50000,  2.85243,  4.11712,   36,                  1+2+4+11,
(  3/2|  2  ), 1.50000, 2.00000,  2.13932,  4.52884,   36,                  6+7+9+10,
(  7/2| -3/2), 3.50000,-1.50000,  4.99175,  0.41171,   36,                  3+5+8+12,
( -3/2|  7/2),-1.50000, 3.50000, -2.13932,  4.52884,   36,                  3+5+8+12,
(  7/2| -2  ), 3.50000,-2.00000,  4.99175, -0.41171,   36,                  6+7+9+10,
( -2  |  7/2),-2.00000, 3.50000, -2.85243,  4.11712,   36,                  1+2+4+11,
(  2  | -7/2), 2.00000,-3.50000,  2.85243, -4.11712,   36,                  1+2+4+11,
( -7/2|  2  ),-3.50000, 2.00000, -4.99175,  0.41171,   36,                  6+7+9+10,
(  3/2| -7/2), 1.50000,-3.50000,  2.13932, -4.52884,   36,                  3+5+8+12,
( -7/2|  3/2),-3.50000, 1.50000, -4.99175, -0.41171,   36,                  3+5+8+12,
( -3/2| -2  ),-1.50000,-2.00000, -2.13932, -4.52884,   36,                  6+7+9+10,
( -2  | -3/2),-2.00000,-1.50000, -2.85243, -4.11712,   36,                  1+2+4+11,
(  5/2|  1  ), 2.50000, 1.00000,  3.56553,  3.70541,   37,                  6+7+9+10,
(  1  |  5/2), 1.00000, 2.50000,  1.42621,  4.94055,   37,                  1+2+4+11,
(  7/2| -1  ), 3.50000,-1.00000,  4.99175,  1.23514,   37,                  6+7+9+10,
( -1  |  7/2),-1.00000, 3.50000, -1.42621,  4.94055,   37,                  1+2+4+11,
(  7/2| -5/2), 3.50000,-2.50000,  4.99175, -1.23514,   37,                  3+5+8+12,
( -5/2|  7/2),-2.50000, 3.50000, -3.56553,  3.70541,   37,                  3+5+8+12,
(  5/2| -7/2), 2.50000,-3.50000,  3.56553, -3.70541,   37,                  3+5+8+12,
( -7/2|  5/2),-3.50000, 2.50000, -4.99175,  1.23514,   37,                  3+5+8+12,
(  1  | -7/2), 1.00000,-3.50000,  1.42621, -4.94055,   37,                  1+2+4+11,
( -7/2|  1  ),-3.50000, 1.00000, -4.99175, -1.23514,   37,                  6+7+9+10,
( -1  | -5/2),-1.00000,-2.50000, -1.42621, -4.94055,   37,                  1+2+4+11,
( -5/2| -1  ),-2.50000,-1.00000, -3.56553, -3.70541,   37,                  6+7+9+10,
(  3  |  1/4), 3.00000, 0.25000,  4.27864,  2.88199,   38,                  1+2+4+11,
(  1/4|  3  ), 0.25000, 3.00000,  0.35655,  5.14641,   38,                  6+7+9+10,
( 13/4| -1/4), 3.25000,-0.25000,  4.63520,  2.26442,   38,                  3+5+8+12,
( -1/4| 13/4),-0.25000, 3.25000, -0.35655,  5.14641,   38,                  3+5+8+12,
( 13/4| -3  ), 3.25000,-3.00000,  4.63520, -2.26442,   38,                  6+7+9+10,
( -3  | 13/4),-3.00000, 3.25000, -4.27864,  2.88199,   38,                  1+2+4+11,
(  3  |-13/4), 3.00000,-3.25000,  4.27864, -2.88199,   38,                  1+2+4+11,
(-13/4|  3  ),-3.25000, 3.00000, -4.63520,  2.26442,   38,                  6+7+9+10,
(  1/4|-13/4), 0.25000,-3.25000,  0.35655, -5.14641,   38,                  3+5+8+12,
(-13/4|  1/4),-3.25000, 0.25000, -4.63520, -2.26442,   38,                  3+5+8+12,
( -1/4| -3  ),-0.25000,-3.00000, -0.35655, -5.14641,   38,                  6+7+9+10,
( -3  | -1/4),-3.00000,-0.25000, -4.27864, -2.88199,   38,                  1+2+4+11,
(  2  |  7/4), 2.00000, 1.75000,  2.85243,  4.52884,   39,                  1+2+4+11,
(  7/4|  2  ), 1.75000, 2.00000,  2.49587,  4.73469,   39,                  6+7+9+10,
( 15/4| -7/4), 3.75000,-1.75000,  5.34830,  0.20586,   39,                  3+5+8+12,
( -7/4| 15/4),-1.75000, 3.75000, -2.49587,  4.73469,   39,                  3+5+8+12,
( 15/4| -2  ), 3.75000,-2.00000,  5.34830, -0.20586,   39,                  6+7+9+10,
( -2  | 15/4),-2.00000, 3.75000, -2.85243,  4.52884,   39,                  1+2+4+11,
(  2  |-15/4), 2.00000,-3.75000,  2.85243, -4.52884,   39,                  1+2+4+11,
(-15/4|  2  ),-3.75000, 2.00000, -5.34830,  0.20586,   39,                  6+7+9+10,
(  7/4|-15/4), 1.75000,-3.75000,  2.49587, -4.73469,   39,                  3+5+8+12,
(-15/4|  7/4),-3.75000, 1.75000, -5.34830, -0.20586,   39,                  3+5+8+12,
( -7/4| -2  ),-1.75000,-2.00000, -2.49587, -4.73469,   39,                  6+7+9+10,
( -2  | -7/4),-2.00000,-1.75000, -2.85243, -4.52884,   39,                  1+2+4+11,
( 13/4|  0  ), 3.25000, 0.00000,  4.63520,  2.67613,   40,                  6+7+9+10,
(  0  | 13/4), 0.00000, 3.25000,  0.00000,  5.35226,   40,                  1+2+4+11,
( 13/4|-13/4), 3.25000,-3.25000,  4.63520, -2.67613,   40,                  3+5+8+12,
(-13/4| 13/4),-3.25000, 3.25000, -4.63520,  2.67613,   40,                  3+5+8+12,
(  0  |-13/4), 0.00000,-3.25000,  0.00000, -5.35226,   40,                  1+2+4+11,
(-13/4|  0  ),-3.25000, 0.00000, -4.63520, -2.67613,   40,                  6+7+9+10,
(  3  |  1/2), 3.00000, 0.50000,  4.27864,  3.29370,   41,                  1+2+4+11,
(  1/2|  3  ), 0.50000, 3.00000,  0.71311,  5.35226,   41,                  6+7+9+10,
(  7/2| -1/2), 3.50000,-0.50000,  4.99175,  2.05856,   41,                  3+5+8+12,
( -1/2|  7/2),-0.50000, 3.50000, -0.71311,  5.35226,   41,                  3+5+8+12,
(  7/2| -3  ), 3.50000,-3.00000,  4.99175, -2.05856,   41,                  6+7+9+10,
( -3  |  7/2),-3.00000, 3.50000, -4.27864,  3.29370,   41,                  1+2+4+11,
(  3  | -7/2), 3.00000,-3.50000,  4.27864, -3.29370,   41,                  1+2+4+11,
( -7/2|  3  ),-3.50000, 3.00000, -4.99175,  2.05856,   41,                  6+7+9+10,
(  1/2| -7/2), 0.50000,-3.50000,  0.71311, -5.35226,   41,                  3+5+8+12,
( -7/2|  1/2),-3.50000, 0.50000, -4.99175, -2.05856,   41,                  3+5+8+12,
( -1/2| -3  ),-0.50000,-3.00000, -0.71311, -5.35226,   41,                  6+7+9+10,
( -3  | -1/2),-3.00000,-0.50000, -4.27864, -3.29370,   41,                  1+2+4+11,
( 11/4|  1  ), 2.75000, 1.00000,  3.92209,  3.91127,   42,                  6+7+9+10,
(  1  | 11/4), 1.00000, 2.75000,  1.42621,  5.35226,   42,                  1+2+4+11,
( 15/4| -1  ), 3.75000,-1.00000,  5.34830,  1.44099,   42,                  6+7+9+10,
( -1  | 15/4),-1.00000, 3.75000, -1.42621,  5.35226,   42,                  1+2+4+11,
( 15/4|-11/4), 3.75000,-2.75000,  5.34830, -1.44099,   42,                  3+5+8+12,
(-11/4| 15/4),-2.75000, 3.75000, -3.92209,  3.91127,   42,                  3+5+8+12,
( 11/4|-15/4), 2.75000,-3.75000,  3.92209, -3.91127,   42,                  3+5+8+12,
(-15/4| 11/4),-3.75000, 2.75000, -5.34830,  1.44099,   42,                  3+5+8+12,
(  1  |-15/4), 1.00000,-3.75000,  1.42621, -5.35226,   42,                  1+2+4+11,
(-15/4|  1  ),-3.75000, 1.00000, -5.34830, -1.44099,   42,                  6+7+9+10,
( -1  |-11/4),-1.00000,-2.75000, -1.42621, -5.35226,   42,                  1+2+4+11,
(-11/4| -1  ),-2.75000,-1.00000, -3.92209, -3.91127,   42,                  6+7+9+10,
(  3  |  3/4), 3.00000, 0.75000,  4.27864,  3.70541,   43,                  1+2+4+11,
(  3/4|  3  ), 0.75000, 3.00000,  1.06966,  5.55812,   43,                  6+7+9+10,
( 15/4| -3/4), 3.75000,-0.75000,  5.34830,  1.85271,   43,                  3+5+8+12,
( -3/4| 15/4),-0.75000, 3.75000, -1.06966,  5.55812,   43,                  3+5+8+12,
( 15/4| -3  ), 3.75000,-3.00000,  5.34830, -1.85271,   43,                  6+7+9+10,
( -3  | 15/4),-3.00000, 3.75000, -4.27864,  3.70541,   43,                  1+2+4+11,
(  3  |-15/4), 3.00000,-3.75000,  4.27864, -3.70541,   43,                  1+2+4+11,
(-15/4|  3  ),-3.75000, 3.00000, -5.34830,  1.85271,   43,                  6+7+9+10,
(  3/4|-15/4), 0.75000,-3.75000,  1.06966, -5.55812,   43,                  3+5+8+12,
(-15/4|  3/4),-3.75000, 0.75000, -5.34830, -1.85271,   43,                  3+5+8+12,
( -3/4| -3  ),-0.75000,-3.00000, -1.06966, -5.55812,   43,                  6+7+9+10,
( -3  | -3/4),-3.00000,-0.75000, -4.27864, -3.70541,   43,                  1+2+4+11,
(  2  |  2  ), 2.00000, 2.00000,  2.85243,  4.94055,   44,1+2+3+4+5+6+7+8+9+10+11+12,
(  4  | -2  ), 4.00000,-2.00000,  5.70486, -0.00000,   44,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  |  4  ),-2.00000, 4.00000, -2.85243,  4.94055,   44,1+2+3+4+5+6+7+8+9+10+11+12,
(  2  | -4  ), 2.00000,-4.00000,  2.85243, -4.94055,   44,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  |  2  ),-4.00000, 2.00000, -5.70486,  0.00000,   44,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  | -2  ),-2.00000,-2.00000, -2.85243, -4.94055,   44,1+2+3+4+5+6+7+8+9+10+11+12,
(  9/4|  7/4), 2.25000, 1.75000,  3.20898,  4.73469,   45,                  3+5+8+12,
(  7/4|  9/4), 1.75000, 2.25000,  2.49587,  5.14641,   45,                  3+5+8+12,
(  4  | -7/4), 4.00000,-1.75000,  5.70486,  0.41171,   45,                  1+2+4+11,
( -7/4|  4  ),-1.75000, 4.00000, -2.49587,  5.14641,   45,                  6+7+9+10,
(  4  | -9/4), 4.00000,-2.25000,  5.70486, -0.41171,   45,                  1+2+4+11,
( -9/4|  4  ),-2.25000, 4.00000, -3.20898,  4.73469,   45,                  6+7+9+10,
(  9/4| -4  ), 2.25000,-4.00000,  3.20898, -4.73469,   45,                  6+7+9+10,
( -4  |  9/4),-4.00000, 2.25000, -5.70486,  0.41171,   45,                  1+2+4+11,
(  7/4| -4  ), 1.75000,-4.00000,  2.49587, -5.14641,   45,                  6+7+9+10,
( -4  |  7/4),-4.00000, 1.75000, -5.70486, -0.41171,   45,                  1+2+4+11,
( -7/4| -9/4),-1.75000,-2.25000, -2.49587, -5.14641,   45,                  3+5+8+12,
( -9/4| -7/4),-2.25000,-1.75000, -3.20898, -4.73469,   45,                  3+5+8+12,
(  5/2|  3/2), 2.50000, 1.50000,  3.56553,  4.52884,   46,                  3+5+8+12,
(  3/2|  5/2), 1.50000, 2.50000,  2.13932,  5.35226,   46,                  3+5+8+12,
(  4  | -3/2), 4.00000,-1.50000,  5.70486,  0.82342,   46,                  1+2+4+11,
( -3/2|  4  ),-1.50000, 4.00000, -2.13932,  5.35226,   46,                  6+7+9+10,
(  4  | -5/2), 4.00000,-2.50000,  5.70486, -0.82342,   46,                  1+2+4+11,
( -5/2|  4  ),-2.50000, 4.00000, -3.56553,  4.52884,   46,                  6+7+9+10,
(  5/2| -4  ), 2.50000,-4.00000,  3.56553, -4.52884,   46,                  6+7+9+10,
( -4  |  5/2),-4.00000, 2.50000, -5.70486,  0.82342,   46,                  1+2+4+11,
(  3/2| -4  ), 1.50000,-4.00000,  2.13932, -5.35226,   46,                  6+7+9+10,
( -4  |  3/2),-4.00000, 1.50000, -5.70486, -0.82342,   46,                  1+2+4+11,
( -3/2| -5/2),-1.50000,-2.50000, -2.13932, -5.35226,   46,                  3+5+8+12,
( -5/2| -3/2),-2.50000,-1.50000, -3.56553, -4.52884,   46,                  3+5+8+12,
(  7/2|  0  ), 3.50000, 0.00000,  4.99175,  2.88199,   47,                  6+7+9+10,
(  0  |  7/2), 0.00000, 3.50000,  0.00000,  5.76397,   47,                  1+2+4+11,
(  7/2| -7/2), 3.50000,-3.50000,  4.99175, -2.88199,   47,                  3+5+8+12,
( -7/2|  7/2),-3.50000, 3.50000, -4.99175,  2.88199,   47,                  3+5+8+12,
(  0  | -7/2), 0.00000,-3.50000,  0.00000, -5.76397,   47,                  1+2+4+11,
( -7/2|  0  ),-3.50000, 0.00000, -4.99175, -2.88199,   47,                  6+7+9+10,
( 11/4|  5/4), 2.75000, 1.25000,  3.92209,  4.32298,   48,                  3+5+8+12,
(  5/4| 11/4), 1.25000, 2.75000,  1.78277,  5.55812,   48,                  3+5+8+12,
(  4  | -5/4), 4.00000,-1.25000,  5.70486,  1.23514,   48,                  1+2+4+11,
( -5/4|  4  ),-1.25000, 4.00000, -1.78277,  5.55812,   48,                  6+7+9+10,
(  4  |-11/4), 4.00000,-2.75000,  5.70486, -1.23514,   48,                  1+2+4+11,
(-11/4|  4  ),-2.75000, 4.00000, -3.92209,  4.32298,   48,                  6+7+9+10,
( 11/4| -4  ), 2.75000,-4.00000,  3.92209, -4.32298,   48,                  6+7+9+10,
( -4  | 11/4),-4.00000, 2.75000, -5.70486,  1.23514,   48,                  1+2+4+11,
(  5/4| -4  ), 1.25000,-4.00000,  1.78277, -5.55812,   48,                  6+7+9+10,
( -4  |  5/4),-4.00000, 1.25000, -5.70486, -1.23514,   48,                  1+2+4+11,
( -5/4|-11/4),-1.25000,-2.75000, -1.78277, -5.55812,   48,                  3+5+8+12,
(-11/4| -5/4),-2.75000,-1.25000, -3.92209, -4.32298,   48,                  3+5+8+12,
(  3  |  1  ), 3.00000, 1.00000,  4.27864,  4.11712,   49,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  |  3  ), 1.00000, 3.00000,  1.42621,  5.76397,   49,1+2+3+4+5+6+7+8+9+10+11+12,
(  4  | -1  ), 4.00000,-1.00000,  5.70486,  1.64685,   49,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  |  4  ),-1.00000, 4.00000, -1.42621,  5.76397,   49,1+2+3+4+5+6+7+8+9+10+11+12,
(  4  | -3  ), 4.00000,-3.00000,  5.70486, -1.64685,   49,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  |  4  ),-3.00000, 4.00000, -4.27864,  4.11712,   49,1+2+3+4+5+6+7+8+9+10+11+12,
(  3  | -4  ), 3.00000,-4.00000,  4.27864, -4.11712,   49,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  |  3  ),-4.00000, 3.00000, -5.70486,  1.64685,   49,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  | -4  ), 1.00000,-4.00000,  1.42621, -5.76397,   49,1+2+3+4+5+6+7+8+9+10+11+12,
