# This file was automatically generated by ViPErLEED v. 0.1a.
# Structure: Ir(111)-(r3xr3)R30-Te -- bulk p3m1, surf p31m
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7153 AA; alpha = 120.00 deg
#        Basis: a = [2.7153 0.0000]; b = [-1.3576  2.3515]
# Surface lattice: Hexagonal (p31m); a = 4.7030 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.0729 2.3515]; b = [-4.0729  2.3515]
#            Superlattice: [[ 2  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( -3  |  1  ),-3.00000, 1.00000, -6.94198, -1.33598,   15,        1,
( -2  | -1  ),-2.00000,-1.00000, -4.62799, -5.34394,   15,        1,
(  2  |  1  ), 2.00000, 1.00000,  4.62799,  5.34394,   16,        1,
(  3  | -1  ), 3.00000,-1.00000,  6.94198,  1.33598,   16,        1,
( -2  |  3  ),-2.00000, 3.00000, -4.62799,  5.34394,   16,        1,
( -3  |  2  ),-3.00000, 2.00000, -6.94198,  1.33598,   16,        1,
(  1  | -3  ), 1.00000,-3.00000,  2.31399, -6.67992,   16,        1,
( -1  | -2  ),-1.00000,-2.00000, -2.31399, -6.67992,   16,        1,
(  5/3|  5/3), 1.66667, 1.66667,  3.85666,  6.67992,   17,        1,
( 10/3| -5/3), 3.33333,-1.66667,  7.71331, -0.00000,   17,        1,
( -5/3| 10/3),-1.66667, 3.33333, -3.85666,  6.67992,   17,        1,
(  5/3|-10/3), 1.66667,-3.33333,  3.85666, -6.67992,   17,        1,
(-10/3|  5/3),-3.33333, 1.66667, -7.71331,  0.00000,   17,        1,
( -5/3| -5/3),-1.66667,-1.66667, -3.85666, -6.67992,   17,        1,
(  0  |  3  ), 0.00000, 3.00000,  0.00000,  8.01591,   18,        1,
(  3  | -3  ), 3.00000,-3.00000,  6.94198, -4.00795,   18,        1,
( -3  |  0  ),-3.00000, 0.00000, -6.94198, -4.00795,   18,        1,
(  3  |  0  ), 3.00000, 0.00000,  6.94198,  4.00795,   19,        1,
( -3  |  3  ),-3.00000, 3.00000, -6.94198,  4.00795,   19,        1,
(  0  | -3  ), 0.00000,-3.00000,  0.00000, -8.01591,   19,        1,
(  2/3|  8/3), 0.66667, 2.66667,  1.54266,  8.01591,   20,        1,
( -2/3| 10/3),-0.66667, 3.33333, -1.54266,  8.01591,   20,        1,
( 10/3| -8/3), 3.33333,-2.66667,  7.71331, -2.67197,   20,        1,
(  8/3|-10/3), 2.66667,-3.33333,  6.17065, -5.34394,   20,        1,
(-10/3|  2/3),-3.33333, 0.66667, -7.71331, -2.67197,   20,        1,
( -8/3| -2/3),-2.66667,-0.66667, -6.17065, -5.34394,   20,        1,
(  8/3|  2/3), 2.66667, 0.66667,  6.17065,  5.34394,   21,        1,
( 10/3| -2/3), 3.33333,-0.66667,  7.71331,  2.67197,   21,        1,
( -8/3| 10/3),-2.66667, 3.33333, -6.17065,  5.34394,   21,        1,
(-10/3|  8/3),-3.33333, 2.66667, -7.71331,  2.67197,   21,        1,
(  2/3|-10/3), 0.66667,-3.33333,  1.54266, -8.01591,   21,        1,
( -2/3| -8/3),-0.66667,-2.66667, -1.54266, -8.01591,   21,        1,
(  4/3|  7/3), 1.33333, 2.33333,  3.08532,  8.01591,   22,        1,
( -4/3| 11/3),-1.33333, 3.66667, -3.08532,  8.01591,   22,        1,
( 11/3| -7/3), 3.66667,-2.33333,  8.48464, -1.33598,   22,        1,
(  7/3|-11/3), 2.33333,-3.66667,  5.39932, -6.67992,   22,        1,
(-11/3|  4/3),-3.66667, 1.33333, -8.48464, -1.33598,   22,        1,
( -7/3| -4/3),-2.33333,-1.33333, -5.39932, -6.67992,   22,        1,
(  7/3|  4/3), 2.33333, 1.33333,  5.39932,  6.67992,   23,        1,
( 11/3| -4/3), 3.66667,-1.33333,  8.48464,  1.33598,   23,        1,
( -7/3| 11/3),-2.33333, 3.66667, -5.39932,  6.67992,   23,        1,
(-11/3|  7/3),-3.66667, 2.33333, -8.48464,  1.33598,   23,        1,
(  4/3|-11/3), 1.33333,-3.66667,  3.08532, -8.01591,   23,        1,
( -4/3| -7/3),-1.33333,-2.33333, -3.08532, -8.01591,   23,        1,
(  2  |  2  ), 2.00000, 2.00000,  4.62799,  8.01591,   24,        1,
(  4  | -2  ), 4.00000,-2.00000,  9.25597, -0.00000,   24,        1,
( -2  |  4  ),-2.00000, 4.00000, -4.62799,  8.01591,   24,        1,
(  2  | -4  ), 2.00000,-4.00000,  4.62799, -8.01591,   24,        1,
( -4  |  2  ),-4.00000, 2.00000, -9.25597,  0.00000,   24,        1,
( -2  | -2  ),-2.00000,-2.00000, -4.62799, -8.01591,   24,        1,
(  1/3| 10/3), 0.33333, 3.33333,  0.77133,  9.35189,   25,        1,
( -1/3| 11/3),-0.33333, 3.66667, -0.77133,  9.35189,   25,        1,
( 11/3|-10/3), 3.66667,-3.33333,  8.48464, -4.00795,   25,        1,
( 10/3|-11/3), 3.33333,-3.66667,  7.71331, -5.34394,   25,        1,
(-11/3|  1/3),-3.66667, 0.33333, -8.48464, -4.00795,   25,        1,
(-10/3| -1/3),-3.33333,-0.33333, -7.71331, -5.34394,   25,        1,
( 10/3|  1/3), 3.33333, 0.33333,  7.71331,  5.34394,   26,        1,
( 11/3| -1/3), 3.66667,-0.33333,  8.48464,  4.00795,   26,        1,
(-10/3| 11/3),-3.33333, 3.66667, -7.71331,  5.34394,   26,        1,
(-11/3| 10/3),-3.66667, 3.33333, -8.48464,  4.00795,   26,        1,
(  1/3|-11/3), 0.33333,-3.66667,  0.77133, -9.35189,   26,        1,
( -1/3|-10/3),-0.33333,-3.33333, -0.77133, -9.35189,   26,        1,
(  1  |  3  ), 1.00000, 3.00000,  2.31399,  9.35189,   27,        1,
( -1  |  4  ),-1.00000, 4.00000, -2.31399,  9.35189,   27,        1,
(  4  | -3  ), 4.00000,-3.00000,  9.25597, -2.67197,   27,        1,
(  3  | -4  ), 3.00000,-4.00000,  6.94198, -6.67992,   27,        1,
( -4  |  1  ),-4.00000, 1.00000, -9.25597, -2.67197,   27,        1,
( -3  | -1  ),-3.00000,-1.00000, -6.94198, -6.67992,   27,        1,
(  3  |  1  ), 3.00000, 1.00000,  6.94198,  6.67992,   28,        1,
(  4  | -1  ), 4.00000,-1.00000,  9.25597,  2.67197,   28,        1,
( -3  |  4  ),-3.00000, 4.00000, -6.94198,  6.67992,   28,        1,
( -4  |  3  ),-4.00000, 3.00000, -9.25597,  2.67197,   28,        1,
(  1  | -4  ), 1.00000,-4.00000,  2.31399, -9.35189,   28,        1,
( -1  | -3  ),-1.00000,-3.00000, -2.31399, -9.35189,   28,        1,
(  5/3|  8/3), 1.66667, 2.66667,  3.85666,  9.35189,   29,        1,
( -5/3| 13/3),-1.66667, 4.33333, -3.85666,  9.35189,   29,        1,
( 13/3| -8/3), 4.33333,-2.66667, 10.02730, -1.33598,   29,        1,
(  8/3|-13/3), 2.66667,-4.33333,  6.17065, -8.01591,   29,        1,
(-13/3|  5/3),-4.33333, 1.66667,-10.02730, -1.33598,   29,        1,
( -8/3| -5/3),-2.66667,-1.66667, -6.17065, -8.01591,   29,        1,
(  8/3|  5/3), 2.66667, 1.66667,  6.17065,  8.01591,   30,        1,
( 13/3| -5/3), 4.33333,-1.66667, 10.02730,  1.33598,   30,        1,
( -8/3| 13/3),-2.66667, 4.33333, -6.17065,  8.01591,   30,        1,
(-13/3|  8/3),-4.33333, 2.66667,-10.02730,  1.33598,   30,        1,
(  5/3|-13/3), 1.66667,-4.33333,  3.85666, -9.35189,   30,        1,
( -5/3| -8/3),-1.66667,-2.66667, -3.85666, -9.35189,   30,        1,
(  0  |  4  ), 0.00000, 4.00000,  0.00000, 10.68788,   31,        1,
(  4  | -4  ), 4.00000,-4.00000,  9.25597, -5.34394,   31,        1,
( -4  |  0  ),-4.00000, 0.00000, -9.25597, -5.34394,   31,        1,
(  4  |  0  ), 4.00000, 0.00000,  9.25597,  5.34394,   32,        1,
( -4  |  4  ),-4.00000, 4.00000, -9.25597,  5.34394,   32,        1,
(  0  | -4  ), 0.00000,-4.00000,  0.00000,-10.68788,   32,        1,
(  2/3| 11/3), 0.66667, 3.66667,  1.54266, 10.68788,   33,        1,
( -2/3| 13/3),-0.66667, 4.33333, -1.54266, 10.68788,   33,        1,
( 13/3|-11/3), 4.33333,-3.66667, 10.02730, -4.00795,   33,        1,
( 11/3|-13/3), 3.66667,-4.33333,  8.48464, -6.67992,   33,        1,
(-13/3|  2/3),-4.33333, 0.66667,-10.02730, -4.00795,   33,        1,
(-11/3| -2/3),-3.66667,-0.66667, -8.48464, -6.67992,   33,        1,
(  7/3|  7/3), 2.33333, 2.33333,  5.39932,  9.35189,   34,        1,
( 14/3| -7/3), 4.66667,-2.33333, 10.79863, -0.00000,   34,        1,
( -7/3| 14/3),-2.33333, 4.66667, -5.39932,  9.35189,   34,        1,
(  7/3|-14/3), 2.33333,-4.66667,  5.39932, -9.35189,   34,        1,
(-14/3|  7/3),-4.66667, 2.33333,-10.79863,  0.00000,   34,        1,
( -7/3| -7/3),-2.33333,-2.33333, -5.39932, -9.35189,   34,        1,
( 11/3|  2/3), 3.66667, 0.66667,  8.48464,  6.67992,   35,        1,
( 13/3| -2/3), 4.33333,-0.66667, 10.02730,  4.00795,   35,        1,
(-11/3| 13/3),-3.66667, 4.33333, -8.48464,  6.67992,   35,        1,
(-13/3| 11/3),-4.33333, 3.66667,-10.02730,  4.00795,   35,        1,
(  2/3|-13/3), 0.66667,-4.33333,  1.54266,-10.68788,   35,        1,
( -2/3|-11/3),-0.66667,-3.66667, -1.54266,-10.68788,   35,        1,
(  4/3| 10/3), 1.33333, 3.33333,  3.08532, 10.68788,   36,        1,
( -4/3| 14/3),-1.33333, 4.66667, -3.08532, 10.68788,   36,        1,
( 14/3|-10/3), 4.66667,-3.33333, 10.79863, -2.67197,   36,        1,
( 10/3|-14/3), 3.33333,-4.66667,  7.71331, -8.01591,   36,        1,
(-14/3|  4/3),-4.66667, 1.33333,-10.79863, -2.67197,   36,        1,
(-10/3| -4/3),-3.33333,-1.33333, -7.71331, -8.01591,   36,        1,
( 10/3|  4/3), 3.33333, 1.33333,  7.71331,  8.01591,   37,        1,
( 14/3| -4/3), 4.66667,-1.33333, 10.79863,  2.67197,   37,        1,
(-10/3| 14/3),-3.33333, 4.66667, -7.71331,  8.01591,   37,        1,
(-14/3| 10/3),-4.66667, 3.33333,-10.79863,  2.67197,   37,        1,
(  4/3|-14/3), 1.33333,-4.66667,  3.08532,-10.68788,   37,        1,
( -4/3|-10/3),-1.33333,-3.33333, -3.08532,-10.68788,   37,        1,
(  3  |  2  ), 3.00000, 2.00000,  6.94198,  9.35189,   38,        1,
(  5  | -2  ), 5.00000,-2.00000, 11.56997,  1.33598,   38,        1,
( -3  |  5  ),-3.00000, 5.00000, -6.94198,  9.35189,   38,        1,
( -5  |  3  ),-5.00000, 3.00000,-11.56997,  1.33598,   38,        1,
(  2  | -5  ), 2.00000,-5.00000,  4.62799,-10.68788,   38,        1,
( -2  | -3  ),-2.00000,-3.00000, -4.62799,-10.68788,   38,        1,
(  2  |  3  ), 2.00000, 3.00000,  4.62799, 10.68788,   39,        1,
( -2  |  5  ),-2.00000, 5.00000, -4.62799, 10.68788,   39,        1,
(  5  | -3  ), 5.00000,-3.00000, 11.56997, -1.33598,   39,        1,
