# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(3xr3)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 7.6305 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [7.6305 0.0000]
#            Superlattice: [[1 2] [3 0]]
# Domain 2 - Basis: a = [ 3.8152 -2.2027]; b = [3.8152 6.6082]
#            Superlattice: [[ 1 -1] [ 3  3]]
# Domain 3 - Basis: a = [-3.8152 -2.2027]; b = [ 3.8152 -6.6082]
#            Superlattice: [[-2 -1] [ 0 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -2  |  1/2),-2.00000, 0.50000, -4.94058, -1.42622,   28,        1,
( -3/2| -1/2),-1.50000,-0.50000, -3.70544, -3.56556,   28,        2,
(  1/2|  3/2), 0.50000, 1.50000,  1.23515,  4.99178,   28,        2,
(  2  | -3/2), 2.00000,-1.50000,  4.94058, -1.42622,   28,        1,
(  3/2| -2  ), 1.50000,-2.00000,  3.70544, -3.56556,   28,        3,
(-13/6|  5/6),-2.16667, 0.83333, -5.35230, -0.71311,   29,        2,
( -4/3| -5/6),-1.33333,-0.83333, -3.29372, -4.27867,   29,        1,
( -5/6| 13/6),-0.83333, 2.16667, -2.05858,  4.99178,   29,        2,
( 13/6| -4/3), 2.16667,-1.33333,  5.35230, -0.71311,   29,        3,
(  4/3|-13/6), 1.33333,-2.16667,  3.29372, -4.27867,   29,        1,
(  5/6|  4/3), 0.83333, 1.33333,  2.05858,  4.99178,   29,        3,
(-13/6|  4/3),-2.16667, 1.33333, -5.35230,  0.71311,   30,        3,
( -4/3| 13/6),-1.33333, 2.16667, -3.29372,  4.27867,   30,        1,
( -5/6| -4/3),-0.83333,-1.33333, -2.05858, -4.99178,   30,        3,
( 13/6| -5/6), 2.16667,-0.83333,  5.35230,  0.71311,   30,        2,
(  4/3|  5/6), 1.33333, 0.83333,  3.29372,  4.27867,   30,        1,
(  5/6|-13/6), 0.83333,-2.16667,  2.05858, -4.99178,   30,        2,
( -2  |  0  ),-2.00000, 0.00000, -4.94058, -2.85245,   31,    1+2+3,
(  0  |  2  ), 0.00000, 2.00000,  0.00000,  5.70489,   31,    1+2+3,
(  2  | -2  ), 2.00000,-2.00000,  4.94058, -2.85245,   31,    1+2+3,
( -2  |  2  ),-2.00000, 2.00000, -4.94058,  2.85245,   32,    1+2+3,
(  0  | -2  ), 0.00000,-2.00000,  0.00000, -5.70489,   32,    1+2+3,
(  2  |  0  ), 2.00000, 0.00000,  4.94058,  2.85245,   32,    1+2+3,
( -1/3| 13/6),-0.33333, 2.16667, -0.82343,  5.70489,   33,        1,
