# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-[(6,0),(1,2)]
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 15.2610 AA; b = 4.4055 AA
#        Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 6 domain(s) out of 6 symmetry-equivalent ones
# Domain 1 - Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[6 0] [1 2]]
# Domain 2 - Basis: a = [-15.2610   0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[-6  0] [ 1  2]]
# Domain 3 - Basis: a = [ 7.6305 13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[ 6  6] [ 1 -1]]
# Domain 4 - Basis: a = [  7.6305 -13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0 -6] [-2 -1]]
# Domain 5 - Basis: a = [-7.6305 13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0  6] [-2 -1]]
# Domain 6 - Basis: a = [ -7.6305 -13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[-6 -6] [ 1 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group, domain(s) ,
( -7/3 |  2/3 ),-2.33333, 0.66667, -5.76401, -1.42622,   83,1+2+3+4+5+6,
( -5/3 | -2/3 ),-1.66667,-0.66667, -4.11715, -4.27867,   83,1+2+3+4+5+6,
(  5/3 |  2/3 ), 1.66667, 0.66667,  4.11715,  4.27867,   84,1+2+3+4+5+6,
(  7/3 | -2/3 ), 2.33333,-0.66667,  5.76401,  1.42622,   84,1+2+3+4+5+6,
( -5/3 |  7/3 ),-1.66667, 2.33333, -4.11715,  4.27867,   84,1+2+3+4+5+6,
( -7/3 |  5/3 ),-2.33333, 1.66667, -5.76401,  1.42622,   84,1+2+3+4+5+6,
(  2/3 | -7/3 ), 0.66667,-2.33333,  1.64686, -5.70489,   84,1+2+3+4+5+6,
( -2/3 | -5/3 ),-0.66667,-1.66667, -1.64686, -5.70489,   84,1+2+3+4+5+6,
( 25/12|  1/12), 2.08333, 0.08333,  5.14644,  3.20900,   85,        3+6,
( 13/6 | -1/12), 2.16667,-0.08333,  5.35230,  2.85245,   85,        1+2,
(-25/12| 13/6 ),-2.08333, 2.16667, -5.14644,  3.20900,   85,        4+5,
(-13/6 | 25/12),-2.16667, 2.08333, -5.35230,  2.85245,   85,        1+2,
(  1/12|-13/6 ), 0.08333,-2.16667,  0.20586, -6.06145,   85,        4+5,
( -1/12|-25/12),-0.08333,-2.08333, -0.20586, -6.06145,   85,        3+6,
( 19/12|  5/6 ), 1.58333, 0.83333,  3.91129,  4.63523,   86,        4+5,
( 29/12| -5/6 ), 2.41667,-0.83333,  5.96987,  1.06967,   86,        4+5,
(-19/12| 29/12),-1.58333, 2.41667, -3.91129,  4.63523,   86,        3+6,
(-29/12| 19/12),-2.41667, 1.58333, -5.96987,  1.06967,   86,        3+6,
(  5/6 |-29/12), 0.83333,-2.41667,  2.05858, -5.70489,   86,        1+2,
( -5/6 |-19/12),-0.83333,-1.58333, -2.05858, -5.70489,   86,        1+2,
(  5/6 | 19/12), 0.83333, 1.58333,  2.05858,  5.70489,   87,        1+2,
( -5/6 | 29/12),-0.83333, 2.41667, -2.05858,  5.70489,   87,        1+2,
( 29/12|-19/12), 2.41667,-1.58333,  5.96987, -1.06967,   87,        3+6,
( 19/12|-29/12), 1.58333,-2.41667,  3.91129, -4.63523,   87,        3+6,
(-29/12|  5/6 ),-2.41667, 0.83333, -5.96987, -1.06967,   87,        4+5,
(-19/12| -5/6 ),-1.58333,-0.83333, -3.91129, -4.63523,   87,        4+5,
(  1/12| 25/12), 0.08333, 2.08333,  0.20586,  6.06145,   88,        3+6,
( -1/12| 13/6 ),-0.08333, 2.16667, -0.20586,  6.06145,   88,        4+5,
( 13/6 |-25/12), 2.16667,-2.08333,  5.35230, -2.85245,   88,        1+2,
( 25/12|-13/6 ), 2.08333,-2.16667,  5.14644, -3.20900,   88,        4+5,
(-13/6 |  1/12),-2.16667, 0.08333, -5.35230, -2.85245,   88,        1+2,
(-25/12| -1/12),-2.08333,-0.08333, -5.14644, -3.20900,   88,        3+6,
(  5/4 |  5/4 ), 1.25000, 1.25000,  3.08786,  5.34834,   89,        3+6,
(  5/2 | -5/4 ), 2.50000,-1.25000,  6.17573, -0.00000,   89,        1+2,
( -5/4 |  5/2 ),-1.25000, 2.50000, -3.08786,  5.34834,   89,        4+5,
(  5/4 | -5/2 ), 1.25000,-2.50000,  3.08786, -5.34834,   89,        4+5,
( -5/2 |  5/4 ),-2.50000, 1.25000, -6.17573,  0.00000,   89,        1+2,
( -5/4 | -5/4 ),-1.25000,-1.25000, -3.08786, -5.34834,   89,        3+6,
(  3/2 |  1   ), 1.50000, 1.00000,  3.70544,  4.99178,   90,        4+5,
(  5/2 | -1   ), 2.50000,-1.00000,  6.17573,  0.71311,   90,        4+5,
( -3/2 |  5/2 ),-1.50000, 2.50000, -3.70544,  4.99178,   90,        3+6,
( -5/2 |  3/2 ),-2.50000, 1.50000, -6.17573,  0.71311,   90,        3+6,
(  1   | -5/2 ), 1.00000,-2.50000,  2.47029, -5.70489,   90,        1+2,
( -1   | -3/2 ),-1.00000,-1.50000, -2.47029, -5.70489,   90,        1+2,
(  1   |  3/2 ), 1.00000, 1.50000,  2.47029,  5.70489,   91,        1+2,
( -1   |  5/2 ),-1.00000, 2.50000, -2.47029,  5.70489,   91,        1+2,
(  5/2 | -3/2 ), 2.50000,-1.50000,  6.17573, -0.71311,   91,        3+6,
(  3/2 | -5/2 ), 1.50000,-2.50000,  3.70544, -4.99178,   91,        3+6,
( -5/2 |  1   ),-2.50000, 1.00000, -6.17573, -0.71311,   91,        4+5,
( -3/2 | -1   ),-1.50000,-1.00000, -3.70544, -4.99178,   91,        4+5,
(  7/12| 11/6 ), 0.58333, 1.83333,  1.44100,  6.06145,   92,        4+5,
( -7/12| 29/12),-0.58333, 2.41667, -1.44100,  6.06145,   92,        3+6,
( 29/12|-11/6 ), 2.41667,-1.83333,  5.96987, -1.78278,   92,        4+5,
( 11/6 |-29/12), 1.83333,-2.41667,  4.52887, -4.27867,   92,        1+2,
(-29/12|  7/12),-2.41667, 0.58333, -5.96987, -1.78278,   92,        3+6,
(-11/6 | -7/12),-1.83333,-0.58333, -4.52887, -4.27867,   92,        1+2,
( 11/6 |  7/12), 1.83333, 0.58333,  4.52887,  4.27867,   93,        1+2,
( 29/12| -7/12), 2.41667,-0.58333,  5.96987,  1.78278,   93,        3+6,
(-11/6 | 29/12),-1.83333, 2.41667, -4.52887,  4.27867,   93,        1+2,
(-29/12| 11/6 ),-2.41667, 1.83333, -5.96987,  1.78278,   93,        4+5,
(  7/12|-29/12), 0.58333,-2.41667,  1.44100, -6.06145,   93,        3+6,
( -7/12|-11/6 ),-0.58333,-1.83333, -1.44100, -6.06145,   93,        4+5,
(  7/4 |  3/4 ), 1.75000, 0.75000,  4.32301,  4.63523,   94,        3+6,
(  5/2 | -3/4 ), 2.50000,-0.75000,  6.17573,  1.42622,   94,        1+2,
( -7/4 |  5/2 ),-1.75000, 2.50000, -4.32301,  4.63523,   94,        4+5,
( -5/2 |  7/4 ),-2.50000, 1.75000, -6.17573,  1.42622,   94,        1+2,
(  3/4 | -5/2 ), 0.75000,-2.50000,  1.85272, -6.06145,   94,        4+5,
( -3/4 | -7/4 ),-0.75000,-1.75000, -1.85272, -6.06145,   94,        3+6,
(  3/4 |  7/4 ), 0.75000, 1.75000,  1.85272,  6.06145,   95,        3+6,
( -3/4 |  5/2 ),-0.75000, 2.50000, -1.85272,  6.06145,   95,        4+5,
(  5/2 | -7/4 ), 2.50000,-1.75000,  6.17573, -1.42622,   95,        1+2,
(  7/4 | -5/2 ), 1.75000,-2.50000,  4.32301, -4.63523,   95,        4+5,
( -5/2 |  3/4 ),-2.50000, 0.75000, -6.17573, -1.42622,   95,        1+2,
( -7/4 | -3/4 ),-1.75000,-0.75000, -4.32301, -4.63523,   95,        3+6,
( 17/12|  7/6 ), 1.41667, 1.16667,  3.49958,  5.34834,   96,        4+5,
( 31/12| -7/6 ), 2.58333,-1.16667,  6.38159,  0.35656,   96,        4+5,
(-17/12| 31/12),-1.41667, 2.58333, -3.49958,  5.34834,   96,        3+6,
(-31/12| 17/12),-2.58333, 1.41667, -6.38159,  0.35656,   96,        3+6,
(  7/6 |-31/12), 1.16667,-2.58333,  2.88201, -5.70489,   96,        1+2,
( -7/6 |-17/12),-1.16667,-1.41667, -2.88201, -5.70489,   96,        1+2,
(  7/6 | 17/12), 1.16667, 1.41667,  2.88201,  5.70489,   97,        1+2,
( -7/6 | 31/12),-1.16667, 2.58333, -2.88201,  5.70489,   97,        1+2,
( 31/12|-17/12), 2.58333,-1.41667,  6.38159, -0.35656,   97,        3+6,
( 17/12|-31/12), 1.41667,-2.58333,  3.49958, -5.34834,   97,        3+6,
(-31/12|  7/6 ),-2.58333, 1.16667, -6.38159, -0.35656,   97,        4+5,
(-17/12| -7/6 ),-1.41667,-1.16667, -3.49958, -5.34834,   97,        4+5,
( 13/6 |  1/6 ), 2.16667, 0.16667,  5.35230,  3.56556,   98,        3+6,
(  7/3 | -1/6 ), 2.33333,-0.16667,  5.76401,  2.85245,   98,        1+2,
(-13/6 |  7/3 ),-2.16667, 2.33333, -5.35230,  3.56556,   98,        4+5,
( -7/3 | 13/6 ),-2.33333, 2.16667, -5.76401,  2.85245,   98,        1+2,
(  1/6 | -7/3 ), 0.16667,-2.33333,  0.41172, -6.41800,   98,        4+5,
( -1/6 |-13/6 ),-0.16667,-2.16667, -0.41172, -6.41800,   98,        3+6,
(  1/6 | 13/6 ), 0.16667, 2.16667,  0.41172,  6.41800,   99,        3+6,
( -1/6 |  7/3 ),-0.16667, 2.33333, -0.41172,  6.41800,   99,        4+5,
(  7/3 |-13/6 ), 2.33333,-2.16667,  5.76401, -2.85245,   99,        1+2,
( 13/6 | -7/3 ), 2.16667,-2.33333,  5.35230, -3.56556,   99,        4+5,
( -7/3 |  1/6 ),-2.33333, 0.16667, -5.76401, -2.85245,   99,        1+2,
(-13/6 | -1/6 ),-2.16667,-0.16667, -5.35230, -3.56556,   99,        3+6,
(  1/2 |  2   ), 0.50000, 2.00000,  1.23515,  6.41800,  100,        4+5,
( -1/2 |  5/2 ),-0.50000, 2.50000, -1.23515,  6.41800,  100,        3+6,
(  5/2 | -2   ), 2.50000,-2.00000,  6.17573, -2.13933,  100,        4+5,
(  2   | -5/2 ), 2.00000,-2.50000,  4.94058, -4.27867,  100,        1+2,
( -5/2 |  1/2 ),-2.50000, 0.50000, -6.17573, -2.13933,  100,        3+6,
( -2   | -1/2 ),-2.00000,-0.50000, -4.94058, -4.27867,  100,        1+2,
(  2   |  1/2 ), 2.00000, 0.50000,  4.94058,  4.27867,  101,        1+2,
(  5/2 | -1/2 ), 2.50000,-0.50000,  6.17573,  2.13933,  101,        3+6,
( -2   |  5/2 ),-2.00000, 2.50000, -4.94058,  4.27867,  101,        1+2,
( -5/2 |  2   ),-2.50000, 2.00000, -6.17573,  2.13933,  101,        4+5,
(  1/2 | -5/2 ), 0.50000,-2.50000,  1.23515, -6.41800,  101,        3+6,
( -1/2 | -2   ),-0.50000,-2.00000, -1.23515, -6.41800,  101,        4+5,
(  4/3 |  4/3 ), 1.33333, 1.33333,  3.29372,  5.70489,  102,1+2+3+4+5+6,
(  8/3 | -4/3 ), 2.66667,-1.33333,  6.58744, -0.00000,  102,1+2+3+4+5+6,
( -4/3 |  8/3 ),-1.33333, 2.66667, -3.29372,  5.70489,  102,1+2+3+4+5+6,
(  4/3 | -8/3 ), 1.33333,-2.66667,  3.29372, -5.70489,  102,1+2+3+4+5+6,
( -8/3 |  4/3 ),-2.66667, 1.33333, -6.58744,  0.00000,  102,1+2+3+4+5+6,
( -4/3 | -4/3 ),-1.33333,-1.33333, -3.29372, -5.70489,  102,1+2+3+4+5+6,
( 11/6 |  5/6 ), 1.83333, 0.83333,  4.52887,  4.99178,  103,        3+6,
(  8/3 | -5/6 ), 2.66667,-0.83333,  6.58744,  1.42622,  103,        1+2,
(-11/6 |  8/3 ),-1.83333, 2.66667, -4.52887,  4.99178,  103,        4+5,
( -8/3 | 11/6 ),-2.66667, 1.83333, -6.58744,  1.42622,  103,        1+2,
(  5/6 | -8/3 ), 0.83333,-2.66667,  2.05858, -6.41800,  103,        4+5,
( -5/6 |-11/6 ),-0.83333,-1.83333, -2.05858, -6.41800,  103,        3+6,
(  5/6 | 11/6 ), 0.83333, 1.83333,  2.05858,  6.41800,  104,        3+6,
( -5/6 |  8/3 ),-0.83333, 2.66667, -2.05858,  6.41800,  104,        4+5,
(  8/3 |-11/6 ), 2.66667,-1.83333,  6.58744, -1.42622,  104,        1+2,
( 11/6 | -8/3 ), 1.83333,-2.66667,  4.52887, -4.99178,  104,        4+5,
( -8/3 |  5/6 ),-2.66667, 0.83333, -6.58744, -1.42622,  104,        1+2,
(-11/6 | -5/6 ),-1.83333,-0.83333, -4.52887, -4.99178,  104,        3+6,
(  1/4 |  9/4 ), 0.25000, 2.25000,  0.61757,  6.77456,  105,        3+6,
( -1/4 |  5/2 ),-0.25000, 2.50000, -0.61757,  6.77456,  105,        4+5,
(  5/2 | -9/4 ), 2.50000,-2.25000,  6.17573, -2.85245,  105,        1+2,
(  9/4 | -5/2 ), 2.25000,-2.50000,  5.55815, -3.92211,  105,        4+5,
( -5/2 |  1/4 ),-2.50000, 0.25000, -6.17573, -2.85245,  105,        1+2,
( -9/4 | -1/4 ),-2.25000,-0.25000, -5.55815, -3.92211,  105,        3+6,
(  9/4 |  1/4 ), 2.25000, 0.25000,  5.55815,  3.92211,  106,        3+6,
(  5/2 | -1/4 ), 2.50000,-0.25000,  6.17573,  2.85245,  106,        1+2,
( -9/4 |  5/2 ),-2.25000, 2.50000, -5.55815,  3.92211,  106,        4+5,
( -5/2 |  9/4 ),-2.50000, 2.25000, -6.17573,  2.85245,  106,        1+2,
(  1/4 | -5/2 ), 0.25000,-2.50000,  0.61757, -6.77456,  106,        4+5,
( -1/4 | -9/4 ),-0.25000,-2.25000, -0.61757, -6.77456,  106,        3+6,
(  5/4 |  3/2 ), 1.25000, 1.50000,  3.08786,  6.06145,  107,        4+5,
( -5/4 | 11/4 ),-1.25000, 2.75000, -3.08786,  6.06145,  107,        3+6,
( 11/4 | -3/2 ), 2.75000,-1.50000,  6.79330, -0.35656,  107,        4+5,
(  3/2 |-11/4 ), 1.50000,-2.75000,  3.70544, -5.70489,  107,        1+2,
(-11/4 |  5/4 ),-2.75000, 1.25000, -6.79330, -0.35656,  107,        3+6,
( -3/2 | -5/4 ),-1.50000,-1.25000, -3.70544, -5.70489,  107,        1+2,
(  3/2 |  5/4 ), 1.50000, 1.25000,  3.70544,  5.70489,  108,        1+2,
( 11/4 | -5/4 ), 2.75000,-1.25000,  6.79330,  0.35656,  108,        3+6,
( -3/2 | 11/4 ),-1.50000, 2.75000, -3.70544,  5.70489,  108,        1+2,
(-11/4 |  3/2 ),-2.75000, 1.50000, -6.79330,  0.35656,  108,        4+5,
(  5/4 |-11/4 ), 1.25000,-2.75000,  3.08786, -6.06145,  108,        3+6,
( -5/4 | -3/2 ),-1.25000,-1.50000, -3.08786, -6.06145,  108,        4+5,
(  5/12| 13/6 ), 0.41667, 2.16667,  1.02929,  6.77456,  109,        4+5,
( -5/12| 31/12),-0.41667, 2.58333, -1.02929,  6.77456,  109,        3+6,
( 31/12|-13/6 ), 2.58333,-2.16667,  6.38159, -2.49589,  109,        4+5,
( 13/6 |-31/12), 2.16667,-2.58333,  5.35230, -4.27867,  109,        1+2,
(-31/12|  5/12),-2.58333, 0.41667, -6.38159, -2.49589,  109,        3+6,
(-13/6 | -5/12),-2.16667,-0.41667, -5.35230, -4.27867,  109,        1+2,
( 13/6 |  5/12), 2.16667, 0.41667,  5.35230,  4.27867,  110,        1+2,
( 31/12| -5/12), 2.58333,-0.41667,  6.38159,  2.49589,  110,        3+6,
(-13/6 | 31/12),-2.16667, 2.58333, -5.35230,  4.27867,  110,        1+2,
(-31/12| 13/6 ),-2.58333, 2.16667, -6.38159,  2.49589,  110,        4+5,
(  5/12|-31/12), 0.41667,-2.58333,  1.02929, -6.77456,  110,        3+6,
( -5/12|-13/6 ),-0.41667,-2.16667, -1.02929, -6.77456,  110,        4+5,
( 17/12| 17/12), 1.41667, 1.41667,  3.49958,  6.06145,  111,        3+6,
( 17/6 |-17/12), 2.83333,-1.41667,  6.99916, -0.00000,  111,        1+2,
(-17/12| 17/6 ),-1.41667, 2.83333, -3.49958,  6.06145,  111,        4+5,
( 17/12|-17/6 ), 1.41667,-2.83333,  3.49958, -6.06145,  111,        4+5,
(-17/6 | 17/12),-2.83333, 1.41667, -6.99916,  0.00000,  111,        1+2,
(-17/12|-17/12),-1.41667,-1.41667, -3.49958, -6.06145,  111,        3+6,
(  7/6 |  5/3 ), 1.16667, 1.66667,  2.88201,  6.41800,  112,        4+5,
( -7/6 | 17/6 ),-1.16667, 2.83333, -2.88201,  6.41800,  112,        3+6,
( 17/6 | -5/3 ), 2.83333,-1.66667,  6.99916, -0.71311,  112,        4+5,
(  5/3 |-17/6 ), 1.66667,-2.83333,  4.11715, -5.70489,  112,        1+2,
(-17/6 |  7/6 ),-2.83333, 1.16667, -6.99916, -0.71311,  112,        3+6,
( -5/3 | -7/6 ),-1.66667,-1.16667, -4.11715, -5.70489,  112,        1+2,
(  5/3 |  7/6 ), 1.66667, 1.16667,  4.11715,  5.70489,  113,        1+2,
( 17/6 | -7/6 ), 2.83333,-1.16667,  6.99916,  0.71311,  113,        3+6,
( -5/3 | 17/6 ),-1.66667, 2.83333, -4.11715,  5.70489,  113,        1+2,
(-17/6 |  5/3 ),-2.83333, 1.66667, -6.99916,  0.71311,  113,        4+5,
(  7/6 |-17/6 ), 1.16667,-2.83333,  2.88201, -6.41800,  113,        3+6,
( -7/6 | -5/3 ),-1.16667,-1.66667, -2.88201, -6.41800,  113,        4+5,
(  5/2 |  0   ), 2.50000, 0.00000,  6.17573,  3.56556,  114,        4+5,
( -5/2 |  5/2 ),-2.50000, 2.50000, -6.17573,  3.56556,  114,        3+6,
(  0   | -5/2 ), 0.00000,-2.50000,  0.00000, -7.13112,  114,        1+2,
(  0   |  5/2 ), 0.00000, 2.50000,  0.00000,  7.13112,  115,        1+2,
(  5/2 | -5/2 ), 2.50000,-2.50000,  6.17573, -3.56556,  115,        3+6,
( -5/2 |  0   ),-2.50000, 0.00000, -6.17573, -3.56556,  115,        4+5,
( 11/12| 23/12), 0.91667, 1.91667,  2.26443,  6.77456,  116,        3+6,
(-11/12| 17/6 ),-0.91667, 2.83333, -2.26443,  6.77456,  116,        4+5,
( 17/6 |-23/12), 2.83333,-1.91667,  6.99916, -1.42622,  116,        1+2,
( 23/12|-17/6 ), 1.91667,-2.83333,  4.73472, -5.34834,  116,        4+5,
(-17/6 | 11/12),-2.83333, 0.91667, -6.99916, -1.42622,  116,        1+2,
(-23/12|-11/12),-1.91667,-0.91667, -4.73472, -5.34834,  116,        3+6,
( 23/12| 11/12), 1.91667, 0.91667,  4.73472,  5.34834,  117,        3+6,
( 17/6 |-11/12), 2.83333,-0.91667,  6.99916,  1.42622,  117,        1+2,
(-23/12| 17/6 ),-1.91667, 2.83333, -4.73472,  5.34834,  117,        4+5,
(-17/6 | 23/12),-2.83333, 1.91667, -6.99916,  1.42622,  117,        1+2,
( 11/12|-17/6 ), 0.91667,-2.83333,  2.26443, -6.77456,  117,        4+5,
(-11/12|-23/12),-0.91667,-1.91667, -2.26443, -6.77456,  117,        3+6,
( 29/12|  1/6 ), 2.41667, 0.16667,  5.96987,  3.92211,  118,        4+5,
( 31/12| -1/6 ), 2.58333,-0.16667,  6.38159,  3.20900,  118,        4+5,
(-29/12| 31/12),-2.41667, 2.58333, -5.96987,  3.92211,  118,        3+6,
(-31/12| 29/12),-2.58333, 2.41667, -6.38159,  3.20900,  118,        3+6,
(  1/6 |-31/12), 0.16667,-2.58333,  0.41172, -7.13112,  118,        1+2,
( -1/6 |-29/12),-0.16667,-2.41667, -0.41172, -7.13112,  118,        1+2,
(  1/6 | 29/12), 0.16667, 2.41667,  0.41172,  7.13112,  119,        1+2,
( -1/6 | 31/12),-0.16667, 2.58333, -0.41172,  7.13112,  119,        1+2,
( 31/12|-29/12), 2.58333,-2.41667,  6.38159, -3.20900,  119,        3+6,
( 29/12|-31/12), 2.41667,-2.58333,  5.96987, -3.92211,  119,        3+6,
(-31/12|  1/6 ),-2.58333, 0.16667, -6.38159, -3.20900,  119,        4+5,
(-29/12| -1/6 ),-2.41667,-0.16667, -5.96987, -3.92211,  119,        4+5,
(  1/3 |  7/3 ), 0.33333, 2.33333,  0.82343,  7.13112,  120,1+2+3+4+5+6,
( -1/3 |  8/3 ),-0.33333, 2.66667, -0.82343,  7.13112,  120,1+2+3+4+5+6,
(  8/3 | -7/3 ), 2.66667,-2.33333,  6.58744, -2.85245,  120,1+2+3+4+5+6,
(  7/3 | -8/3 ), 2.33333,-2.66667,  5.76401, -4.27867,  120,1+2+3+4+5+6,
( -8/3 |  1/3 ),-2.66667, 0.33333, -6.58744, -2.85245,  120,1+2+3+4+5+6,
( -7/3 | -1/3 ),-2.33333,-0.33333, -5.76401, -4.27867,  120,1+2+3+4+5+6,
(  7/3 |  1/3 ), 2.33333, 0.33333,  5.76401,  4.27867,  121,1+2+3+4+5+6,
(  8/3 | -1/3 ), 2.66667,-0.33333,  6.58744,  2.85245,  121,1+2+3+4+5+6,
( -7/3 |  8/3 ),-2.33333, 2.66667, -5.76401,  4.27867,  121,1+2+3+4+5+6,
( -8/3 |  7/3 ),-2.66667, 2.33333, -6.58744,  2.85245,  121,1+2+3+4+5+6,
(  1/3 | -8/3 ), 0.33333,-2.66667,  0.82343, -7.13112,  121,1+2+3+4+5+6,
( -1/3 | -7/3 ),-0.33333,-2.33333, -0.82343, -7.13112,  121,1+2+3+4+5+6,
(  9/4 |  1/2 ), 2.25000, 0.50000,  5.55815,  4.63523,  122,        4+5,
( 11/4 | -1/2 ), 2.75000,-0.50000,  6.79330,  2.49589,  122,        4+5,
( -9/4 | 11/4 ),-2.25000, 2.75000, -5.55815,  4.63523,  122,        3+6,
(-11/4 |  9/4 ),-2.75000, 2.25000, -6.79330,  2.49589,  122,        3+6,
(  1/2 |-11/4 ), 0.50000,-2.75000,  1.23515, -7.13112,  122,        1+2,
( -1/2 | -9/4 ),-0.50000,-2.25000, -1.23515, -7.13112,  122,        1+2,
(  1/2 |  9/4 ), 0.50000, 2.25000,  1.23515,  7.13112,  123,        1+2,
( -1/2 | 11/4 ),-0.50000, 2.75000, -1.23515,  7.13112,  123,        1+2,
( 11/4 | -9/4 ), 2.75000,-2.25000,  6.79330, -2.49589,  123,        3+6,
(  9/4 |-11/4 ), 2.25000,-2.75000,  5.55815, -4.63523,  123,        3+6,
(-11/4 |  1/2 ),-2.75000, 0.50000, -6.79330, -2.49589,  123,        4+5,
( -9/4 | -1/2 ),-2.25000,-0.50000, -5.55815, -4.63523,  123,        4+5,
( 13/12| 11/6 ), 1.08333, 1.83333,  2.67615,  6.77456,  124,        4+5,
(-13/12| 35/12),-1.08333, 2.91667, -2.67615,  6.77456,  124,        3+6,
( 35/12|-11/6 ), 2.91667,-1.83333,  7.20502, -1.06967,  124,        4+5,
( 11/6 |-35/12), 1.83333,-2.91667,  4.52887, -5.70489,  124,        1+2,
(-35/12| 13/12),-2.91667, 1.08333, -7.20502, -1.06967,  124,        3+6,
(-11/6 |-13/12),-1.83333,-1.08333, -4.52887, -5.70489,  124,        1+2,
( 11/6 | 13/12), 1.83333, 1.08333,  4.52887,  5.70489,  125,        1+2,
( 35/12|-13/12), 2.91667,-1.08333,  7.20502,  1.06967,  125,        3+6,
(-11/6 | 35/12),-1.83333, 2.91667, -4.52887,  5.70489,  125,        1+2,
(-35/12| 11/6 ),-2.91667, 1.83333, -7.20502,  1.06967,  125,        4+5,
( 13/12|-35/12), 1.08333,-2.91667,  2.67615, -6.77456,  125,        3+6,
(-13/12|-11/6 ),-1.08333,-1.83333, -2.67615, -6.77456,  125,        4+5,
( 13/6 |  2/3 ), 2.16667, 0.66667,  5.35230,  4.99178,  126,        4+5,
( 17/6 | -2/3 ), 2.83333,-0.66667,  6.99916,  2.13933,  126,        4+5,
(-13/6 | 17/6 ),-2.16667, 2.83333, -5.35230,  4.99178,  126,        3+6,
(-17/6 | 13/6 ),-2.83333, 2.16667, -6.99916,  2.13933,  126,        3+6,
(  2/3 |-17/6 ), 0.66667,-2.83333,  1.64686, -7.13112,  126,        1+2,
( -2/3 |-13/6 ),-0.66667,-2.16667, -1.64686, -7.13112,  126,        1+2,
(  2/3 | 13/6 ), 0.66667, 2.16667,  1.64686,  7.13112,  127,        1+2,
( -2/3 | 17/6 ),-0.66667, 2.83333, -1.64686,  7.13112,  127,        1+2,
( 17/6 |-13/6 ), 2.83333,-2.16667,  6.99916, -2.13933,  127,        3+6,
( 13/6 |-17/6 ), 2.16667,-2.83333,  5.35230, -4.99178,  127,        3+6,
(-17/6 |  2/3 ),-2.83333, 0.66667, -6.99916, -2.13933,  127,        4+5,
(-13/6 | -2/3 ),-2.16667,-0.66667, -5.35230, -4.99178,  127,        4+5,
(  3/2 |  3/2 ), 1.50000, 1.50000,  3.70544,  6.41800,  128,        3+6,
(  3   | -3/2 ), 3.00000,-1.50000,  7.41087, -0.00000,  128,        1+2,
( -3/2 |  3   ),-1.50000, 3.00000, -3.70544,  6.41800,  128,        4+5,
(  3/2 | -3   ), 1.50000,-3.00000,  3.70544, -6.41800,  128,        4+5,
( -3   |  3/2 ),-3.00000, 1.50000, -7.41087,  0.00000,  128,        1+2,
( -3/2 | -3/2 ),-1.50000,-1.50000, -3.70544, -6.41800,  128,        3+6,
( 25/12|  5/6 ), 2.08333, 0.83333,  5.14644,  5.34834,  129,        4+5,
( 35/12| -5/6 ), 2.91667,-0.83333,  7.20502,  1.78278,  129,        4+5,
(-25/12| 35/12),-2.08333, 2.91667, -5.14644,  5.34834,  129,        3+6,
(-35/12| 25/12),-2.91667, 2.08333, -7.20502,  1.78278,  129,        3+6,
(  5/6 |-35/12), 0.83333,-2.91667,  2.05858, -7.13112,  129,        1+2,
( -5/6 |-25/12),-0.83333,-2.08333, -2.05858, -7.13112,  129,        1+2,
(  5/6 | 25/12), 0.83333, 2.08333,  2.05858,  7.13112,  130,        1+2,
( -5/6 | 35/12),-0.83333, 2.91667, -2.05858,  7.13112,  130,        1+2,
( 35/12|-25/12), 2.91667,-2.08333,  7.20502, -1.78278,  130,        3+6,
( 25/12|-35/12), 2.08333,-2.91667,  5.14644, -5.34834,  130,        3+6,
(-35/12|  5/6 ),-2.91667, 0.83333, -7.20502, -1.78278,  130,        4+5,
(-25/12| -5/6 ),-2.08333,-0.83333, -5.14644, -5.34834,  130,        4+5,
(  5/2 |  1/4 ), 2.50000, 0.25000,  6.17573,  4.27867,  131,        1+2,
( 11/4 | -1/4 ), 2.75000,-0.25000,  6.79330,  3.20900,  131,        3+6,
