# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-[(6,0),(1,2)]
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 15.2610 AA; b = 4.4055 AA
#        Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 6 domain(s) out of 6 symmetry-equivalent ones
# Domain 1 - Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[6 0] [1 2]]
# Domain 2 - Basis: a = [-15.2610   0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[-6  0] [ 1  2]]
# Domain 3 - Basis: a = [ 7.6305 13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[ 6  6] [ 1 -1]]
# Domain 4 - Basis: a = [  7.6305 -13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0 -6] [-2 -1]]
# Domain 5 - Basis: a = [-7.6305 13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0  6] [-2 -1]]
# Domain 6 - Basis: a = [ -7.6305 -13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[-6 -6] [ 1 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group, domain(s) ,
( 17/12| -7/12), 1.41667,-0.58333,  3.49958,  0.35656,   30,        3+6,
( -5/6 | 17/12),-0.83333, 1.41667, -2.05858,  2.85245,   30,        1+2,
(-17/12|  5/6 ),-1.41667, 0.83333, -3.49958,  0.35656,   30,        4+5,
(  7/12|-17/12), 0.58333,-1.41667,  1.44100, -3.20900,   30,        3+6,
( -7/12| -5/6 ),-0.58333,-0.83333, -1.44100, -3.20900,   30,        4+5,
(  1/6 |  7/6 ), 0.16667, 1.16667,  0.41172,  3.56556,   31,        3+6,
( -1/6 |  4/3 ),-0.16667, 1.33333, -0.41172,  3.56556,   31,        4+5,
(  4/3 | -7/6 ), 1.33333,-1.16667,  3.29372, -1.42622,   31,        1+2,
(  7/6 | -4/3 ), 1.16667,-1.33333,  2.88201, -2.13933,   31,        4+5,
( -4/3 |  1/6 ),-1.33333, 0.16667, -3.29372, -1.42622,   31,        1+2,
( -7/6 | -1/6 ),-1.16667,-0.16667, -2.88201, -2.13933,   31,        3+6,
(  7/6 |  1/6 ), 1.16667, 0.16667,  2.88201,  2.13933,   32,        3+6,
(  4/3 | -1/6 ), 1.33333,-0.16667,  3.29372,  1.42622,   32,        1+2,
( -7/6 |  4/3 ),-1.16667, 1.33333, -2.88201,  2.13933,   32,        4+5,
( -4/3 |  7/6 ),-1.33333, 1.16667, -3.29372,  1.42622,   32,        1+2,
(  1/6 | -4/3 ), 0.16667,-1.33333,  0.41172, -3.56556,   32,        4+5,
( -1/6 | -7/6 ),-0.16667,-1.16667, -0.41172, -3.56556,   32,        3+6,
(  3/4 |  3/4 ), 0.75000, 0.75000,  1.85272,  3.20900,   33,        3+6,
(  3/2 | -3/4 ), 1.50000,-0.75000,  3.70544, -0.00000,   33,        1+2,
( -3/4 |  3/2 ),-0.75000, 1.50000, -1.85272,  3.20900,   33,        4+5,
(  3/4 | -3/2 ), 0.75000,-1.50000,  1.85272, -3.20900,   33,        4+5,
( -3/2 |  3/4 ),-1.50000, 0.75000, -3.70544,  0.00000,   33,        1+2,
( -3/4 | -3/4 ),-0.75000,-0.75000, -1.85272, -3.20900,   33,        3+6,
(  1/2 |  1   ), 0.50000, 1.00000,  1.23515,  3.56556,   34,        4+5,
( -1/2 |  3/2 ),-0.50000, 1.50000, -1.23515,  3.56556,   34,        3+6,
(  3/2 | -1   ), 1.50000,-1.00000,  3.70544, -0.71311,   34,        4+5,
(  1   | -3/2 ), 1.00000,-1.50000,  2.47029, -2.85245,   34,        1+2,
( -3/2 |  1/2 ),-1.50000, 0.50000, -3.70544, -0.71311,   34,        3+6,
( -1   | -1/2 ),-1.00000,-0.50000, -2.47029, -2.85245,   34,        1+2,
(  1   |  1/2 ), 1.00000, 0.50000,  2.47029,  2.85245,   35,        1+2,
