frame_time (ms)    exposure (ms)       time for 20 frames (s)
-------------------------------------------------------------
      31              100                  2.294994178
	1000              100                 20.112630548
	 100              100                  2.295323698
	 200              100                  4.113450502

################################   CONTINUOUS  ################################

exposure (ms) | size (px x px) | average frame time (ms) | extra time 1st (ms)
      20      |   528 x 1200   |    29.35162977777776    |   21.031894444444674
      20      |   528 x 1000   |    24.46046866666666    |   21.394930666666482
      20      |   528 x  700   |    20.40248855555555    |   16.86277288888914
      20      |   528 x  500   |    20.39077977777777    |   12.309599444444473
      20      |   528 x  300   |    20.42177255555557    |    6.811125888888512
      20      |   528 x  100   |    20.40440272222223    |    1.957352555555531
      20      |   528 x    4   |    20.40261072222224    |    0.617575555555561
	   5      |  2048 x 1536   |                         |
       5      |  2000 x 1536   |                         |
       5      |  1808 x 1536   |                         |
       5      |  1696 x 1536   |                         |
       5      |  1536 x 1536   |                         |
       5      |  1408 x 1536   |                         |
       5      |  1312 x 1536   |                         |
       5      |  1200 x 1536   |                         |
       5      |  1104 x 1536   |                         |
       5      |   992 x 1536   |                         |
       5      |   896 x 1536   |                         |
       5      |   704 x 1536   |                         |
       5      |   528 x 1536   |                         |
       5      |   528 x 1400   |                         |
       5      |   528 x 1200   |                         |
       5      |   528 x 1000   |                         |
       5      |   528 x  700   |                         |
       5      |   528 x  500   |                         |
       5      |   528 x  300   |                         |
       5      |   528 x  100   |                         |
       5      |   528 x    4   |                         |
	 300      |  2048 x 1536   |   305.9754188333334     | 142.77489133333347
     300      |  2000 x 1536   |   305.98503033333333    | 139.84569533333342
     300      |  1808 x 1536   |   305.97299561111111    | 125.73885077777777
     300      |  1696 x 1536   |   305.98462311111111    | 117.52522277777825
     300      |  1536 x 1536   |   306.00103605555555    | 105.57246288888928
     300      |  1408 x 1536   |   305.9799395           |  96.51269400000092
     300      |  1312 x 1536   |   305.99099688888888    |  89.32945522222235
     300      |  1200 x 1536   |   305.99765566666673    |  80.85305766666534
     300      |  1104 x 1536   |   305.9733825           |  74.43104399999993
     300      |   992 x 1536   |   305.99042666666666    |  66.14500466666686
     300      |   896 x 1536   |   305.97289372222222    |  59.04607055555516
     300      |   704 x 1536   |   305.98486744444443    |  44.88131311111010
     300      |   528 x 1536   |   305.99087466666666    |  32.05426966666710
     300      |   528 x 1400   |   306.00848905555555    |  28.50977088888885
     300      |   528 x 1200   |   305.97629444444444    |  24.03857411111039
     300      |   528 x 1000   |   305.98454166666666    |  18.79372966666688
     300      |   528 x  700   |   305.98511183333335    |   11.2249703333327
     300      |   528 x  500   |   305.97499116666665    |    6.2624456666663
     300      |   528 x  300   |   305.98525438888888    |    1.1535872222221
     300      |   528 x  100   |   305.98523400000005    |   -3.7576620000009
     300      |   528 x    4   |   305.98334016666666    |   -4.9938853333333
	2000      |  2048 x 1536   |  2039.7266992222221     |  113.1176815555591
    2000      |  2000 x 1536   |  2039.6641427777777     |  110.3709414444456
    2000      |  1808 x 1536   |  2039.6892101666667     |   95.7438126666602
    2000      |  1696 x 1536   |  2039.6779492222222     |   87.3333105555648
    2000      |  1536 x 1536   |  2039.7400372777777     |   74.9098294444411
    2000      |  1408 x 1536   |  2039.7302628333333     |   65.3692393333404
    2000      |  1312 x 1536   |  2039.7239908888888     |   58.3005652222273
    2000      |  1200 x 1536   |  2039.7434176111108     |   49.9841027777875
    2000      |  1104 x 1536   |  2039.7708471111114     |   42.5023767777748
