energy,(0|-1) [-1],(0|1) [-2],(1|0) [3],(1|-1) [4],(1|1) [5],(0|-2) [6],(0|2) [7],(2|0) [8],(1|-2) [9],(1|2) [10],(2|-1) [11],(2|1) [12],(2|-2) [13],(2|2) [14],(0|-3) [-15],(1|-3) [17],(1|3) [18],(3|0) [19],(3|-1) [20],(3|1) [21],(2|-3) [22],(2|3) [23],(3|-2) [24],(3|2) [25],(0|-4) [26],(0|4) [27],(1|-4) [28],(1|4) [29],(4|0) [30],(3|-3) [31],(3|3) [32],(4|-1) [33],(4|1) [34],(2|4) [36],(4|2) [38],(1|5) [42],(4|-3) [45],(4|3) [46],(4|4) [55],(3|5) [57],(0|-6) [58],
490.50,NaN,NaN,NaN,23.650564,NaN,21.124733,35.149796,30.157536,NaN,2.5589924,2.0615733,NaN,7.807351,27.356966,NaN,23.04818,46.249794,1.4350567,9.180103,50.546337,8.361421,NaN,4.2872405,3.4591687,11.044256,22.318247,0.8255983,4.9736724,1.6215938,12.857577,18.220736,4.51756,6.959488,12.06862,5.3126903,NaN,NaN,NaN,NaN,NaN,NaN,
491.00,NaN,NaN,NaN,23.218569,NaN,21.062801,32.47403,28.80102,NaN,2.5854445,2.1778421,NaN,7.0917077,27.735363,NaN,22.299875,47.55086,1.3216975,9.113245,49.42083,9.1383295,NaN,4.2479305,3.3661437,10.753188,21.494926,0.83243144,5.191797,1.56889,12.86568,18.151587,4.354432,6.424304,11.783987,5.2602262,NaN,NaN,NaN,NaN,NaN,NaN,
491.50,NaN,NaN,NaN,22.818878,NaN,20.991045,29.891281,27.471642,NaN,2.635187,2.344833,NaN,6.421156,27.621304,NaN,21.558277,48.634396,1.1965907,9.009326,48.3295,9.939247,NaN,4.2112207,3.2476392,10.514863,20.581642,0.8307784,5.40519,1.5189553,12.786665,18.132214,4.178814,5.918579,11.494181,5.172956,NaN,NaN,NaN,NaN,NaN,NaN,
492.00,NaN,NaN,NaN,22.461782,NaN,20.908215,27.42201,26.188087,NaN,2.7110353,2.5682242,NaN,5.788981,27.044426,NaN,20.819632,49.478924,1.0647802,8.8665285,47.30429,10.740874,NaN,4.1812754,3.1091962,10.296497,19.586002,0.82164866,5.6003265,1.4814966,12.624927,18.155172,3.9882145,5.4463882,11.205047,5.051409,NaN,NaN,NaN,NaN,NaN,NaN,
492.50,NaN,NaN,NaN,22.15606,NaN,20.80766,25.081533,24.966406,NaN,2.8141012,2.8526776,NaN,5.1914177,26.063505,NaN,20.080809,50.066288,0.9312934,8.682025,46.3698,11.518801,NaN,4.1614094,2.9559994,10.0754385,18.516283,0.80651623,5.7628655,1.4672487,12.383827,18.21061,3.7827573,5.010498,10.921705,4.897424,NaN,NaN,NaN,NaN,NaN,NaN,
493.00,NaN,NaN,NaN,21.908281,NaN,20.678616,22.880276,23.81875,NaN,2.9430482,3.2009692,NaN,4.6281986,24.760197,NaN,19.339098,50.383053,0.80083853,8.452918,45.54186,12.249036,NaN,4.1537733,2.7921138,9.840089,17.382656,0.7871504,5.8791804,1.4868774,12.066314,18.28755,3.564973,4.612742,10.648472,4.7141213,NaN,NaN,NaN,NaN,NaN,NaN,
493.50,NaN,NaN,NaN,21.720936,NaN,20.508078,20.824396,22.752619,NaN,3.093979,3.6134536,NaN,4.102478,23.230665,NaN,18.591944,50.421844,0.6775674,8.177292,44.826813,12.909498,NaN,4.159128,2.6207511,9.589522,16.198402,0.7654594,5.937869,1.5496932,11.675766,18.37555,3.339147,4.25436,10.38884,4.505761,NaN,NaN,NaN,NaN,NaN,NaN,
494.00,NaN,NaN,NaN,21.589779,NaN,20.28319,18.916704,21.770742,NaN,3.2610323,4.0880485,NaN,3.620243,21.575903,NaN,17.836775,50.182476,0.5649205,7.855162,44.221436,13.481304,NaN,4.1767316,2.4450798,9.331992,14.980767,0.74338114,5.9310393,1.6624373,11.216895,18.466446,3.1104512,3.9362652,10.145497,4.277506,NaN,NaN,NaN,NaN,NaN,NaN,
494.50,NaN,NaN,NaN,21.501814,NaN,19.993876,17.157768,20.871618,NaN,3.437523,4.620797,NaN,3.1893616,19.892052,NaN,17.071049,49.672665,0.465559,7.4891157,43.713478,13.94976,NaN,4.2043705,2.2686827,9.082613,13.751127,0.72282296,5.855182,1.8284351,10.696453,18.555922,2.88411,3.6592124,9.920355,4.035103,NaN,NaN,NaN,NaN,NaN,NaN,
495.00,NaN,NaN,NaN,21.43551,NaN,19.635347,15.546972,20.050545,NaN,3.6173193,5.206947,NaN,2.8184795,18.262245,NaN,16.292551,48.908176,0.38138184,7.0845156,43.282646,14.304972,NaN,4.2385435,2.0952983,8.860544,12.534264,0.7056394,5.711525,2.0473669,10.123613,18.644564,2.6647987,3.4238737,9.714576,3.7845218,NaN,NaN,NaN,NaN,NaN,NaN,
495.50,NaN,NaN,NaN,21.363937,NaN,19.21,14.08327,19.300806,NaN,3.7961264,5.842332,NaN,2.5159402,16.751167,NaN,15.499862,47.912376,0.3136096,6.649268,42.901974,14.542005,NaN,4.2747846,1.9281983,8.685994,11.356722,0.6936187,5.505822,2.315764,9.509898,18.738178,2.456391,3.2308314,9.528593,3.5315835,NaN,NaN,NaN,NaN,NaN,NaN,
496.00,NaN,NaN,NaN,21.259876,NaN,18.728224,12.765435,18.614714,NaN,3.9723396,6.524748,NaN,2.2888641,15.402809,NaN,14.692766,46.715096,0.26291394,6.1932096,42.539516,14.660643,NaN,4.308095,1.7699133,8.577345,10.244508,0.6884514,5.247625,2.6281729,8.868646,18.847218,2.2620635,3.080518,9.362106,3.2816215,NaN,NaN,NaN,NaN,NaN,NaN,
