# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/leedTaS2.tlm
#
# Structure: TaS2-(r13xr13)R13.9° - all domains
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 3.3540 AA; alpha = 120.00 deg
#        Basis: a = [ 3.3540 -0.0000]; b = [-1.6770  2.9046]
# Surface lattice: Hexagonal (p3); a = 12.0930 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [11.7390  2.9046]; b = [-8.3850  8.7139]
#            Superlattice: [[ 4  1] [-1  3]]
# Domain 2 - Basis: a = [11.7390 -2.9046]; b = [-8.3850 -8.7139]
#            Superlattice: [[ 3 -1] [-4 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  4/13| 12/13), 0.30769, 0.92308,  0.57641,  2.32954,   36,        2,
(-12/13| 16/13),-0.92308, 1.23077, -1.72924,  1.66396,   37,        2,
( -4/13|-12/13),-0.30769,-0.92308, -0.57641, -2.32954,   37,        2,
( 16/13| -4/13), 1.23077,-0.30769,  2.30565,  0.66558,   37,        2,
(-12/13| -4/13),-0.92308,-0.30769, -1.72924, -1.66396,   38,        1,
( -4/13| 16/13),-0.30769, 1.23077, -0.57641,  2.32954,   38,        1,
( 16/13|-12/13), 1.23077,-0.92308,  2.30565, -0.66558,   38,        1,
(-18/13| 11/13),-1.38462, 0.84615, -2.59386,  0.33279,   39,        2,
( 11/13|  7/13), 0.84615, 0.53846,  1.58513,  2.07995,   39,        2,
(  7/13|-18/13), 0.53846,-1.38462,  1.00872, -2.41274,   39,        2,
(-17/13| 14/13),-1.30769, 1.07692, -2.44975,  0.91518,   40,        2,
( 14/13|  3/13), 1.07692, 0.23077,  2.01744,  1.66396,   40,        2,
(  3/13|-17/13), 0.23077,-1.30769,  0.43231, -2.57914,   40,        2,
(-18/13|  7/13),-1.38462, 0.53846, -2.59386, -0.33279,   41,        1,
( 11/13|-18/13), 0.84615,-1.38462,  1.58513, -2.07995,   41,        1,
(  7/13| 11/13), 0.53846, 0.84615,  1.00872,  2.41274,   41,        1,
(-14/13| 17/13),-1.07692, 1.30769, -2.01744,  1.66396,   42,        1,
( -3/13|-14/13),-0.23077,-1.07692, -0.43231, -2.57914,   42,        1,
( 17/13| -3/13), 1.30769,-0.23077,  2.44975,  0.91518,   42,        1,
(-17/13|  3/13),-1.30769, 0.23077, -2.44975, -0.91518,   43,        1,
( 14/13|-17/13), 1.07692,-1.30769,  2.01744, -1.66396,   43,        1,
(  3/13| 14/13), 0.23077, 1.07692,  0.43231,  2.57914,   43,        1,
(-11/13| 18/13),-0.84615, 1.38462, -1.58513,  2.07995,   44,        1,
( -7/13|-11/13),-0.53846,-0.84615, -1.00872, -2.41274,   44,        1,
( 18/13| -7/13), 1.38462,-0.53846,  2.59386,  0.33279,   44,        1,
(-14/13| -3/13),-1.07692,-0.23077, -2.01744, -1.66396,   45,        2,
( -3/13| 17/13),-0.23077, 1.30769, -0.43231,  2.57914,   45,        2,
( 17/13|-14/13), 1.30769,-1.07692,  2.44975, -0.91518,   45,        2,
(-11/13| -7/13),-0.84615,-0.53846, -1.58513, -2.07995,   46,        2,
( -7/13| 18/13),-0.53846, 1.38462, -1.00872,  2.41274,   46,        2,
( 18/13|-11/13), 1.38462,-0.84615,  2.59386, -0.33279,   46,        2,
(-19/13| 11/13),-1.46154, 0.84615, -2.73796,  0.24959,   47,        1,
( 11/13|  8/13), 0.84615, 0.61538,  1.58513,  2.24635,   47,        1,
(  8/13|-19/13), 0.61538,-1.46154,  1.15283, -2.49594,   47,        1,
(-17/13| 16/13),-1.30769, 1.23077, -2.44975,  1.24797,   48,        1,
(  1/13|-17/13), 0.07692,-1.30769,  0.14410, -2.74553,   48,        1,
( 16/13|  1/13), 1.23077, 0.07692,  2.30565,  1.49756,   48,        1,
(-19/13|  8/13),-1.46154, 0.61538, -2.73796, -0.24959,   49,        2,
( 11/13|-19/13), 0.84615,-1.46154,  1.58513, -2.24635,   49,        2,
(  8/13| 11/13), 0.61538, 0.84615,  1.15283,  2.49594,   49,        2,
(-17/13|  1/13),-1.30769, 0.07692, -2.44975, -1.24797,   50,        2,
(  1/13| 16/13), 0.07692, 1.23077,  0.14410,  2.74553,   50,        2,
( 16/13|-17/13), 1.23077,-1.30769,  2.30565, -1.49756,   50,        2,
(-11/13| 19/13),-0.84615, 1.46154, -1.58513,  2.24635,   51,        2,
( -8/13|-11/13),-0.61538,-0.84615, -1.15283, -2.49594,   51,        2,
( 19/13| -8/13), 1.46154,-0.61538,  2.73796,  0.24959,   51,        2,
(-11/13| -8/13),-0.84615,-0.61538, -1.58513, -2.24635,   52,        1,
( -8/13| 19/13),-0.61538, 1.46154, -1.15283,  2.49594,   52,        1,
( 19/13|-11/13), 1.46154,-0.84615,  2.73796, -0.24959,   52,        1,
( -1/13| 17/13),-0.07692, 1.30769, -0.14410,  2.74553,   53,        1,
(-16/13| -1/13),-1.23077,-0.07692, -2.30565, -1.49756,   53,        1,
( 17/13|-16/13), 1.30769,-1.23077,  2.44975, -1.24797,   53,        1,
( -1/13|-16/13),-0.07692,-1.23077, -0.14410, -2.74553,   54,        2,
(-16/13| 17/13),-1.23077, 1.30769, -2.30565,  1.49756,   54,        2,
( 17/13| -1/13), 1.30769,-0.07692,  2.44975,  1.24797,   54,        2,
(-20/13| 15/13),-1.53846, 1.15385, -2.88206,  0.83198,   55,        1,
( 15/13|  5/13), 1.15385, 0.38462,  2.16155,  2.07995,   55,        1,
(  5/13|-20/13), 0.38462,-1.53846,  0.72052, -2.91193,   55,        1,
(-20/13|  5/13),-1.53846, 0.38462, -2.88206, -0.83198,   56,        2,
( 15/13|-20/13), 1.15385,-1.53846,  2.16155, -2.07995,   56,        2,
(  5/13| 15/13), 0.38462, 1.15385,  0.72052,  2.91193,   56,        2,
(-15/13| 20/13),-1.15385, 1.53846, -2.16155,  2.07995,   57,        2,
( -5/13|-15/13),-0.38462,-1.15385, -0.72052, -2.91193,   57,        2,
( 20/13| -5/13), 1.53846,-0.38462,  2.88206,  0.83198,   57,        2,
