# This file was automatically generated by TLEEDMAP v.0.1a.
#
# Structure: tst
#
# Max. LEED Energy: 500.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5500 AA; alpha = 120.00 deg
#        Basis: a = [ 1.2750 -2.2083]; b = [1.2750 2.2083]
# Surface lattice: Rectangular (pg[0 1]); a = 7.6500 AA; b = 4.4167 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.6500 0.0000]; b = [0.0000 4.4167]
#            Superlattice: [[ 3  3] [-1  1]]
# Domain 2 - Basis: a = [3.8250 6.6250]; b = [ 3.8250 -2.2083]
#            Superlattice: [[0 3] [2 1]]
# Domain 3 - Basis: a = [ 3.8250 -6.6250]; b = [-3.8250 -2.2083]
#            Superlattice: [[ 3  0] [-1 -2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -3/2|  1/2),-1.50000, 0.50000, -2.46399,  2.84519,   15,        1,
(  1  | -3/2), 1.00000,-1.50000, -1.23200, -3.55649,   15,        3,
(  1/2|  1  ), 0.50000, 1.00000,  3.69599,  0.71130,   15,        2,
(  3/2| -1  ), 1.50000,-1.00000,  1.23200, -3.55649,   15,        2,
( -1  |  3/2),-1.00000, 1.50000,  1.23200,  3.55649,   16,        3,
( -1/2| -1  ),-0.50000,-1.00000, -3.69599, -0.71130,   16,        2,
( -3/2|  1  ),-1.50000, 1.00000, -1.23200,  3.55649,   16,        2,
(  1  |  1/2), 1.00000, 0.50000,  3.69599, -0.71130,   16,        3,
(  1/2| -3/2), 0.50000,-1.50000, -2.46399, -2.84519,   16,        1,
(  3/2| -1/2), 1.50000,-0.50000,  2.46399, -2.84519,   16,        1,
( -5/3|  5/6),-1.66667, 0.83333, -2.05333,  3.55649,   17,        3,
( -5/6| -5/6),-0.83333,-0.83333, -4.10666,  0.00000,   17,        1,
( -5/6|  5/3),-0.83333, 1.66667,  2.05333,  3.55649,   17,        2,
(  5/3| -5/6), 1.66667,-0.83333,  2.05333, -3.55649,   17,        3,
(  5/6| -5/3), 0.83333,-1.66667, -2.05333, -3.55649,   17,        2,
(  5/6|  5/6), 0.83333, 0.83333,  4.10666, -0.00000,   17,        1,
( -3/2|  0  ),-1.50000, 0.00000, -3.69599,  2.13390,  -18,      (2),
(  0  |  3/2), 0.00000, 1.50000,  3.69599,  2.13390,  -18,      (3),
(  3/2| -3/2), 1.50000,-1.50000,  0.00000, -4.26779,  -18,      (1),
( -3/2|  3/2),-1.50000, 1.50000,  0.00000,  4.26779,  -19,      (1),
(  0  | -3/2), 0.00000,-1.50000, -3.69599, -2.13390,  -19,      (3),
(  3/2|  0  ), 1.50000, 0.00000,  3.69599, -2.13390,  -19,      (2),
( -1/3| -4/3),-0.33333,-1.33333, -4.10666, -1.42260,   20,    1+2+3,
( -4/3|  5/3),-1.33333, 1.66667,  0.82133,  4.26779,   20,    1+2+3,
( -5/3|  4/3),-1.66667, 1.33333, -0.82133,  4.26779,   20,    1+2+3,
(  1/3| -5/3), 0.33333,-1.66667, -3.28533, -2.84519,   20,    1+2+3,
(  4/3|  1/3), 1.33333, 0.33333,  4.10666, -1.42260,   20,    1+2+3,
(  5/3| -1/3), 1.66667,-0.33333,  3.28533, -2.84519,   20,    1+2+3,
( -1/3|  5/3),-0.33333, 1.66667,  3.28533,  2.84519,   21,    1+2+3,
( -4/3| -1/3),-1.33333,-0.33333, -4.10666,  1.42260,   21,    1+2+3,
( -5/3|  1/3),-1.66667, 0.33333, -3.28533,  2.84519,   21,    1+2+3,
(  1/3|  4/3), 0.33333, 1.33333,  4.10666,  1.42260,   21,    1+2+3,
(  4/3| -5/3), 1.33333,-1.66667, -0.82133, -4.26779,   21,    1+2+3,
(  5/3| -4/3), 1.66667,-1.33333,  0.82133, -4.26779,   21,    1+2+3,
(-11/6|  2/3),-1.83333, 0.66667, -2.87466,  3.55649,   22,        2,
( -2/3| 11/6),-0.66667, 1.83333,  2.87466,  3.55649,   22,        3,
( -7/6| -2/3),-1.16667,-0.66667, -4.51732,  0.71130,   22,        2,
( 11/6| -7/6), 1.83333,-1.16667,  1.64266, -4.26779,   22,        1,
(  2/3|  7/6), 0.66667, 1.16667,  4.51732,  0.71130,   22,        3,
(  7/6|-11/6), 1.16667,-1.83333, -1.64266, -4.26779,   22,        1,
(-11/6|  7/6),-1.83333, 1.16667, -1.64266,  4.26779,   23,        1,
( -2/3| -7/6),-0.66667,-1.16667, -4.51732, -0.71130,   23,        3,
( -7/6| 11/6),-1.16667, 1.83333,  1.64266,  4.26779,   23,        1,
( 11/6| -2/3), 1.83333,-0.66667,  2.87466, -3.55649,   23,        2,
(  2/3|-11/6), 0.66667,-1.83333, -2.87466, -3.55649,   23,        3,
(  7/6|  2/3), 1.16667, 0.66667,  4.51732, -0.71130,   23,        2,
( -1  | -1  ),-1.00000,-1.00000, -4.92799,  0.00000,   24,    1+2+3,
( -1  |  2  ),-1.00000, 2.00000,  2.46399,  4.26779,   24,    1+2+3,
( -2  |  1  ),-2.00000, 1.00000, -2.46399,  4.26779,   24,    1+2+3,
(  1  | -2  ), 1.00000,-2.00000, -2.46399, -4.26779,   24,    1+2+3,
(  1  |  1  ), 1.00000, 1.00000,  4.92799, -0.00000,   24,    1+2+3,
(  2  | -1  ), 2.00000,-1.00000,  2.46399, -4.26779,   24,    1+2+3,
( -1/6| -5/3),-0.16667,-1.66667, -4.51732, -2.13390,   25,        2,
(-11/6|  5/3),-1.83333, 1.66667, -0.41067,  4.97909,   25,        2,
( -5/3| 11/6),-1.66667, 1.83333,  0.41067,  4.97909,   25,        3,
(  1/6|-11/6), 0.16667,-1.83333, -4.10666, -2.84519,   25,        1,
( 11/6| -1/6), 1.83333,-0.16667,  4.10666, -2.84519,   25,        1,
(  5/3|  1/6), 1.66667, 0.16667,  4.51732, -2.13390,   25,        3,
( -1/6| 11/6),-0.16667, 1.83333,  4.10666,  2.84519,   26,        1,
(-11/6|  1/6),-1.83333, 0.16667, -4.10666,  2.84519,   26,        1,
( -5/3| -1/6),-1.66667,-0.16667, -4.51732,  2.13390,   26,        3,
(  1/6|  5/3), 0.16667, 1.66667,  4.51732,  2.13390,   26,        2,
( 11/6| -5/3), 1.83333,-1.66667,  0.41067, -4.97909,   26,        2,
(  5/3|-11/6), 1.66667,-1.83333, -0.41067, -4.97909,   26,        3,
( -1/2| -3/2),-0.50000,-1.50000, -4.92799, -1.42260,   27,        1,
( -2  |  3/2),-2.00000, 1.50000, -1.23200,  4.97909,   27,        3,
( -3/2|  2  ),-1.50000, 2.00000,  1.23200,  4.97909,   27,        2,
(  1/2| -2  ), 0.50000,-2.00000, -3.69599, -3.55649,   27,        2,
(  2  | -1/2), 2.00000,-0.50000,  3.69599, -3.55649,   27,        3,
(  3/2|  1/2), 1.50000, 0.50000,  4.92799, -1.42260,   27,        1,
( -1/2|  2  ),-0.50000, 2.00000,  3.69599,  3.55649,   28,        2,
( -2  |  1/2),-2.00000, 0.50000, -3.69599,  3.55649,   28,        3,
( -3/2| -1/2),-1.50000,-0.50000, -4.92799,  1.42260,   28,        1,
(  1/2|  3/2), 0.50000, 1.50000,  4.92799,  1.42260,   28,        1,
(  2  | -3/2), 2.00000,-1.50000,  1.23200, -4.97909,   28,        3,
(  3/2| -2  ), 1.50000,-2.00000, -1.23200, -4.97909,   28,        2,
(-13/6|  5/6),-2.16667, 0.83333, -3.28533,  4.26779,   29,        1,
( -4/3| -5/6),-1.33333,-0.83333, -5.33865,  0.71130,   29,        3,
( -5/6| 13/6),-0.83333, 2.16667,  3.28533,  4.26779,   29,        1,
( 13/6| -4/3), 2.16667,-1.33333,  2.05333, -4.97909,   29,        2,
(  4/3|-13/6), 1.33333,-2.16667, -2.05333, -4.97909,   29,        3,
(  5/6|  4/3), 0.83333, 1.33333,  5.33865,  0.71130,   29,        2,
(-13/6|  4/3),-2.16667, 1.33333, -2.05333,  4.97909,   30,        2,
( -4/3| 13/6),-1.33333, 2.16667,  2.05333,  4.97909,   30,        3,
( -5/6| -4/3),-0.83333,-1.33333, -5.33865, -0.71130,   30,        2,
( 13/6| -5/6), 2.16667,-0.83333,  3.28533, -4.26779,   30,        1,
(  4/3|  5/6), 1.33333, 0.83333,  5.33865, -0.71130,   30,        3,
(  5/6|-13/6), 0.83333,-2.16667, -3.28533, -4.26779,   30,        1,
( -2  |  0  ),-2.00000, 0.00000, -4.92799,  2.84519,   31,    1+2+3,
(  0  |  2  ), 0.00000, 2.00000,  4.92799,  2.84519,   31,    1+2+3,
(  2  | -2  ), 2.00000,-2.00000,  0.00000, -5.69039,   31,    1+2+3,
( -2  |  2  ),-2.00000, 2.00000,  0.00000,  5.69039,   32,    1+2+3,
(  0  | -2  ), 0.00000,-2.00000, -4.92799, -2.84519,   32,    1+2+3,
(  2  |  0  ), 2.00000, 0.00000,  4.92799, -2.84519,   32,    1+2+3,
( -1/3|-11/6),-0.33333,-1.83333, -5.33865, -2.13390,   33,        3,
(-11/6| 13/6),-1.83333, 2.16667,  0.82133,  5.69039,   33,        1,
(-13/6| 11/6),-2.16667, 1.83333, -0.82133,  5.69039,   33,        1,
(  1/3|-13/6), 0.33333,-2.16667, -4.51732, -3.55649,   33,        3,
( 11/6|  1/3), 1.83333, 0.33333,  5.33865, -2.13390,   33,        2,
( 13/6| -1/3), 2.16667,-0.33333,  4.51732, -3.55649,   33,        2,
( -1/3| 13/6),-0.33333, 2.16667,  4.51732,  3.55649,   34,        3,
(-11/6| -1/3),-1.83333,-0.33333, -5.33865,  2.13390,   34,        2,
(-13/6|  1/3),-2.16667, 0.33333, -4.51732,  3.55649,   34,        2,
(  1/3| 11/6), 0.33333, 1.83333,  5.33865,  2.13390,   34,        3,
( 11/6|-13/6), 1.83333,-2.16667, -0.82133, -5.69039,   34,        1,
( 13/6|-11/6), 2.16667,-1.83333,  0.82133, -5.69039,   34,        1,
