# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(2r3x2r3)R30
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3); a = 8.8109 AA; alpha = 120.00 deg
#        Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
#            Superlattice: [[ 4  2] [-2  2]]
# Domain 2 - Basis: a = [-7.6305  4.4055]; b = [7.6305 4.4055]
#            Superlattice: [[-2  2] [ 4  2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(-13/6| 11/6),-2.16667, 1.83333, -5.35230,  2.13933,   33,      1+2,
(  1/3|-13/6), 0.33333,-2.16667,  0.82343, -5.70489,   33,      1+2,
( -1/3|-11/6),-0.33333,-1.83333, -0.82343, -5.70489,   33,      1+2,
(  1/3| 11/6), 0.33333, 1.83333,  0.82343,  5.70489,   34,      1+2,
( -1/3| 13/6),-0.33333, 2.16667, -0.82343,  5.70489,   34,      1+2,
( 13/6|-11/6), 2.16667,-1.83333,  5.35230, -2.13933,   34,      1+2,
( 11/6|-13/6), 1.83333,-2.16667,  4.52887, -3.56556,   34,      1+2,
(-13/6|  1/3),-2.16667, 0.33333, -5.35230, -2.13933,   34,      1+2,
(-11/6| -1/3),-1.83333,-0.33333, -4.52887, -3.56556,   34,      1+2,
(  7/6|  7/6), 1.16667, 1.16667,  2.88201,  4.99178,   35,      1+2,
(  7/3| -7/6), 2.33333,-1.16667,  5.76401, -0.00000,   35,      1+2,
( -7/6|  7/3),-1.16667, 2.33333, -2.88201,  4.99178,   35,      1+2,
(  7/6| -7/3), 1.16667,-2.33333,  2.88201, -4.99178,   35,      1+2,
( -7/3|  7/6),-2.33333, 1.16667, -5.76401,  0.00000,   35,      1+2,
( -7/6| -7/6),-1.16667,-1.16667, -2.88201, -4.99178,   35,      1+2,
(  2/3|  5/3), 0.66667, 1.66667,  1.64686,  5.70489,   36,      1+2,
( -2/3|  7/3),-0.66667, 2.33333, -1.64686,  5.70489,   36,      1+2,
(  7/3| -5/3), 2.33333,-1.66667,  5.76401, -1.42622,   36,      1+2,
(  5/3| -7/3), 1.66667,-2.33333,  4.11715, -4.27867,   36,      1+2,
( -7/3|  2/3),-2.33333, 0.66667, -5.76401, -1.42622,   36,      1+2,
( -5/3| -2/3),-1.66667,-0.66667, -4.11715, -4.27867,   36,      1+2,
(  5/3|  2/3), 1.66667, 0.66667,  4.11715,  4.27867,   37,      1+2,
(  7/3| -2/3), 2.33333,-0.66667,  5.76401,  1.42622,   37,      1+2,
( -5/3|  7/3),-1.66667, 2.33333, -4.11715,  4.27867,   37,      1+2,
( -7/3|  5/3),-2.33333, 1.66667, -5.76401,  1.42622,   37,      1+2,
(  2/3| -7/3), 0.66667,-2.33333,  1.64686, -5.70489,   37,      1+2,
( -2/3| -5/3),-0.66667,-1.66667, -1.64686, -5.70489,   37,      1+2,
(  1  |  3/2), 1.00000, 1.50000,  2.47029,  5.70489,   38,      1+2,
( -1  |  5/2),-1.00000, 2.50000, -2.47029,  5.70489,   38,      1+2,
(  5/2| -3/2), 2.50000,-1.50000,  6.17573, -0.71311,   38,      1+2,
(  3/2| -5/2), 1.50000,-2.50000,  3.70544, -4.99178,   38,      1+2,
( -5/2|  1  ),-2.50000, 1.00000, -6.17573, -0.71311,   38,      1+2,
( -3/2| -1  ),-1.50000,-1.00000, -3.70544, -4.99178,   38,      1+2,
(  3/2|  1  ), 1.50000, 1.00000,  3.70544,  4.99178,   39,      1+2,
(  5/2| -1  ), 2.50000,-1.00000,  6.17573,  0.71311,   39,      1+2,
( -3/2|  5/2),-1.50000, 2.50000, -3.70544,  4.99178,   39,      1+2,
( -5/2|  3/2),-2.50000, 1.50000, -6.17573,  0.71311,   39,      1+2,
(  1  | -5/2), 1.00000,-2.50000,  2.47029, -5.70489,   39,      1+2,
( -1  | -3/2),-1.00000,-1.50000, -2.47029, -5.70489,   39,      1+2,
( 13/6|  1/6), 2.16667, 0.16667,  5.35230,  3.56556,   40,      1+2,
(  7/3| -1/6), 2.33333,-0.16667,  5.76401,  2.85245,   40,      1+2,
(-13/6|  7/3),-2.16667, 2.33333, -5.35230,  3.56556,   40,      1+2,
( -7/3| 13/6),-2.33333, 2.16667, -5.76401,  2.85245,   40,      1+2,
(  1/6| -7/3), 0.16667,-2.33333,  0.41172, -6.41800,   40,      1+2,
( -1/6|-13/6),-0.16667,-2.16667, -0.41172, -6.41800,   40,      1+2,
(  1/6| 13/6), 0.16667, 2.16667,  0.41172,  6.41800,   41,      1+2,
( -1/6|  7/3),-0.16667, 2.33333, -0.41172,  6.41800,   41,      1+2,
