# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(2r3x2r3)R30
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3); a = 8.8109 AA; alpha = 120.00 deg
#        Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
#            Superlattice: [[ 4  2] [-2  2]]
# Domain 2 - Basis: a = [-7.6305  4.4055]; b = [7.6305 4.4055]
#            Superlattice: [[-2  2] [ 4  2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( -4  |  1  ),-4.00000, 1.00000, -9.88116, -2.85245,  101,      1+2,
( -3  | -1  ),-3.00000,-1.00000, -7.41087, -7.13112,  101,      1+2,
(  3  |  1  ), 3.00000, 1.00000,  7.41087,  7.13112,  102,      1+2,
(  4  | -1  ), 4.00000,-1.00000,  9.88116,  2.85245,  102,      1+2,
( -3  |  4  ),-3.00000, 4.00000, -7.41087,  7.13112,  102,      1+2,
( -4  |  3  ),-4.00000, 3.00000, -9.88116,  2.85245,  102,      1+2,
(  1  | -4  ), 1.00000,-4.00000,  2.47029, -9.98356,  102,      1+2,
( -1  | -3  ),-1.00000,-3.00000, -2.47029, -9.98356,  102,      1+2,
( 11/6|  7/3), 1.83333, 2.33333,  4.52887,  9.27045,  103,      1+2,
(-11/6| 25/6),-1.83333, 4.16667, -4.52887,  9.27045,  103,      1+2,
( 25/6| -7/3), 4.16667,-2.33333, 10.29288, -0.71311,  103,      1+2,
(  7/3|-25/6), 2.33333,-4.16667,  5.76401, -8.55734,  103,      1+2,
(-25/6| 11/6),-4.16667, 1.83333,-10.29288, -0.71311,  103,      1+2,
( -7/3|-11/6),-2.33333,-1.83333, -5.76401, -8.55734,  103,      1+2,
(  7/3| 11/6), 2.33333, 1.83333,  5.76401,  8.55734,  104,      1+2,
( 25/6|-11/6), 4.16667,-1.83333, 10.29288,  0.71311,  104,      1+2,
( -7/3| 25/6),-2.33333, 4.16667, -5.76401,  8.55734,  104,      1+2,
(-25/6|  7/3),-4.16667, 2.33333,-10.29288,  0.71311,  104,      1+2,
( 11/6|-25/6), 1.83333,-4.16667,  4.52887, -9.27045,  104,      1+2,
(-11/6| -7/3),-1.83333,-2.33333, -4.52887, -9.27045,  104,      1+2,
(  4/3| 17/6), 1.33333, 2.83333,  3.29372,  9.98356,  105,      1+2,
( -4/3| 25/6),-1.33333, 4.16667, -3.29372,  9.98356,  105,      1+2,
( 25/6|-17/6), 4.16667,-2.83333, 10.29288, -2.13933,  105,      1+2,
( 17/6|-25/6), 2.83333,-4.16667,  6.99916, -7.84423,  105,      1+2,
(-25/6|  4/3),-4.16667, 1.33333,-10.29288, -2.13933,  105,      1+2,
(-17/6| -4/3),-2.83333,-1.33333, -6.99916, -7.84423,  105,      1+2,
( 17/6|  4/3), 2.83333, 1.33333,  6.99916,  7.84423,  106,      1+2,
( 25/6| -4/3), 4.16667,-1.33333, 10.29288,  2.13933,  106,      1+2,
(-17/6| 25/6),-2.83333, 4.16667, -6.99916,  7.84423,  106,      1+2,
(-25/6| 17/6),-4.16667, 2.83333,-10.29288,  2.13933,  106,      1+2,
(  4/3|-25/6), 1.33333,-4.16667,  3.29372, -9.98356,  106,      1+2,
( -4/3|-17/6),-1.33333,-2.83333, -3.29372, -9.98356,  106,      1+2,
( 13/6| 13/6), 2.16667, 2.16667,  5.35230,  9.27045,  107,      1+2,
( 13/3|-13/6), 4.33333,-2.16667, 10.70459, -0.00000,  107,      1+2,
(-13/6| 13/3),-2.16667, 4.33333, -5.35230,  9.27045,  107,      1+2,
( 13/6|-13/3), 2.16667,-4.33333,  5.35230, -9.27045,  107,      1+2,
(-13/3| 13/6),-4.33333, 2.16667,-10.70459,  0.00000,  107,      1+2,
(-13/6|-13/6),-2.16667,-2.16667, -5.35230, -9.27045,  107,      1+2,
(  1/6| 11/3), 0.16667, 3.66667,  0.41172, 10.69667,  108,      1+2,
( -1/6| 23/6),-0.16667, 3.83333, -0.41172, 10.69667,  108,      1+2,
( 23/6|-11/3), 3.83333,-3.66667,  9.46945, -4.99178,  108,      1+2,
( 11/3|-23/6), 3.66667,-3.83333,  9.05773, -5.70489,  108,      1+2,
(-23/6|  1/6),-3.83333, 0.16667, -9.46945, -4.99178,  108,      1+2,
(-11/3| -1/6),-3.66667,-0.16667, -9.05773, -5.70489,  108,      1+2,
( 11/3|  1/6), 3.66667, 0.16667,  9.05773,  5.70489,  109,      1+2,
( 23/6| -1/6), 3.83333,-0.16667,  9.46945,  4.99178,  109,      1+2,
(-11/3| 23/6),-3.66667, 3.83333, -9.05773,  5.70489,  109,      1+2,
(-23/6| 11/3),-3.83333, 3.66667, -9.46945,  4.99178,  109,      1+2,
(  1/6|-23/6), 0.16667,-3.83333,  0.41172,-10.69667,  109,      1+2,
( -1/6|-11/3),-0.16667,-3.66667, -0.41172,-10.69667,  109,      1+2,
(  7/2|  1/2), 3.50000, 0.50000,  8.64602,  6.41800,  110,      1+2,
(  4  | -1/2), 4.00000,-0.50000,  9.88116,  4.27867,  110,      1+2,
( -7/2|  4  ),-3.50000, 4.00000, -8.64602,  6.41800,  110,      1+2,
( -4  |  7/2),-4.00000, 3.50000, -9.88116,  4.27867,  110,      1+2,
(  1/2| -4  ), 0.50000,-4.00000,  1.23515,-10.69667,  110,      1+2,
( -1/2| -7/2),-0.50000,-3.50000, -1.23515,-10.69667,  110,      1+2,
(  1/2|  7/2), 0.50000, 3.50000,  1.23515, 10.69667,  111,      1+2,
( -1/2|  4  ),-0.50000, 4.00000, -1.23515, 10.69667,  111,      1+2,
(  4  | -7/2), 4.00000,-3.50000,  9.88116, -4.27867,  111,      1+2,
(  7/2| -4  ), 3.50000,-4.00000,  8.64602, -6.41800,  111,      1+2,
( -4  |  1/2),-4.00000, 0.50000, -9.88116, -4.27867,  111,      1+2,
( -7/2| -1/2),-3.50000,-0.50000, -8.64602, -6.41800,  111,      1+2,
(  5/3|  8/3), 1.66667, 2.66667,  4.11715,  9.98356,  112,      1+2,
( -5/3| 13/3),-1.66667, 4.33333, -4.11715,  9.98356,  112,      1+2,
( 13/3| -8/3), 4.33333,-2.66667, 10.70459, -1.42622,  112,      1+2,
(  8/3|-13/3), 2.66667,-4.33333,  6.58744, -8.55734,  112,      1+2,
(-13/3|  5/3),-4.33333, 1.66667,-10.70459, -1.42622,  112,      1+2,
( -8/3| -5/3),-2.66667,-1.66667, -6.58744, -8.55734,  112,      1+2,
(  8/3|  5/3), 2.66667, 1.66667,  6.58744,  8.55734,  113,      1+2,
( 13/3| -5/3), 4.33333,-1.66667, 10.70459,  1.42622,  113,      1+2,
( -8/3| 13/3),-2.66667, 4.33333, -6.58744,  8.55734,  113,      1+2,
(-13/3|  8/3),-4.33333, 2.66667,-10.70459,  1.42622,  113,      1+2,
(  5/3|-13/3), 1.66667,-4.33333,  4.11715, -9.98356,  113,      1+2,
( -5/3| -8/3),-1.66667,-2.66667, -4.11715, -9.98356,  113,      1+2,
( 10/3|  5/6), 3.33333, 0.83333,  8.23430,  7.13112,  114,      1+2,
( 25/6| -5/6), 4.16667,-0.83333, 10.29288,  3.56556,  114,      1+2,
(-10/3| 25/6),-3.33333, 4.16667, -8.23430,  7.13112,  114,      1+2,
(-25/6| 10/3),-4.16667, 3.33333,-10.29288,  3.56556,  114,      1+2,
(  5/6|-25/6), 0.83333,-4.16667,  2.05858,-10.69667,  114,      1+2,
( -5/6|-10/3),-0.83333,-3.33333, -2.05858,-10.69667,  114,      1+2,
(  5/6| 10/3), 0.83333, 3.33333,  2.05858, 10.69667,  115,      1+2,
( -5/6| 25/6),-0.83333, 4.16667, -2.05858, 10.69667,  115,      1+2,
( 25/6|-10/3), 4.16667,-3.33333, 10.29288, -3.56556,  115,      1+2,
( 10/3|-25/6), 3.33333,-4.16667,  8.23430, -7.13112,  115,      1+2,
(-25/6|  5/6),-4.16667, 0.83333,-10.29288, -3.56556,  115,      1+2,
(-10/3| -5/6),-3.33333,-0.83333, -8.23430, -7.13112,  115,      1+2,
(  7/6| 19/6), 1.16667, 3.16667,  2.88201, 10.69667,  116,      1+2,
( -7/6| 13/3),-1.16667, 4.33333, -2.88201, 10.69667,  116,      1+2,
( 13/3|-19/6), 4.33333,-3.16667, 10.70459, -2.85245,  116,      1+2,
( 19/6|-13/3), 3.16667,-4.33333,  7.82259, -7.84423,  116,      1+2,
(-13/3|  7/6),-4.33333, 1.16667,-10.70459, -2.85245,  116,      1+2,
(-19/6| -7/6),-3.16667,-1.16667, -7.82259, -7.84423,  116,      1+2,
( 19/6|  7/6), 3.16667, 1.16667,  7.82259,  7.84423,  117,      1+2,
( 13/3| -7/6), 4.33333,-1.16667, 10.70459,  2.85245,  117,      1+2,
(-19/6| 13/3),-3.16667, 4.33333, -7.82259,  7.84423,  117,      1+2,
(-13/3| 19/6),-4.33333, 3.16667,-10.70459,  2.85245,  117,      1+2,
(  7/6|-13/3), 1.16667,-4.33333,  2.88201,-10.69667,  117,      1+2,
( -7/6|-19/6),-1.16667,-3.16667, -2.88201,-10.69667,  117,      1+2,
(  5/2|  2  ), 2.50000, 2.00000,  6.17573,  9.27045,  118,      1+2,
(  9/2| -2  ), 4.50000,-2.00000, 11.11631,  0.71311,  118,      1+2,
( -5/2|  9/2),-2.50000, 4.50000, -6.17573,  9.27045,  118,      1+2,
( -9/2|  5/2),-4.50000, 2.50000,-11.11631,  0.71311,  118,      1+2,
(  2  | -9/2), 2.00000,-4.50000,  4.94058, -9.98356,  118,      1+2,
( -2  | -5/2),-2.00000,-2.50000, -4.94058, -9.98356,  118,      1+2,
(  2  |  5/2), 2.00000, 2.50000,  4.94058,  9.98356,  119,      1+2,
( -2  |  9/2),-2.00000, 4.50000, -4.94058,  9.98356,  119,      1+2,
(  9/2| -5/2), 4.50000,-2.50000, 11.11631, -0.71311,  119,      1+2,
(  5/2| -9/2), 2.50000,-4.50000,  6.17573, -9.27045,  119,      1+2,
( -9/2|  2  ),-4.50000, 2.00000,-11.11631, -0.71311,  119,      1+2,
( -5/2| -2  ),-2.50000,-2.00000, -6.17573, -9.27045,  119,      1+2,
(  3/2|  3  ), 1.50000, 3.00000,  3.70544, 10.69667,  120,      1+2,
( -3/2|  9/2),-1.50000, 4.50000, -3.70544, 10.69667,  120,      1+2,
(  9/2| -3  ), 4.50000,-3.00000, 11.11631, -2.13933,  120,      1+2,
(  3  | -9/2), 3.00000,-4.50000,  7.41087, -8.55734,  120,      1+2,
( -9/2|  3/2),-4.50000, 1.50000,-11.11631, -2.13933,  120,      1+2,
( -3  | -3/2),-3.00000,-1.50000, -7.41087, -8.55734,  120,      1+2,
(  3  |  3/2), 3.00000, 1.50000,  7.41087,  8.55734,  121,      1+2,
(  9/2| -3/2), 4.50000,-1.50000, 11.11631,  2.13933,  121,      1+2,
( -3  |  9/2),-3.00000, 4.50000, -7.41087,  8.55734,  121,      1+2,
( -9/2|  3  ),-4.50000, 3.00000,-11.11631,  2.13933,  121,      1+2,
(  3/2| -9/2), 1.50000,-4.50000,  3.70544,-10.69667,  121,      1+2,
( -3/2| -3  ),-1.50000,-3.00000, -3.70544,-10.69667,  121,      1+2,
(  0  |  4  ), 0.00000, 4.00000,  0.00000, 11.40979,  122,      1+2,
(  4  | -4  ), 4.00000,-4.00000,  9.88116, -5.70489,  122,      1+2,
( -4  |  0  ),-4.00000, 0.00000, -9.88116, -5.70489,  122,      1+2,
(  4  |  0  ), 4.00000, 0.00000,  9.88116,  5.70489,  123,      1+2,
( -4  |  4  ),-4.00000, 4.00000, -9.88116,  5.70489,  123,      1+2,
(  0  | -4  ), 0.00000,-4.00000,  0.00000,-11.40979,  123,      1+2,
(  1/3| 23/6), 0.33333, 3.83333,  0.82343, 11.40979,  124,      1+2,
( -1/3| 25/6),-0.33333, 4.16667, -0.82343, 11.40979,  124,      1+2,
( 25/6|-23/6), 4.16667,-3.83333, 10.29288, -4.99178,  124,      1+2,
( 23/6|-25/6), 3.83333,-4.16667,  9.46945, -6.41800,  124,      1+2,
(-25/6|  1/3),-4.16667, 0.33333,-10.29288, -4.99178,  124,      1+2,
(-23/6| -1/3),-3.83333,-0.33333, -9.46945, -6.41800,  124,      1+2,
( 23/6|  1/3), 3.83333, 0.33333,  9.46945,  6.41800,  125,      1+2,
( 25/6| -1/3), 4.16667,-0.33333, 10.29288,  4.99178,  125,      1+2,
(-23/6| 25/6),-3.83333, 4.16667, -9.46945,  6.41800,  125,      1+2,
(-25/6| 23/6),-4.16667, 3.83333,-10.29288,  4.99178,  125,      1+2,
(  1/3|-25/6), 0.33333,-4.16667,  0.82343,-11.40979,  125,      1+2,
( -1/3|-23/6),-0.33333,-3.83333, -0.82343,-11.40979,  125,      1+2,
( 11/3|  2/3), 3.66667, 0.66667,  9.05773,  7.13112,  126,      1+2,
( 13/3| -2/3), 4.33333,-0.66667, 10.70459,  4.27867,  126,      1+2,
(-11/3| 13/3),-3.66667, 4.33333, -9.05773,  7.13112,  126,      1+2,
(-13/3| 11/3),-4.33333, 3.66667,-10.70459,  4.27867,  126,      1+2,
(  2/3|-13/3), 0.66667,-4.33333,  1.64686,-11.40979,  126,      1+2,
( -2/3|-11/3),-0.66667,-3.66667, -1.64686,-11.40979,  126,      1+2,
(  2/3| 11/3), 0.66667, 3.66667,  1.64686, 11.40979,  127,      1+2,
( -2/3| 13/3),-0.66667, 4.33333, -1.64686, 11.40979,  127,      1+2,
( 13/3|-11/3), 4.33333,-3.66667, 10.70459, -4.27867,  127,      1+2,
( 11/3|-13/3), 3.66667,-4.33333,  9.05773, -7.13112,  127,      1+2,
(-13/3|  2/3),-4.33333, 0.66667,-10.70459, -4.27867,  127,      1+2,
(-11/3| -2/3),-3.66667,-0.66667, -9.05773, -7.13112,  127,      1+2,
(  7/3|  7/3), 2.33333, 2.33333,  5.76401,  9.98356,  128,      1+2,
( 14/3| -7/3), 4.66667,-2.33333, 11.52802, -0.00000,  128,      1+2,
( -7/3| 14/3),-2.33333, 4.66667, -5.76401,  9.98356,  128,      1+2,
(  7/3|-14/3), 2.33333,-4.66667,  5.76401, -9.98356,  128,      1+2,
(-14/3|  7/3),-4.66667, 2.33333,-11.52802,  0.00000,  128,      1+2,
( -7/3| -7/3),-2.33333,-2.33333, -5.76401, -9.98356,  128,      1+2,
( 11/6| 17/6), 1.83333, 2.83333,  4.52887, 10.69667,  129,      1+2,
(-11/6| 14/3),-1.83333, 4.66667, -4.52887, 10.69667,  129,      1+2,
( 14/3|-17/6), 4.66667,-2.83333, 11.52802, -1.42622,  129,      1+2,
( 17/6|-14/3), 2.83333,-4.66667,  6.99916, -9.27045,  129,      1+2,
(-14/3| 11/6),-4.66667, 1.83333,-11.52802, -1.42622,  129,      1+2,
(-17/6|-11/6),-2.83333,-1.83333, -6.99916, -9.27045,  129,      1+2,
( 17/6| 11/6), 2.83333, 1.83333,  6.99916,  9.27045,  130,      1+2,
( 14/3|-11/6), 4.66667,-1.83333, 11.52802,  1.42622,  130,      1+2,
(-17/6| 14/3),-2.83333, 4.66667, -6.99916,  9.27045,  130,      1+2,
(-14/3| 17/6),-4.66667, 2.83333,-11.52802,  1.42622,  130,      1+2,
( 11/6|-14/3), 1.83333,-4.66667,  4.52887,-10.69667,  130,      1+2,
(-11/6|-17/6),-1.83333,-2.83333, -4.52887,-10.69667,  130,      1+2,
(  7/2|  1  ), 3.50000, 1.00000,  8.64602,  7.84423,  131,      1+2,
(  9/2| -1  ), 4.50000,-1.00000, 11.11631,  3.56556,  131,      1+2,
( -7/2|  9/2),-3.50000, 4.50000, -8.64602,  7.84423,  131,      1+2,
( -9/2|  7/2),-4.50000, 3.50000,-11.11631,  3.56556,  131,      1+2,
(  1  | -9/2), 1.00000,-4.50000,  2.47029,-11.40979,  131,      1+2,
( -1  | -7/2),-1.00000,-3.50000, -2.47029,-11.40979,  131,      1+2,
(  1  |  7/2), 1.00000, 3.50000,  2.47029, 11.40979,  132,      1+2,
( -1  |  9/2),-1.00000, 4.50000, -2.47029, 11.40979,  132,      1+2,
(  9/2| -7/2), 4.50000,-3.50000, 11.11631, -3.56556,  132,      1+2,
(  7/2| -9/2), 3.50000,-4.50000,  8.64602, -7.84423,  132,      1+2,
( -9/2|  1  ),-4.50000, 1.00000,-11.11631, -3.56556,  132,      1+2,
( -7/2| -1  ),-3.50000,-1.00000, -8.64602, -7.84423,  132,      1+2,
(  4/3| 10/3), 1.33333, 3.33333,  3.29372, 11.40979,  133,      1+2,
( -4/3| 14/3),-1.33333, 4.66667, -3.29372, 11.40979,  133,      1+2,
( 14/3|-10/3), 4.66667,-3.33333, 11.52802, -2.85245,  133,      1+2,
( 10/3|-14/3), 3.33333,-4.66667,  8.23430, -8.55734,  133,      1+2,
(-14/3|  4/3),-4.66667, 1.33333,-11.52802, -2.85245,  133,      1+2,
(-10/3| -4/3),-3.33333,-1.33333, -8.23430, -8.55734,  133,      1+2,
( 10/3|  4/3), 3.33333, 1.33333,  8.23430,  8.55734,  134,      1+2,
( 14/3| -4/3), 4.66667,-1.33333, 11.52802,  2.85245,  134,      1+2,
(-10/3| 14/3),-3.33333, 4.66667, -8.23430,  8.55734,  134,      1+2,
(-14/3| 10/3),-4.66667, 3.33333,-11.52802,  2.85245,  134,      1+2,
(  4/3|-14/3), 1.33333,-4.66667,  3.29372,-11.40979,  134,      1+2,
( -4/3|-10/3),-1.33333,-3.33333, -3.29372,-11.40979,  134,      1+2,
( 13/6|  8/3), 2.16667, 2.66667,  5.35230, 10.69667,  135,      1+2,
(-13/6| 29/6),-2.16667, 4.83333, -5.35230, 10.69667,  135,      1+2,
( 29/6| -8/3), 4.83333,-2.66667, 11.93974, -0.71311,  135,      1+2,
(  8/3|-29/6), 2.66667,-4.83333,  6.58744, -9.98356,  135,      1+2,
(-29/6| 13/6),-4.83333, 2.16667,-11.93974, -0.71311,  135,      1+2,
( -8/3|-13/6),-2.66667,-2.16667, -6.58744, -9.98356,  135,      1+2,
(  8/3| 13/6), 2.66667, 2.16667,  6.58744,  9.98356,  136,      1+2,
( 29/6|-13/6), 4.83333,-2.16667, 11.93974,  0.71311,  136,      1+2,
( -8/3| 29/6),-2.66667, 4.83333, -6.58744,  9.98356,  136,      1+2,
(-29/6|  8/3),-4.83333, 2.66667,-11.93974,  0.71311,  136,      1+2,
( 13/6|-29/6), 2.16667,-4.83333,  5.35230,-10.69667,  136,      1+2,
(-13/6| -8/3),-2.16667,-2.66667, -5.35230,-10.69667,  136,      1+2,
(  5/3| 19/6), 1.66667, 3.16667,  4.11715, 11.40979,  137,      1+2,
( -5/3| 29/6),-1.66667, 4.83333, -4.11715, 11.40979,  137,      1+2,
( 29/6|-19/6), 4.83333,-3.16667, 11.93974, -2.13933,  137,      1+2,
( 19/6|-29/6), 3.16667,-4.83333,  7.82259, -9.27045,  137,      1+2,
(-29/6|  5/3),-4.83333, 1.66667,-11.93974, -2.13933,  137,      1+2,
(-19/6| -5/3),-3.16667,-1.66667, -7.82259, -9.27045,  137,      1+2,
( 19/6|  5/3), 3.16667, 1.66667,  7.82259,  9.27045,  138,      1+2,
( 29/6| -5/3), 4.83333,-1.66667, 11.93974,  2.13933,  138,      1+2,
(-19/6| 29/6),-3.16667, 4.83333, -7.82259,  9.27045,  138,      1+2,
(-29/6| 19/6),-4.83333, 3.16667,-11.93974,  2.13933,  138,      1+2,
(  5/3|-29/6), 1.66667,-4.83333,  4.11715,-11.40979,  138,      1+2,
( -5/3|-19/6),-1.66667,-3.16667, -4.11715,-11.40979,  138,      1+2,
( 25/6|  1/6), 4.16667, 0.16667, 10.29288,  6.41800,  139,      1+2,
( 13/3| -1/6), 4.33333,-0.16667, 10.70459,  5.70489,  139,      1+2,
(-25/6| 13/3),-4.16667, 4.33333,-10.29288,  6.41800,  139,      1+2,
(-13/3| 25/6),-4.33333, 4.16667,-10.70459,  5.70489,  139,      1+2,
(  1/6|-13/3), 0.16667,-4.33333,  0.41172,-12.12290,  139,      1+2,
( -1/6|-25/6),-0.16667,-4.16667, -0.41172,-12.12290,  139,      1+2,
(  1/6| 25/6), 0.16667, 4.16667,  0.41172, 12.12290,  140,      1+2,
( -1/6| 13/3),-0.16667, 4.33333, -0.41172, 12.12290,  140,      1+2,
( 13/3|-25/6), 4.33333,-4.16667, 10.70459, -5.70489,  140,      1+2,
( 25/6|-13/3), 4.16667,-4.33333, 10.29288, -6.41800,  140,      1+2,
(-13/3|  1/6),-4.33333, 0.16667,-10.70459, -5.70489,  140,      1+2,
(-25/6| -1/6),-4.16667,-0.16667,-10.29288, -6.41800,  140,      1+2,
(  1/2|  4  ), 0.50000, 4.00000,  1.23515, 12.12290,  141,      1+2,
( -1/2|  9/2),-0.50000, 4.50000, -1.23515, 12.12290,  141,      1+2,
(  9/2| -4  ), 4.50000,-4.00000, 11.11631, -4.99178,  141,      1+2,
(  4  | -9/2), 4.00000,-4.50000,  9.88116, -7.13112,  141,      1+2,
( -9/2|  1/2),-4.50000, 0.50000,-11.11631, -4.99178,  141,      1+2,
( -4  | -1/2),-4.00000,-0.50000, -9.88116, -7.13112,  141,      1+2,
(  4  |  1/2), 4.00000, 0.50000,  9.88116,  7.13112,  142,      1+2,
(  9/2| -1/2), 4.50000,-0.50000, 11.11631,  4.99178,  142,      1+2,
( -4  |  9/2),-4.00000, 4.50000, -9.88116,  7.13112,  142,      1+2,
( -9/2|  4  ),-4.50000, 4.00000,-11.11631,  4.99178,  142,      1+2,
(  1/2| -9/2), 0.50000,-4.50000,  1.23515,-12.12290,  142,      1+2,
( -1/2| -4  ),-0.50000,-4.00000, -1.23515,-12.12290,  142,      1+2,
(  5/6| 23/6), 0.83333, 3.83333,  2.05858, 12.12290,  143,      1+2,
( -5/6| 14/3),-0.83333, 4.66667, -2.05858, 12.12290,  143,      1+2,
( 14/3|-23/6), 4.66667,-3.83333, 11.52802, -4.27867,  143,      1+2,
( 23/6|-14/3), 3.83333,-4.66667,  9.46945, -7.84423,  143,      1+2,
(-14/3|  5/6),-4.66667, 0.83333,-11.52802, -4.27867,  143,      1+2,
(-23/6| -5/6),-3.83333,-0.83333, -9.46945, -7.84423,  143,      1+2,
( 23/6|  5/6), 3.83333, 0.83333,  9.46945,  7.84423,  144,      1+2,
( 14/3| -5/6), 4.66667,-0.83333, 11.52802,  4.27867,  144,      1+2,
(-23/6| 14/3),-3.83333, 4.66667, -9.46945,  7.84423,  144,      1+2,
(-14/3| 23/6),-4.66667, 3.83333,-11.52802,  4.27867,  144,      1+2,
(  5/6|-14/3), 0.83333,-4.66667,  2.05858,-12.12290,  144,      1+2,
( -5/6|-23/6),-0.83333,-3.83333, -2.05858,-12.12290,  144,      1+2,
(  5/2|  5/2), 2.50000, 2.50000,  6.17573, 10.69667,  145,      1+2,
(  5  | -5/2), 5.00000,-2.50000, 12.35146, -0.00000,  145,      1+2,
( -5/2|  5  ),-2.50000, 5.00000, -6.17573, 10.69667,  145,      1+2,
(  5/2| -5  ), 2.50000,-5.00000,  6.17573,-10.69667,  145,      1+2,
( -5  |  5/2),-5.00000, 2.50000,-12.35146,  0.00000,  145,      1+2,
( -5/2| -5/2),-2.50000,-2.50000, -6.17573,-10.69667,  145,      1+2,
(  2  |  3  ), 2.00000, 3.00000,  4.94058, 11.40979,  146,      1+2,
( -2  |  5  ),-2.00000, 5.00000, -4.94058, 11.40979,  146,      1+2,
(  5  | -3  ), 5.00000,-3.00000, 12.35146, -1.42622,  146,      1+2,
(  3  | -5  ), 3.00000,-5.00000,  7.41087, -9.98356,  146,      1+2,
( -5  |  2  ),-5.00000, 2.00000,-12.35146, -1.42622,  146,      1+2,
( -3  | -2  ),-3.00000,-2.00000, -7.41087, -9.98356,  146,      1+2,
(  3  |  2  ), 3.00000, 2.00000,  7.41087,  9.98356,  147,      1+2,
(  5  | -2  ), 5.00000,-2.00000, 12.35146,  1.42622,  147,      1+2,
( -3  |  5  ),-3.00000, 5.00000, -7.41087,  9.98356,  147,      1+2,
( -5  |  3  ),-5.00000, 3.00000,-12.35146,  1.42622,  147,      1+2,
(  2  | -5  ), 2.00000,-5.00000,  4.94058,-11.40979,  147,      1+2,
( -2  | -3  ),-2.00000,-3.00000, -4.94058,-11.40979,  147,      1+2,
(  7/6| 11/3), 1.16667, 3.66667,  2.88201, 12.12290,  148,      1+2,
( -7/6| 29/6),-1.16667, 4.83333, -2.88201, 12.12290,  148,      1+2,
( 29/6|-11/3), 4.83333,-3.66667, 11.93974, -3.56556,  148,      1+2,
( 11/3|-29/6), 3.66667,-4.83333,  9.05773, -8.55734,  148,      1+2,
(-29/6|  7/6),-4.83333, 1.16667,-11.93974, -3.56556,  148,      1+2,
(-11/3| -7/6),-3.66667,-1.16667, -9.05773, -8.55734,  148,      1+2,
( 11/3|  7/6), 3.66667, 1.16667,  9.05773,  8.55734,  149,      1+2,
( 29/6| -7/6), 4.83333,-1.16667, 11.93974,  3.56556,  149,      1+2,
(-11/3| 29/6),-3.66667, 4.83333, -9.05773,  8.55734,  149,      1+2,
(-29/6| 11/3),-4.83333, 3.66667,-11.93974,  3.56556,  149,      1+2,
(  7/6|-29/6), 1.16667,-4.83333,  2.88201,-12.12290,  149,      1+2,
( -7/6|-11/3),-1.16667,-3.66667, -2.88201,-12.12290,  149,      1+2,
(  7/2|  3/2), 3.50000, 1.50000,  8.64602,  9.27045,  150,      1+2,
(  5  | -3/2), 5.00000,-1.50000, 12.35146,  2.85245,  150,      1+2,
( -7/2|  5  ),-3.50000, 5.00000, -8.64602,  9.27045,  150,      1+2,
( -5  |  7/2),-5.00000, 3.50000,-12.35146,  2.85245,  150,      1+2,
(  3/2| -5  ), 1.50000,-5.00000,  3.70544,-12.12290,  150,      1+2,
( -3/2| -7/2),-1.50000,-3.50000, -3.70544,-12.12290,  150,      1+2,
(  3/2|  7/2), 1.50000, 3.50000,  3.70544, 12.12290,  151,      1+2,
( -3/2|  5  ),-1.50000, 5.00000, -3.70544, 12.12290,  151,      1+2,
(  5  | -7/2), 5.00000,-3.50000, 12.35146, -2.85245,  151,      1+2,
(  7/2| -5  ), 3.50000,-5.00000,  8.64602, -9.27045,  151,      1+2,
( -5  |  3/2),-5.00000, 1.50000,-12.35146, -2.85245,  151,      1+2,
( -7/2| -3/2),-3.50000,-1.50000, -8.64602, -9.27045,  151,      1+2,
(  7/3| 17/6), 2.33333, 2.83333,  5.76401, 11.40979,  152,      1+2,
( -7/3| 31/6),-2.33333, 5.16667, -5.76401, 11.40979,  152,      1+2,
( 31/6|-17/6), 5.16667,-2.83333, 12.76317, -0.71311,  152,      1+2,
( 17/6|-31/6), 2.83333,-5.16667,  6.99916,-10.69667,  152,      1+2,
(-31/6|  7/3),-5.16667, 2.33333,-12.76317, -0.71311,  152,      1+2,
(-17/6| -7/3),-2.83333,-2.33333, -6.99916,-10.69667,  152,      1+2,
( 17/6|  7/3), 2.83333, 2.33333,  6.99916, 10.69667,  153,      1+2,
( 31/6| -7/3), 5.16667,-2.33333, 12.76317,  0.71311,  153,      1+2,
