# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( -3/10|  4/5 ),-0.30000, 0.80000, -0.68142,  1.70482,   35,        1,
(  4/5 | -1/2 ), 0.80000,-0.50000,  1.81713, -0.26228,   35,        1,
(  1/2 | -4/5 ), 0.50000,-0.80000,  1.13571, -1.44254,   35,        1,
( -4/5 |  3/10),-0.80000, 0.30000, -1.81713, -0.26228,   35,        1,
( -1/2 | -3/10),-0.50000,-0.30000, -1.13571, -1.44254,   35,        1,
(  1/2 |  3/10), 0.50000, 0.30000,  1.13571,  1.44254,   36,        1,
(  4/5 | -3/10), 0.80000,-0.30000,  1.81713,  0.26228,   36,        1,
( -1/2 |  4/5 ),-0.50000, 0.80000, -1.13571,  1.44254,   36,        1,
( -4/5 |  1/2 ),-0.80000, 0.50000, -1.81713,  0.26228,   36,        1,
(  3/10| -4/5 ), 0.30000,-0.80000,  0.68142, -1.70482,   36,        1,
( -3/10| -1/2 ),-0.30000,-0.50000, -0.68142, -1.70482,   36,        1,
(  0   |  7/10), 0.00000, 0.70000,  0.00000,  1.83596,   37,        1,
(  7/10| -7/10), 0.70000,-0.70000,  1.58999, -0.91798,   37,        1,
( -7/10|  0   ),-0.70000, 0.00000, -1.58999, -0.91798,   37,        1,
(  7/10|  0   ), 0.70000, 0.00000,  1.58999,  0.91798,   38,        1,
( -7/10|  7/10),-0.70000, 0.70000, -1.58999,  0.91798,   38,        1,
(  0   | -7/10), 0.00000,-0.70000,  0.00000, -1.83596,   38,        1,
(  3/5 |  1/5 ), 0.60000, 0.20000,  1.36285,  1.31140,   39,        1,
(  4/5 | -1/5 ), 0.80000,-0.20000,  1.81713,  0.52456,   39,        1,
( -3/5 |  4/5 ),-0.60000, 0.80000, -1.36285,  1.31140,   39,        1,
( -4/5 |  3/5 ),-0.80000, 0.60000, -1.81713,  0.52456,   39,        1,
(  1/5 | -4/5 ), 0.20000,-0.80000,  0.45428, -1.83596,   39,        1,
( -1/5 | -3/5 ),-0.20000,-0.60000, -0.45428, -1.83596,   39,        1,
(  1/5 |  3/5 ), 0.20000, 0.60000,  0.45428,  1.83596,   40,        1,
( -1/5 |  4/5 ),-0.20000, 0.80000, -0.45428,  1.83596,   40,        1,
(  4/5 | -3/5 ), 0.80000,-0.60000,  1.81713, -0.52456,   40,        1,
(  3/5 | -4/5 ), 0.60000,-0.80000,  1.36285, -1.31140,   40,        1,
( -4/5 |  1/5 ),-0.80000, 0.20000, -1.81713, -0.52456,   40,        1,
( -3/5 | -1/5 ),-0.60000,-0.20000, -1.36285, -1.31140,   40,        1,
(  1/10|  7/10), 0.10000, 0.70000,  0.22714,  1.96710,   41,        1,
( -1/10|  4/5 ),-0.10000, 0.80000, -0.22714,  1.96710,   41,        1,
(  4/5 | -7/10), 0.80000,-0.70000,  1.81713, -0.78684,   41,        1,
(  7/10| -4/5 ), 0.70000,-0.80000,  1.58999, -1.18026,   41,        1,
( -4/5 |  1/10),-0.80000, 0.10000, -1.81713, -0.78684,   41,        1,
( -7/10| -1/10),-0.70000,-0.10000, -1.58999, -1.18026,   41,        1,
(  7/10|  1/10), 0.70000, 0.10000,  1.58999,  1.18026,   42,        1,
(  4/5 | -1/10), 0.80000,-0.10000,  1.81713,  0.78684,   42,        1,
( -7/10|  4/5 ),-0.70000, 0.80000, -1.58999,  1.18026,   42,        1,
( -4/5 |  7/10),-0.80000, 0.70000, -1.81713,  0.78684,   42,        1,
(  1/10| -4/5 ), 0.10000,-0.80000,  0.22714, -1.96710,   42,        1,
( -1/10| -7/10),-0.10000,-0.70000, -0.22714, -1.96710,   42,        1,
(  2/5 |  1/2 ), 0.40000, 0.50000,  0.90857,  1.83596,   43,        1,
( -2/5 |  9/10),-0.40000, 0.90000, -0.90857,  1.83596,   43,        1,
(  9/10| -1/2 ), 0.90000,-0.50000,  2.04427, -0.13114,   43,        1,
(  1/2 | -9/10), 0.50000,-0.90000,  1.13571, -1.70482,   43,        1,
( -9/10|  2/5 ),-0.90000, 0.40000, -2.04427, -0.13114,   43,        1,
( -1/2 | -2/5 ),-0.50000,-0.40000, -1.13571, -1.70482,   43,        1,
(  1/2 |  2/5 ), 0.50000, 0.40000,  1.13571,  1.70482,   44,        1,
(  9/10| -2/5 ), 0.90000,-0.40000,  2.04427,  0.13114,   44,        1,
( -1/2 |  9/10),-0.50000, 0.90000, -1.13571,  1.70482,   44,        1,
( -9/10|  1/2 ),-0.90000, 0.50000, -2.04427,  0.13114,   44,        1,
(  2/5 | -9/10), 0.40000,-0.90000,  0.90857, -1.83596,   44,        1,
