# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  3/5 | 14/5 ), 0.60000, 2.80000,  1.36285,  8.13069,  630,        1,
( -3/5 | 17/5 ),-0.60000, 3.40000, -1.36285,  8.13069,  630,        1,
( 17/5 |-14/5 ), 3.40000,-2.80000,  7.72281, -2.88508,  630,        1,
( 14/5 |-17/5 ), 2.80000,-3.40000,  6.35996, -5.24561,  630,        1,
(-17/5 |  3/5 ),-3.40000, 0.60000, -7.72281, -2.88508,  630,        1,
(-14/5 | -3/5 ),-2.80000,-0.60000, -6.35996, -5.24561,  630,        1,
(  9/10| 13/5 ), 0.90000, 2.60000,  2.04427,  7.99955,  631,        1,
( -9/10|  7/2 ),-0.90000, 3.50000, -2.04427,  7.99955,  631,        1,
(  7/2 |-13/5 ), 3.50000,-2.60000,  7.94995, -2.22938,  631,        1,
( 13/5 | -7/2 ), 2.60000,-3.50000,  5.90568, -5.77017,  631,        1,
( -7/2 |  9/10),-3.50000, 0.90000, -7.94995, -2.22938,  631,        1,
(-13/5 | -9/10),-2.60000,-0.90000, -5.90568, -5.77017,  631,        1,
( 13/5 |  9/10), 2.60000, 0.90000,  5.90568,  5.77017,  632,        1,
(  7/2 | -9/10), 3.50000,-0.90000,  7.94995,  2.22938,  632,        1,
(-13/5 |  7/2 ),-2.60000, 3.50000, -5.90568,  5.77017,  632,        1,
( -7/2 | 13/5 ),-3.50000, 2.60000, -7.94995,  2.22938,  632,        1,
(  9/10| -7/2 ), 0.90000,-3.50000,  2.04427, -7.99955,  632,        1,
( -9/10|-13/5 ),-0.90000,-2.60000, -2.04427, -7.99955,  632,        1,
(  1/10| 31/10), 0.10000, 3.10000,  0.22714,  8.26183,  633,        1,
( -1/10| 16/5 ),-0.10000, 3.20000, -0.22714,  8.26183,  633,        1,
( 16/5 |-31/10), 3.20000,-3.10000,  7.26852, -3.93420,  633,        1,
( 31/10|-16/5 ), 3.10000,-3.20000,  7.04138, -4.32762,  633,        1,
(-16/5 |  1/10),-3.20000, 0.10000, -7.26852, -3.93420,  633,        1,
(-31/10| -1/10),-3.10000,-0.10000, -7.04138, -4.32762,  633,        1,
( 31/10|  1/10), 3.10000, 0.10000,  7.04138,  4.32762,  634,        1,
( 16/5 | -1/10), 3.20000,-0.10000,  7.26852,  3.93420,  634,        1,
(-31/10| 16/5 ),-3.10000, 3.20000, -7.04138,  4.32762,  634,        1,
(-16/5 | 31/10),-3.20000, 3.10000, -7.26852,  3.93420,  634,        1,
(  1/10|-16/5 ), 0.10000,-3.20000,  0.22714, -8.26183,  634,        1,
( -1/10|-31/10),-0.10000,-3.10000, -0.22714, -8.26183,  634,        1,
( 13/10| 23/10), 1.30000, 2.30000,  2.95284,  7.73727,  635,        1,
(-13/10| 18/5 ),-1.30000, 3.60000, -2.95284,  7.73727,  635,        1,
( 18/5 |-23/10), 3.60000,-2.30000,  8.17709, -1.31140,  635,        1,
( 23/10|-18/5 ), 2.30000,-3.60000,  5.22425, -6.42587,  635,        1,
(-18/5 | 13/10),-3.60000, 1.30000, -8.17709, -1.31140,  635,        1,
(-23/10|-13/10),-2.30000,-1.30000, -5.22425, -6.42587,  635,        1,
( 23/10| 13/10), 2.30000, 1.30000,  5.22425,  6.42587,  636,        1,
( 18/5 |-13/10), 3.60000,-1.30000,  8.17709,  1.31140,  636,        1,
(-23/10| 18/5 ),-2.30000, 3.60000, -5.22425,  6.42587,  636,        1,
(-18/5 | 23/10),-3.60000, 2.30000, -8.17709,  1.31140,  636,        1,
( 13/10|-18/5 ), 1.30000,-3.60000,  2.95284, -7.73727,  636,        1,
(-13/10|-23/10),-1.30000,-2.30000, -2.95284, -7.73727,  636,        1,
(  3/10|  3   ), 0.30000, 3.00000,  0.68142,  8.26183,  637,        1,
( -3/10| 33/10),-0.30000, 3.30000, -0.68142,  8.26183,  637,        1,
( 33/10| -3   ), 3.30000,-3.00000,  7.49567, -3.54078,  637,        1,
(  3   |-33/10), 3.00000,-3.30000,  6.81424, -4.72105,  637,        1,
(-33/10|  3/10),-3.30000, 0.30000, -7.49567, -3.54078,  637,        1,
( -3   | -3/10),-3.00000,-0.30000, -6.81424, -4.72105,  637,        1,
(  3   |  3/10), 3.00000, 0.30000,  6.81424,  4.72105,  638,        1,
( 33/10| -3/10), 3.30000,-0.30000,  7.49567,  3.54078,  638,        1,
( -3   | 33/10),-3.00000, 3.30000, -6.81424,  4.72105,  638,        1,
(-33/10|  3   ),-3.30000, 3.00000, -7.49567,  3.54078,  638,        1,
(  3/10|-33/10), 0.30000,-3.30000,  0.68142, -8.26183,  638,        1,
( -3/10| -3   ),-0.30000,-3.00000, -0.68142, -8.26183,  638,        1,
(  6/5 | 12/5 ), 1.20000, 2.40000,  2.72570,  7.86841,  639,        1,
( -6/5 | 18/5 ),-1.20000, 3.60000, -2.72570,  7.86841,  639,        1,
( 18/5 |-12/5 ), 3.60000,-2.40000,  8.17709, -1.57368,  639,        1,
( 12/5 |-18/5 ), 2.40000,-3.60000,  5.45139, -6.29473,  639,        1,
(-18/5 |  6/5 ),-3.60000, 1.20000, -8.17709, -1.57368,  639,        1,
(-12/5 | -6/5 ),-2.40000,-1.20000, -5.45139, -6.29473,  639,        1,
( 12/5 |  6/5 ), 2.40000, 1.20000,  5.45139,  6.29473,  640,        1,
( 18/5 | -6/5 ), 3.60000,-1.20000,  8.17709,  1.57368,  640,        1,
(-12/5 | 18/5 ),-2.40000, 3.60000, -5.45139,  6.29473,  640,        1,
(-18/5 | 12/5 ),-3.60000, 2.40000, -8.17709,  1.57368,  640,        1,
(  6/5 |-18/5 ), 1.20000,-3.60000,  2.72570, -7.86841,  640,        1,
( -6/5 |-12/5 ),-1.20000,-2.40000, -2.72570, -7.86841,  640,        1,
(  4/5 | 27/10), 0.80000, 2.70000,  1.81713,  8.13069,  641,        1,
( -4/5 |  7/2 ),-0.80000, 3.50000, -1.81713,  8.13069,  641,        1,
(  7/2 |-27/10), 3.50000,-2.70000,  7.94995, -2.49166,  641,        1,
( 27/10| -7/2 ), 2.70000,-3.50000,  6.13282, -5.63903,  641,        1,
( -7/2 |  4/5 ),-3.50000, 0.80000, -7.94995, -2.49166,  641,        1,
(-27/10| -4/5 ),-2.70000,-0.80000, -6.13282, -5.63903,  641,        1,
( 27/10|  4/5 ), 2.70000, 0.80000,  6.13282,  5.63903,  642,        1,
(  7/2 | -4/5 ), 3.50000,-0.80000,  7.94995,  2.49166,  642,        1,
(-27/10|  7/2 ),-2.70000, 3.50000, -6.13282,  5.63903,  642,        1,
( -7/2 | 27/10),-3.50000, 2.70000, -7.94995,  2.49166,  642,        1,
(  4/5 | -7/2 ), 0.80000,-3.50000,  1.81713, -8.13069,  642,        1,
( -4/5 |-27/10),-0.80000,-2.70000, -1.81713, -8.13069,  642,        1,
(  1/2 | 29/10), 0.50000, 2.90000,  1.13571,  8.26183,  643,        1,
( -1/2 | 17/5 ),-0.50000, 3.40000, -1.13571,  8.26183,  643,        1,
( 17/5 |-29/10), 3.40000,-2.90000,  7.72281, -3.14736,  643,        1,
( 29/10|-17/5 ), 2.90000,-3.40000,  6.58710, -5.11447,  643,        1,
(-17/5 |  1/2 ),-3.40000, 0.50000, -7.72281, -3.14736,  643,        1,
(-29/10| -1/2 ),-2.90000,-0.50000, -6.58710, -5.11447,  643,        1,
( 29/10|  1/2 ), 2.90000, 0.50000,  6.58710,  5.11447,  644,        1,
( 17/5 | -1/2 ), 3.40000,-0.50000,  7.72281,  3.14736,  644,        1,
(-29/10| 17/5 ),-2.90000, 3.40000, -6.58710,  5.11447,  644,        1,
(-17/5 | 29/10),-3.40000, 2.90000, -7.72281,  3.14736,  644,        1,
(  1/2 |-17/5 ), 0.50000,-3.40000,  1.13571, -8.26183,  644,        1,
( -1/2 |-29/10),-0.50000,-2.90000, -1.13571, -8.26183,  644,        1,
( 11/10|  5/2 ), 1.10000, 2.50000,  2.49856,  7.99955,  645,        1,
(-11/10| 18/5 ),-1.10000, 3.60000, -2.49856,  7.99955,  645,        1,
( 18/5 | -5/2 ), 3.60000,-2.50000,  8.17709, -1.83596,  645,        1,
(  5/2 |-18/5 ), 2.50000,-3.60000,  5.67853, -6.16359,  645,        1,
(-18/5 | 11/10),-3.60000, 1.10000, -8.17709, -1.83596,  645,        1,
( -5/2 |-11/10),-2.50000,-1.10000, -5.67853, -6.16359,  645,        1,
(  5/2 | 11/10), 2.50000, 1.10000,  5.67853,  6.16359,  646,        1,
( 18/5 |-11/10), 3.60000,-1.10000,  8.17709,  1.83596,  646,        1,
( -5/2 | 18/5 ),-2.50000, 3.60000, -5.67853,  6.16359,  646,        1,
(-18/5 |  5/2 ),-3.60000, 2.50000, -8.17709,  1.83596,  646,        1,
( 11/10|-18/5 ), 1.10000,-3.60000,  2.49856, -7.99955,  646,        1,
(-11/10| -5/2 ),-1.10000,-2.50000, -2.49856, -7.99955,  646,        1,
(  0   | 16/5 ), 0.00000, 3.20000,  0.00000,  8.39297,  647,        1,
( 16/5 |-16/5 ), 3.20000,-3.20000,  7.26852, -4.19648,  647,        1,
(-16/5 |  0   ),-3.20000, 0.00000, -7.26852, -4.19648,  647,        1,
( 16/5 |  0   ), 3.20000, 0.00000,  7.26852,  4.19648,  648,        1,
(-16/5 | 16/5 ),-3.20000, 3.20000, -7.26852,  4.19648,  648,        1,
(  0   |-16/5 ), 0.00000,-3.20000,  0.00000, -8.39297,  648,        1,
(  9/5 | 19/10), 1.80000, 1.90000,  4.08855,  7.34385,  649,        1,
( -9/5 | 37/10),-1.80000, 3.70000, -4.08855,  7.34385,  649,        1,
( 37/10|-19/10), 3.70000,-1.90000,  8.40423, -0.13114,  649,        1,
( 19/10|-37/10), 1.90000,-3.70000,  4.31569, -7.21271,  649,        1,
(-37/10|  9/5 ),-3.70000, 1.80000, -8.40423, -0.13114,  649,        1,
(-19/10| -9/5 ),-1.90000,-1.80000, -4.31569, -7.21271,  649,        1,
( 19/10|  9/5 ), 1.90000, 1.80000,  4.31569,  7.21271,  650,        1,
( 37/10| -9/5 ), 3.70000,-1.80000,  8.40423,  0.13114,  650,        1,
(-19/10| 37/10),-1.90000, 3.70000, -4.31569,  7.21271,  650,        1,
(-37/10| 19/10),-3.70000, 1.90000, -8.40423,  0.13114,  650,        1,
(  9/5 |-37/10), 1.80000,-3.70000,  4.08855, -7.34385,  650,        1,
( -9/5 |-19/10),-1.80000,-1.90000, -4.08855, -7.34385,  650,        1,
(  1/5 | 31/10), 0.20000, 3.10000,  0.45428,  8.39297,  651,        1,
( -1/5 | 33/10),-0.20000, 3.30000, -0.45428,  8.39297,  651,        1,
( 33/10|-31/10), 3.30000,-3.10000,  7.49567, -3.80306,  651,        1,
( 31/10|-33/10), 3.10000,-3.30000,  7.04138, -4.58991,  651,        1,
(-33/10|  1/5 ),-3.30000, 0.20000, -7.49567, -3.80306,  651,        1,
(-31/10| -1/5 ),-3.10000,-0.20000, -7.04138, -4.58991,  651,        1,
( 31/10|  1/5 ), 3.10000, 0.20000,  7.04138,  4.58991,  652,        1,
( 33/10| -1/5 ), 3.30000,-0.20000,  7.49567,  3.80306,  652,        1,
(-31/10| 33/10),-3.10000, 3.30000, -7.04138,  4.58991,  652,        1,
(-33/10| 31/10),-3.30000, 3.10000, -7.49567,  3.80306,  652,        1,
(  1/5 |-33/10), 0.20000,-3.30000,  0.45428, -8.39297,  652,        1,
( -1/5 |-31/10),-0.20000,-3.10000, -0.45428, -8.39297,  652,        1,
(  2   | 17/10), 2.00000, 1.70000,  4.54283,  7.08157,  653,        1,
( 37/10|-17/10), 3.70000,-1.70000,  8.40423,  0.39342,  653,        1,
( -2   | 37/10),-2.00000, 3.70000, -4.54283,  7.08157,  653,        1,
(-37/10|  2   ),-3.70000, 2.00000, -8.40423,  0.39342,  653,        1,
( 17/10|-37/10), 1.70000,-3.70000,  3.86140, -7.47499,  653,        1,
(-17/10| -2   ),-1.70000,-2.00000, -3.86140, -7.47499,  653,        1,
( 17/10|  2   ), 1.70000, 2.00000,  3.86140,  7.47499,  654,        1,
(-17/10| 37/10),-1.70000, 3.70000, -3.86140,  7.47499,  654,        1,
( 37/10| -2   ), 3.70000,-2.00000,  8.40423, -0.39342,  654,        1,
(  2   |-37/10), 2.00000,-3.70000,  4.54283, -7.08157,  654,        1,
(-37/10| 17/10),-3.70000, 1.70000, -8.40423, -0.39342,  654,        1,
( -2   |-17/10),-2.00000,-1.70000, -4.54283, -7.08157,  654,        1,
(  7/10| 14/5 ), 0.70000, 2.80000,  1.58999,  8.26183,  655,        1,
( -7/10|  7/2 ),-0.70000, 3.50000, -1.58999,  8.26183,  655,        1,
(  7/2 |-14/5 ), 3.50000,-2.80000,  7.94995, -2.75394,  655,        1,
( 14/5 | -7/2 ), 2.80000,-3.50000,  6.35996, -5.50789,  655,        1,
( -7/2 |  7/10),-3.50000, 0.70000, -7.94995, -2.75394,  655,        1,
(-14/5 | -7/10),-2.80000,-0.70000, -6.35996, -5.50789,  655,        1,
( 14/5 |  7/10), 2.80000, 0.70000,  6.35996,  5.50789,  656,        1,
(  7/2 | -7/10), 3.50000,-0.70000,  7.94995,  2.75394,  656,        1,
(-14/5 |  7/2 ),-2.80000, 3.50000, -6.35996,  5.50789,  656,        1,
( -7/2 | 14/5 ),-3.50000, 2.80000, -7.94995,  2.75394,  656,        1,
(  7/10| -7/2 ), 0.70000,-3.50000,  1.58999, -8.26183,  656,        1,
( -7/10|-14/5 ),-0.70000,-2.80000, -1.58999, -8.26183,  656,        1,
(  8/5 | 21/10), 1.60000, 2.10000,  3.63426,  7.60613,  657,        1,
( -8/5 | 37/10),-1.60000, 3.70000, -3.63426,  7.60613,  657,        1,
( 37/10|-21/10), 3.70000,-2.10000,  8.40423, -0.65570,  657,        1,
( 21/10|-37/10), 2.10000,-3.70000,  4.76997, -6.95043,  657,        1,
(-37/10|  8/5 ),-3.70000, 1.60000, -8.40423, -0.65570,  657,        1,
(-21/10| -8/5 ),-2.10000,-1.60000, -4.76997, -6.95043,  657,        1,
( 21/10|  8/5 ), 2.10000, 1.60000,  4.76997,  6.95043,  658,        1,
( 37/10| -8/5 ), 3.70000,-1.60000,  8.40423,  0.65570,  658,        1,
(-21/10| 37/10),-2.10000, 3.70000, -4.76997,  6.95043,  658,        1,
(-37/10| 21/10),-3.70000, 2.10000, -8.40423,  0.65570,  658,        1,
(  8/5 |-37/10), 1.60000,-3.70000,  3.63426, -7.60613,  658,        1,
( -8/5 |-21/10),-1.60000,-2.10000, -3.63426, -7.60613,  658,        1,
(  1   | 13/5 ), 1.00000, 2.60000,  2.27141,  8.13069,  659,        1,
( -1   | 18/5 ),-1.00000, 3.60000, -2.27141,  8.13069,  659,        1,
( 18/5 |-13/5 ), 3.60000,-2.60000,  8.17709, -2.09824,  659,        1,
( 13/5 |-18/5 ), 2.60000,-3.60000,  5.90568, -6.03245,  659,        1,
(-18/5 |  1   ),-3.60000, 1.00000, -8.17709, -2.09824,  659,        1,
(-13/5 | -1   ),-2.60000,-1.00000, -5.90568, -6.03245,  659,        1,
( 13/5 |  1   ), 2.60000, 1.00000,  5.90568,  6.03245,  660,        1,
( 18/5 | -1   ), 3.60000,-1.00000,  8.17709,  2.09824,  660,        1,
(-13/5 | 18/5 ),-2.60000, 3.60000, -5.90568,  6.03245,  660,        1,
(-18/5 | 13/5 ),-3.60000, 2.60000, -8.17709,  2.09824,  660,        1,
(  1   |-18/5 ), 1.00000,-3.60000,  2.27141, -8.13069,  660,        1,
( -1   |-13/5 ),-1.00000,-2.60000, -2.27141, -8.13069,  660,        1,
(  2/5 |  3   ), 0.40000, 3.00000,  0.90857,  8.39297,  661,        1,
( -2/5 | 17/5 ),-0.40000, 3.40000, -0.90857,  8.39297,  661,        1,
( 17/5 | -3   ), 3.40000,-3.00000,  7.72281, -3.40964,  661,        1,
(  3   |-17/5 ), 3.00000,-3.40000,  6.81424, -4.98333,  661,        1,
(-17/5 |  2/5 ),-3.40000, 0.40000, -7.72281, -3.40964,  661,        1,
( -3   | -2/5 ),-3.00000,-0.40000, -6.81424, -4.98333,  661,        1,
(  3   |  2/5 ), 3.00000, 0.40000,  6.81424,  4.98333,  662,        1,
( 17/5 | -2/5 ), 3.40000,-0.40000,  7.72281,  3.40964,  662,        1,
( -3   | 17/5 ),-3.00000, 3.40000, -6.81424,  4.98333,  662,        1,
(-17/5 |  3   ),-3.40000, 3.00000, -7.72281,  3.40964,  662,        1,
(  2/5 |-17/5 ), 0.40000,-3.40000,  0.90857, -8.39297,  662,        1,
( -2/5 | -3   ),-0.40000,-3.00000, -0.90857, -8.39297,  662,        1,
(  3/2 | 11/5 ), 1.50000, 2.20000,  3.40712,  7.73727,  663,        1,
( -3/2 | 37/10),-1.50000, 3.70000, -3.40712,  7.73727,  663,        1,
( 37/10|-11/5 ), 3.70000,-2.20000,  8.40423, -0.91798,  663,        1,
( 11/5 |-37/10), 2.20000,-3.70000,  4.99711, -6.81929,  663,        1,
(-37/10|  3/2 ),-3.70000, 1.50000, -8.40423, -0.91798,  663,        1,
(-11/5 | -3/2 ),-2.20000,-1.50000, -4.99711, -6.81929,  663,        1,
( 11/5 |  3/2 ), 2.20000, 1.50000,  4.99711,  6.81929,  664,        1,
( 37/10| -3/2 ), 3.70000,-1.50000,  8.40423,  0.91798,  664,        1,
(-11/5 | 37/10),-2.20000, 3.70000, -4.99711,  6.81929,  664,        1,
(-37/10| 11/5 ),-3.70000, 2.20000, -8.40423,  0.91798,  664,        1,
(  3/2 |-37/10), 1.50000,-3.70000,  3.40712, -7.73727,  664,        1,
( -3/2 |-11/5 ),-1.50000,-2.20000, -3.40712, -7.73727,  664,        1,
( 23/10|  7/5 ), 2.30000, 1.40000,  5.22425,  6.68815,  665,        1,
( 37/10| -7/5 ), 3.70000,-1.40000,  8.40423,  1.18026,  665,        1,
(-23/10| 37/10),-2.30000, 3.70000, -5.22425,  6.68815,  665,        1,
(-37/10| 23/10),-3.70000, 2.30000, -8.40423,  1.18026,  665,        1,
(  7/5 |-37/10), 1.40000,-3.70000,  3.17998, -7.86841,  665,        1,
( -7/5 |-23/10),-1.40000,-2.30000, -3.17998, -7.86841,  665,        1,
(  7/5 | 23/10), 1.40000, 2.30000,  3.17998,  7.86841,  666,        1,
( -7/5 | 37/10),-1.40000, 3.70000, -3.17998,  7.86841,  666,        1,
( 37/10|-23/10), 3.70000,-2.30000,  8.40423, -1.18026,  666,        1,
( 23/10|-37/10), 2.30000,-3.70000,  5.22425, -6.68815,  666,        1,
(-37/10|  7/5 ),-3.70000, 1.40000, -8.40423, -1.18026,  666,        1,
(-23/10| -7/5 ),-2.30000,-1.40000, -5.22425, -6.68815,  666,        1,
( 29/10|  3/5 ), 2.90000, 0.60000,  6.58710,  5.37675,  667,        1,
(  7/2 | -3/5 ), 3.50000,-0.60000,  7.94995,  3.01622,  667,        1,
(-29/10|  7/2 ),-2.90000, 3.50000, -6.58710,  5.37675,  667,        1,
( -7/2 | 29/10),-3.50000, 2.90000, -7.94995,  3.01622,  667,        1,
(  3/5 | -7/2 ), 0.60000,-3.50000,  1.36285, -8.39297,  667,        1,
( -3/5 |-29/10),-0.60000,-2.90000, -1.36285, -8.39297,  667,        1,
(  3/5 | 29/10), 0.60000, 2.90000,  1.36285,  8.39297,  668,        1,
( -3/5 |  7/2 ),-0.60000, 3.50000, -1.36285,  8.39297,  668,        1,
(  7/2 |-29/10), 3.50000,-2.90000,  7.94995, -3.01622,  668,        1,
( 29/10| -7/2 ), 2.90000,-3.50000,  6.58710, -5.37675,  668,        1,
( -7/2 |  3/5 ),-3.50000, 0.60000, -7.94995, -3.01622,  668,        1,
(-29/10| -3/5 ),-2.90000,-0.60000, -6.58710, -5.37675,  668,        1,
(  9/10| 27/10), 0.90000, 2.70000,  2.04427,  8.26183,  669,        1,
( -9/10| 18/5 ),-0.90000, 3.60000, -2.04427,  8.26183,  669,        1,
( 18/5 |-27/10), 3.60000,-2.70000,  8.17709, -2.36052,  669,        1,
( 27/10|-18/5 ), 2.70000,-3.60000,  6.13282, -5.90131,  669,        1,
(-18/5 |  9/10),-3.60000, 0.90000, -8.17709, -2.36052,  669,        1,
(-27/10| -9/10),-2.70000,-0.90000, -6.13282, -5.90131,  669,        1,
( 27/10|  9/10), 2.70000, 0.90000,  6.13282,  5.90131,  670,        1,
( 18/5 | -9/10), 3.60000,-0.90000,  8.17709,  2.36052,  670,        1,
(-27/10| 18/5 ),-2.70000, 3.60000, -6.13282,  5.90131,  670,        1,
(-18/5 | 27/10),-3.60000, 2.70000, -8.17709,  2.36052,  670,        1,
(  9/10|-18/5 ), 0.90000,-3.60000,  2.04427, -8.26183,  670,        1,
( -9/10|-27/10),-0.90000,-2.70000, -2.04427, -8.26183,  670,        1,
( 13/10| 12/5 ), 1.30000, 2.40000,  2.95284,  7.99955,  671,        1,
(-13/10| 37/10),-1.30000, 3.70000, -2.95284,  7.99955,  671,        1,
( 37/10|-12/5 ), 3.70000,-2.40000,  8.40423, -1.44254,  671,        1,
( 12/5 |-37/10), 2.40000,-3.70000,  5.45139, -6.55701,  671,        1,
(-37/10| 13/10),-3.70000, 1.30000, -8.40423, -1.44254,  671,        1,
(-12/5 |-13/10),-2.40000,-1.30000, -5.45139, -6.55701,  671,        1,
( 12/5 | 13/10), 2.40000, 1.30000,  5.45139,  6.55701,  672,        1,
( 37/10|-13/10), 3.70000,-1.30000,  8.40423,  1.44254,  672,        1,
(-12/5 | 37/10),-2.40000, 3.70000, -5.45139,  6.55701,  672,        1,
(-37/10| 12/5 ),-3.70000, 2.40000, -8.40423,  1.44254,  672,        1,
( 13/10|-37/10), 1.30000,-3.70000,  2.95284, -7.99955,  672,        1,
(-13/10|-12/5 ),-1.30000,-2.40000, -2.95284, -7.99955,  672,        1,
( 16/5 |  1/10), 3.20000, 0.10000,  7.26852,  4.45876,  673,        1,
( 33/10| -1/10), 3.30000,-0.10000,  7.49567,  4.06534,  673,        1,
(-16/5 | 33/10),-3.20000, 3.30000, -7.26852,  4.45876,  673,        1,
(-33/10| 16/5 ),-3.30000, 3.20000, -7.49567,  4.06534,  673,        1,
(  1/10|-33/10), 0.10000,-3.30000,  0.22714, -8.52411,  673,        1,
( -1/10|-16/5 ),-0.10000,-3.20000, -0.22714, -8.52411,  673,        1,
(  1/10| 16/5 ), 0.10000, 3.20000,  0.22714,  8.52411,  674,        1,
( -1/10| 33/10),-0.10000, 3.30000, -0.22714,  8.52411,  674,        1,
( 33/10|-16/5 ), 3.30000,-3.20000,  7.49567, -4.06534,  674,        1,
( 16/5 |-33/10), 3.20000,-3.30000,  7.26852, -4.45876,  674,        1,
(-33/10|  1/10),-3.30000, 0.10000, -7.49567, -4.06534,  674,        1,
(-16/5 | -1/10),-3.20000,-0.10000, -7.26852, -4.45876,  674,        1,
(  3/10| 31/10), 0.30000, 3.10000,  0.68142,  8.52411,  675,        1,
( -3/10| 17/5 ),-0.30000, 3.40000, -0.68142,  8.52411,  675,        1,
( 17/5 |-31/10), 3.40000,-3.10000,  7.72281, -3.67192,  675,        1,
( 31/10|-17/5 ), 3.10000,-3.40000,  7.04138, -4.85219,  675,        1,
(-17/5 |  3/10),-3.40000, 0.30000, -7.72281, -3.67192,  675,        1,
(-31/10| -3/10),-3.10000,-0.30000, -7.04138, -4.85219,  675,        1,
( 31/10|  3/10), 3.10000, 0.30000,  7.04138,  4.85219,  676,        1,
( 17/5 | -3/10), 3.40000,-0.30000,  7.72281,  3.67192,  676,        1,
(-31/10| 17/5 ),-3.10000, 3.40000, -7.04138,  4.85219,  676,        1,
(-17/5 | 31/10),-3.40000, 3.10000, -7.72281,  3.67192,  676,        1,
(  3/10|-17/5 ), 0.30000,-3.40000,  0.68142, -8.52411,  676,        1,
( -3/10|-31/10),-0.30000,-3.10000, -0.68142, -8.52411,  676,        1,
(  5/2 |  6/5 ), 2.50000, 1.20000,  5.67853,  6.42587,  677,        1,
( 37/10| -6/5 ), 3.70000,-1.20000,  8.40423,  1.70482,  677,        1,
( -5/2 | 37/10),-2.50000, 3.70000, -5.67853,  6.42587,  677,        1,
(-37/10|  5/2 ),-3.70000, 2.50000, -8.40423,  1.70482,  677,        1,
(  6/5 |-37/10), 1.20000,-3.70000,  2.72570, -8.13069,  677,        1,
( -6/5 | -5/2 ),-1.20000,-2.50000, -2.72570, -8.13069,  677,        1,
(  6/5 |  5/2 ), 1.20000, 2.50000,  2.72570,  8.13069,  678,        1,
( -6/5 | 37/10),-1.20000, 3.70000, -2.72570,  8.13069,  678,        1,
( 37/10| -5/2 ), 3.70000,-2.50000,  8.40423, -1.70482,  678,        1,
(  5/2 |-37/10), 2.50000,-3.70000,  5.67853, -6.42587,  678,        1,
(-37/10|  6/5 ),-3.70000, 1.20000, -8.40423, -1.70482,  678,        1,
( -5/2 | -6/5 ),-2.50000,-1.20000, -5.67853, -6.42587,  678,        1,
(  4/5 | 14/5 ), 0.80000, 2.80000,  1.81713,  8.39297,  679,        1,
( -4/5 | 18/5 ),-0.80000, 3.60000, -1.81713,  8.39297,  679,        1,
( 18/5 |-14/5 ), 3.60000,-2.80000,  8.17709, -2.62280,  679,        1,
( 14/5 |-18/5 ), 2.80000,-3.60000,  6.35996, -5.77017,  679,        1,
(-18/5 |  4/5 ),-3.60000, 0.80000, -8.17709, -2.62280,  679,        1,
(-14/5 | -4/5 ),-2.80000,-0.80000, -6.35996, -5.77017,  679,        1,
( 14/5 |  4/5 ), 2.80000, 0.80000,  6.35996,  5.77017,  680,        1,
( 18/5 | -4/5 ), 3.60000,-0.80000,  8.17709,  2.62280,  680,        1,
(-14/5 | 18/5 ),-2.80000, 3.60000, -6.35996,  5.77017,  680,        1,
(-18/5 | 14/5 ),-3.60000, 2.80000, -8.17709,  2.62280,  680,        1,
(  4/5 |-18/5 ), 0.80000,-3.60000,  1.81713, -8.39297,  680,        1,
( -4/5 |-14/5 ),-0.80000,-2.80000, -1.81713, -8.39297,  680,        1,
(  3   |  1/2 ), 3.00000, 0.50000,  6.81424,  5.24561,  681,        1,
(  7/2 | -1/2 ), 3.50000,-0.50000,  7.94995,  3.27850,  681,        1,
( -3   |  7/2 ),-3.00000, 3.50000, -6.81424,  5.24561,  681,        1,
( -7/2 |  3   ),-3.50000, 3.00000, -7.94995,  3.27850,  681,        1,
(  1/2 | -7/2 ), 0.50000,-3.50000,  1.13571, -8.52411,  681,        1,
( -1/2 | -3   ),-0.50000,-3.00000, -1.13571, -8.52411,  681,        1,
(  1/2 |  3   ), 0.50000, 3.00000,  1.13571,  8.52411,  682,        1,
( -1/2 |  7/2 ),-0.50000, 3.50000, -1.13571,  8.52411,  682,        1,
(  7/2 | -3   ), 3.50000,-3.00000,  7.94995, -3.27850,  682,        1,
