# This file was automatically generated by ViPErLEED v. 0.1a.
# It contains the pattern file generated from:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Pt(111)-(1x1).tlm
#
# Structure: Pt(111)-(3x3)Te
#
# Max. LEED Energy: 900.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 8.2986 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [8.2986 0.0000]; b = [-4.1493  7.1868]
#            Superlattice: [[3 0] [0 3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( 10/3|-14/3), 3.33333,-4.66667,  7.57138, -7.86841,  107,        1,
(-14/3|  4/3),-4.66667, 1.33333,-10.59993, -2.62280,  107,        1,
(-10/3| -4/3),-3.33333,-1.33333, -7.57138, -7.86841,  107,        1,
(  1/3|  4  ), 0.33333, 4.00000,  0.75714, 10.92835,  108,        1,
( -1/3| 13/3),-0.33333, 4.33333, -0.75714, 10.92835,  108,        1,
( 13/3| -4  ), 4.33333,-4.00000,  9.84279, -4.80847,  108,        1,
(  4  |-13/3), 4.00000,-4.33333,  9.08566, -6.11987,  108,        1,
(-13/3|  1/3),-4.33333, 0.33333, -9.84279, -4.80847,  108,        1,
( -4  | -1/3),-4.00000,-0.33333, -9.08566, -6.11987,  108,        1,
(  4  |  1/3), 4.00000, 0.33333,  9.08566,  6.11987,  109,        1,
( 13/3| -1/3), 4.33333,-0.33333,  9.84279,  4.80847,  109,        1,
( -4  | 13/3),-4.00000, 4.33333, -9.08566,  6.11987,  109,        1,
(-13/3|  4  ),-4.33333, 4.00000, -9.84279,  4.80847,  109,        1,
(  1/3|-13/3), 0.33333,-4.33333,  0.75714,-10.92835,  109,        1,
( -1/3| -4  ),-0.33333,-4.00000, -0.75714,-10.92835,  109,        1,
( 11/3|  1  ), 3.66667, 1.00000,  8.32852,  7.43127,  110,        1,
( 14/3| -1  ), 4.66667,-1.00000, 10.59993,  3.49707,  110,        1,
(-11/3| 14/3),-3.66667, 4.66667, -8.32852,  7.43127,  110,        1,
(-14/3| 11/3),-4.66667, 3.66667,-10.59993,  3.49707,  110,        1,
(  1  |-14/3), 1.00000,-4.66667,  2.27141,-10.92835,  110,        1,
( -1  |-11/3),-1.00000,-3.66667, -2.27141,-10.92835,  110,        1,
(  1  | 11/3), 1.00000, 3.66667,  2.27141, 10.92835,  111,        1,
( -1  | 14/3),-1.00000, 4.66667, -2.27141, 10.92835,  111,        1,
( 14/3|-11/3), 4.66667,-3.66667, 10.59993, -3.49707,  111,        1,
( 11/3|-14/3), 3.66667,-4.66667,  8.32852, -7.43127,  111,        1,
(-14/3|  1  ),-4.66667, 1.00000,-10.59993, -3.49707,  111,        1,
(-11/3| -1  ),-3.66667,-1.00000, -8.32852, -7.43127,  111,        1,
(  7/3|  8/3), 2.33333, 2.66667,  5.29997, 10.05408,  112,        1,
( -7/3|  5  ),-2.33333, 5.00000, -5.29997, 10.05408,  112,        1,
(  5  | -8/3), 5.00000,-2.66667, 11.35707, -0.43713,  112,        1,
(  8/3| -5  ), 2.66667,-5.00000,  6.05710, -9.61694,  112,        1,
( -5  |  7/3),-5.00000, 2.33333,-11.35707, -0.43713,  112,        1,
( -8/3| -7/3),-2.66667,-2.33333, -6.05710, -9.61694,  112,        1,
(  8/3|  7/3), 2.66667, 2.33333,  6.05710,  9.61694,  113,        1,
(  5  | -7/3), 5.00000,-2.33333, 11.35707,  0.43713,  113,        1,
( -8/3|  5  ),-2.66667, 5.00000, -6.05710,  9.61694,  113,        1,
( -5  |  8/3),-5.00000, 2.66667,-11.35707,  0.43713,  113,        1,
(  7/3| -5  ), 2.33333,-5.00000,  5.29997,-10.05408,  113,        1,
( -7/3| -8/3),-2.33333,-2.66667, -5.29997,-10.05408,  113,        1,
( 13/3|  0  ), 4.33333, 0.00000,  9.84279,  5.68274,  114,        1,
(-13/3| 13/3),-4.33333, 4.33333, -9.84279,  5.68274,  114,        1,
(  0  |-13/3), 0.00000,-4.33333,  0.00000,-11.36548,  114,        1,
(  0  | 13/3), 0.00000, 4.33333,  0.00000, 11.36548,  115,        1,
( 13/3|-13/3), 4.33333,-4.33333,  9.84279, -5.68274,  115,        1,
(-13/3|  0  ),-4.33333, 0.00000, -9.84279, -5.68274,  115,        1,
(  3  |  2  ), 3.00000, 2.00000,  6.81424,  9.17981,  116,        1,
(  5  | -2  ), 5.00000,-2.00000, 11.35707,  1.31140,  116,        1,
( -3  |  5  ),-3.00000, 5.00000, -6.81424,  9.17981,  116,        1,
( -5  |  3  ),-5.00000, 3.00000,-11.35707,  1.31140,  116,        1,
(  2  | -5  ), 2.00000,-5.00000,  4.54283,-10.49121,  116,        1,
( -2  | -3  ),-2.00000,-3.00000, -4.54283,-10.49121,  116,        1,
(  2  |  3  ), 2.00000, 3.00000,  4.54283, 10.49121,  117,        1,
( -2  |  5  ),-2.00000, 5.00000, -4.54283, 10.49121,  117,        1,
(  5  | -3  ), 5.00000,-3.00000, 11.35707, -1.31140,  117,        1,
(  3  | -5  ), 3.00000,-5.00000,  6.81424, -9.17981,  117,        1,
( -5  |  2  ),-5.00000, 2.00000,-11.35707, -1.31140,  117,        1,
( -3  | -2  ),-3.00000,-2.00000, -6.81424, -9.17981,  117,        1,
(  4  |  2/3), 4.00000, 0.66667,  9.08566,  6.99414,  118,        1,
( 14/3| -2/3), 4.66667,-0.66667, 10.59993,  4.37134,  118,        1,
( -4  | 14/3),-4.00000, 4.66667, -9.08566,  6.99414,  118,        1,
(-14/3|  4  ),-4.66667, 4.00000,-10.59993,  4.37134,  118,        1,
(  2/3|-14/3), 0.66667,-4.66667,  1.51428,-11.36548,  118,        1,
( -2/3| -4  ),-0.66667,-4.00000, -1.51428,-11.36548,  118,        1,
(  2/3|  4  ), 0.66667, 4.00000,  1.51428, 11.36548,  119,        1,
( -2/3| 14/3),-0.66667, 4.66667, -1.51428, 11.36548,  119,        1,
( 14/3| -4  ), 4.66667,-4.00000, 10.59993, -4.37134,  119,        1,
(  4  |-14/3), 4.00000,-4.66667,  9.08566, -6.99414,  119,        1,
(-14/3|  2/3),-4.66667, 0.66667,-10.59993, -4.37134,  119,        1,
( -4  | -2/3),-4.00000,-0.66667, -9.08566, -6.99414,  119,        1,
(  5/3| 10/3), 1.66667, 3.33333,  3.78569, 10.92835,  120,        1,
( -5/3|  5  ),-1.66667, 5.00000, -3.78569, 10.92835,  120,        1,
(  5  |-10/3), 5.00000,-3.33333, 11.35707, -2.18567,  120,        1,
( 10/3| -5  ), 3.33333,-5.00000,  7.57138, -8.74268,  120,        1,
( -5  |  5/3),-5.00000, 1.66667,-11.35707, -2.18567,  120,        1,
(-10/3| -5/3),-3.33333,-1.66667, -7.57138, -8.74268,  120,        1,
( 10/3|  5/3), 3.33333, 1.66667,  7.57138,  8.74268,  121,        1,
(  5  | -5/3), 5.00000,-1.66667, 11.35707,  2.18567,  121,        1,
(-10/3|  5  ),-3.33333, 5.00000, -7.57138,  8.74268,  121,        1,
( -5  | 10/3),-5.00000, 3.33333,-11.35707,  2.18567,  121,        1,
(  5/3| -5  ), 1.66667,-5.00000,  3.78569,-10.92835,  121,        1,
( -5/3|-10/3),-1.66667,-3.33333, -3.78569,-10.92835,  121,        1,
( 11/3|  4/3), 3.66667, 1.33333,  8.32852,  8.30554,  122,        1,
(  5  | -4/3), 5.00000,-1.33333, 11.35707,  3.05994,  122,        1,
(-11/3|  5  ),-3.66667, 5.00000, -8.32852,  8.30554,  122,        1,
( -5  | 11/3),-5.00000, 3.66667,-11.35707,  3.05994,  122,        1,
(  4/3| -5  ), 1.33333,-5.00000,  3.02855,-11.36548,  122,        1,
( -4/3|-11/3),-1.33333,-3.66667, -3.02855,-11.36548,  122,        1,
(  4/3| 11/3), 1.33333, 3.66667,  3.02855, 11.36548,  123,        1,
( -4/3|  5  ),-1.33333, 5.00000, -3.02855, 11.36548,  123,        1,
(  5  |-11/3), 5.00000,-3.66667, 11.35707, -3.05994,  123,        1,
( 11/3| -5  ), 3.66667,-5.00000,  8.32852, -8.30554,  123,        1,
( -5  |  4/3),-5.00000, 1.33333,-11.35707, -3.05994,  123,        1,
(-11/3| -4/3),-3.66667,-1.33333, -8.32852, -8.30554,  123,        1,
(  1/3| 13/3), 0.33333, 4.33333,  0.75714, 11.80261,  124,        1,
( -1/3| 14/3),-0.33333, 4.66667, -0.75714, 11.80261,  124,        1,
( 14/3|-13/3), 4.66667,-4.33333, 10.59993, -5.24561,  124,        1,
( 13/3|-14/3), 4.33333,-4.66667,  9.84279, -6.55701,  124,        1,
(-14/3|  1/3),-4.66667, 0.33333,-10.59993, -5.24561,  124,        1,
(-13/3| -1/3),-4.33333,-0.33333, -9.84279, -6.55701,  124,        1,
( 13/3|  1/3), 4.33333, 0.33333,  9.84279,  6.55701,  125,        1,
( 14/3| -1/3), 4.66667,-0.33333, 10.59993,  5.24561,  125,        1,
(-13/3| 14/3),-4.33333, 4.66667, -9.84279,  6.55701,  125,        1,
(-14/3| 13/3),-4.66667, 4.33333,-10.59993,  5.24561,  125,        1,
(  1/3|-14/3), 0.33333,-4.66667,  0.75714,-11.80261,  125,        1,
( -1/3|-13/3),-0.33333,-4.33333, -0.75714,-11.80261,  125,        1,
(  1  |  4  ), 1.00000, 4.00000,  2.27141, 11.80261,  126,        1,
( -1  |  5  ),-1.00000, 5.00000, -2.27141, 11.80261,  126,        1,
(  5  | -4  ), 5.00000,-4.00000, 11.35707, -3.93420,  126,        1,
(  4  | -5  ), 4.00000,-5.00000,  9.08566, -7.86841,  126,        1,
( -5  |  1  ),-5.00000, 1.00000,-11.35707, -3.93420,  126,        1,
( -4  | -1  ),-4.00000,-1.00000, -9.08566, -7.86841,  126,        1,
(  4  |  1  ), 4.00000, 1.00000,  9.08566,  7.86841,  127,        1,
(  5  | -1  ), 5.00000,-1.00000, 11.35707,  3.93420,  127,        1,
( -4  |  5  ),-4.00000, 5.00000, -9.08566,  7.86841,  127,        1,
( -5  |  4  ),-5.00000, 4.00000,-11.35707,  3.93420,  127,        1,
(  1  | -5  ), 1.00000,-5.00000,  2.27141,-11.80261,  127,        1,
( -1  | -4  ),-1.00000,-4.00000, -2.27141,-11.80261,  127,        1,
(  8/3|  8/3), 2.66667, 2.66667,  6.05710, 10.49121,  128,        1,
( 16/3| -8/3), 5.33333,-2.66667, 12.11421, -0.00000,  128,        1,
( -8/3| 16/3),-2.66667, 5.33333, -6.05710, 10.49121,  128,        1,
(  8/3|-16/3), 2.66667,-5.33333,  6.05710,-10.49121,  128,        1,
(-16/3|  8/3),-5.33333, 2.66667,-12.11421,  0.00000,  128,        1,
( -8/3| -8/3),-2.66667,-2.66667, -6.05710,-10.49121,  128,        1,
(  3  |  7/3), 3.00000, 2.33333,  6.81424, 10.05408,  129,        1,
( 16/3| -7/3), 5.33333,-2.33333, 12.11421,  0.87427,  129,        1,
( -3  | 16/3),-3.00000, 5.33333, -6.81424, 10.05408,  129,        1,
(-16/3|  3  ),-5.33333, 3.00000,-12.11421,  0.87427,  129,        1,
(  7/3|-16/3), 2.33333,-5.33333,  5.29997,-10.92835,  129,        1,
( -7/3| -3  ),-2.33333,-3.00000, -5.29997,-10.92835,  129,        1,
(  7/3|  3  ), 2.33333, 3.00000,  5.29997, 10.92835,  130,        1,
( -7/3| 16/3),-2.33333, 5.33333, -5.29997, 10.92835,  130,        1,
( 16/3| -3  ), 5.33333,-3.00000, 12.11421, -0.87427,  130,        1,
(  3  |-16/3), 3.00000,-5.33333,  6.81424,-10.05408,  130,        1,
(-16/3|  7/3),-5.33333, 2.33333,-12.11421, -0.87427,  130,        1,
( -3  | -7/3),-3.00000,-2.33333, -6.81424,-10.05408,  130,        1,
(  2  | 10/3), 2.00000, 3.33333,  4.54283, 11.36548,  131,        1,
( -2  | 16/3),-2.00000, 5.33333, -4.54283, 11.36548,  131,        1,
( 16/3|-10/3), 5.33333,-3.33333, 12.11421, -1.74854,  131,        1,
( 10/3|-16/3), 3.33333,-5.33333,  7.57138, -9.61694,  131,        1,
(-16/3|  2  ),-5.33333, 2.00000,-12.11421, -1.74854,  131,        1,
(-10/3| -2  ),-3.33333,-2.00000, -7.57138, -9.61694,  131,        1,
( 10/3|  2  ), 3.33333, 2.00000,  7.57138,  9.61694,  132,        1,
( 16/3| -2  ), 5.33333,-2.00000, 12.11421,  1.74854,  132,        1,
(-10/3| 16/3),-3.33333, 5.33333, -7.57138,  9.61694,  132,        1,
(-16/3| 10/3),-5.33333, 3.33333,-12.11421,  1.74854,  132,        1,
(  2  |-16/3), 2.00000,-5.33333,  4.54283,-11.36548,  132,        1,
( -2  |-10/3),-2.00000,-3.33333, -4.54283,-11.36548,  132,        1,
( 14/3|  0  ), 4.66667, 0.00000, 10.59993,  6.11987,  133,        1,
(-14/3| 14/3),-4.66667, 4.66667,-10.59993,  6.11987,  133,        1,
(  0  |-14/3), 0.00000,-4.66667,  0.00000,-12.23975,  133,        1,
(  0  | 14/3), 0.00000, 4.66667,  0.00000, 12.23975,  134,        1,
( 14/3|-14/3), 4.66667,-4.66667, 10.59993, -6.11987,  134,        1,
(-14/3|  0  ),-4.66667, 0.00000,-10.59993, -6.11987,  134,        1,
( 13/3|  2/3), 4.33333, 0.66667,  9.84279,  7.43127,  135,        1,
(  5  | -2/3), 5.00000,-0.66667, 11.35707,  4.80847,  135,        1,
(-13/3|  5  ),-4.33333, 5.00000, -9.84279,  7.43127,  135,        1,
( -5  | 13/3),-5.00000, 4.33333,-11.35707,  4.80847,  135,        1,
(  2/3| -5  ), 0.66667,-5.00000,  1.51428,-12.23975,  135,        1,
( -2/3|-13/3),-0.66667,-4.33333, -1.51428,-12.23975,  135,        1,
(  2/3| 13/3), 0.66667, 4.33333,  1.51428, 12.23975,  136,        1,
( -2/3|  5  ),-0.66667, 5.00000, -1.51428, 12.23975,  136,        1,
(  5  |-13/3), 5.00000,-4.33333, 11.35707, -4.80847,  136,        1,
( 13/3| -5  ), 4.33333,-5.00000,  9.84279, -7.43127,  136,        1,
( -5  |  2/3),-5.00000, 0.66667,-11.35707, -4.80847,  136,        1,
(-13/3| -2/3),-4.33333,-0.66667, -9.84279, -7.43127,  136,        1,
(  5/3| 11/3), 1.66667, 3.66667,  3.78569, 11.80261,  137,        1,
( -5/3| 16/3),-1.66667, 5.33333, -3.78569, 11.80261,  137,        1,
( 16/3|-11/3), 5.33333,-3.66667, 12.11421, -2.62280,  137,        1,
( 11/3|-16/3), 3.66667,-5.33333,  8.32852, -9.17981,  137,        1,
(-16/3|  5/3),-5.33333, 1.66667,-12.11421, -2.62280,  137,        1,
(-11/3| -5/3),-3.66667,-1.66667, -8.32852, -9.17981,  137,        1,
( 11/3|  5/3), 3.66667, 1.66667,  8.32852,  9.17981,  138,        1,
( 16/3| -5/3), 5.33333,-1.66667, 12.11421,  2.62280,  138,        1,
(-11/3| 16/3),-3.66667, 5.33333, -8.32852,  9.17981,  138,        1,
(-16/3| 11/3),-5.33333, 3.66667,-12.11421,  2.62280,  138,        1,
(  5/3|-16/3), 1.66667,-5.33333,  3.78569,-11.80261,  138,        1,
( -5/3|-11/3),-1.66667,-3.66667, -3.78569,-11.80261,  138,        1,
