# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ag(110)-c(2x2).tlm
#
# Structure: Ag(110)-c(2x2)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 5.7840 AA; b = 4.0900 AA
#        Basis: a = [ 0.0000 -5.7840]; b = [4.0900 0.0000]
# Surface lattice: Rhombic (cmm); a = 7.0840 AA; alpha = 109.47 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [ 4.0900 -5.7840]; b = [4.0900 5.7840]
#            Superlattice: [[ 1  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(-11/2| -1/2), -5.50000, -0.50000, -0.76812,  5.97467,   38,        1,
(  0  |  4  ),  0.00000,  4.00000,  6.14492,  0.00000,   39,        1,
(  0  | -4  ),  0.00000, -4.00000, -6.14492, -0.00000,   39,        1,
(  9/2|  5/2),  4.50000,  2.50000,  3.84058, -4.88837,   40,        1,
(  9/2| -5/2),  4.50000, -2.50000, -3.84058, -4.88837,   40,        1,
( -9/2|  5/2), -4.50000,  2.50000,  3.84058,  4.88837,   40,        1,
( -9/2| -5/2), -4.50000, -2.50000, -3.84058,  4.88837,   40,        1,
(  1  |  4  ),  1.00000,  4.00000,  6.14492, -1.08630,   41,        1,
( -1  |  4  ), -1.00000,  4.00000,  6.14492,  1.08630,   41,        1,
(  1  | -4  ),  1.00000, -4.00000, -6.14492, -1.08630,   41,        1,
( -1  | -4  ), -1.00000, -4.00000, -6.14492,  1.08630,   41,        1,
(  5  |  2  ),  5.00000,  2.00000,  3.07246, -5.43152,   42,        1,
(  5  | -2  ),  5.00000, -2.00000, -3.07246, -5.43152,   42,        1,
( -5  |  2  ), -5.00000,  2.00000,  3.07246,  5.43152,   42,        1,
( -5  | -2  ), -5.00000, -2.00000, -3.07246,  5.43152,   42,        1,
(  4  |  3  ),  4.00000,  3.00000,  4.60869, -4.34522,   43,        1,
(  4  | -3  ),  4.00000, -3.00000, -4.60869, -4.34522,   43,        1,
( -4  |  3  ), -4.00000,  3.00000,  4.60869,  4.34522,   43,        1,
( -4  | -3  ), -4.00000, -3.00000, -4.60869,  4.34522,   43,        1,
( 11/2|  3/2),  5.50000,  1.50000,  2.30435, -5.97467,   44,        1,
( 11/2| -3/2),  5.50000, -1.50000, -2.30435, -5.97467,   44,        1,
(-11/2|  3/2), -5.50000,  1.50000,  2.30435,  5.97467,   44,        1,
(-11/2| -3/2), -5.50000, -1.50000, -2.30435,  5.97467,   44,        1,
(  2  |  4  ),  2.00000,  4.00000,  6.14492, -2.17261,   45,        1,
( -2  |  4  ), -2.00000,  4.00000,  6.14492,  2.17261,   45,        1,
(  2  | -4  ),  2.00000, -4.00000, -6.14492, -2.17261,   45,        1,
( -2  | -4  ), -2.00000, -4.00000, -6.14492,  2.17261,   45,        1,
(  6  |  0  ),  6.00000,  0.00000,  0.00000, -6.51783,   46,        1,
( -6  |  0  ), -6.00000,  0.00000,  0.00000,  6.51783,   46,        1,
(  7/2|  7/2),  3.50000,  3.50000,  5.37681, -3.80207,   47,        1,
(  7/2| -7/2),  3.50000, -3.50000, -5.37681, -3.80207,   47,        1,
( -7/2|  7/2), -3.50000,  3.50000,  5.37681,  3.80207,   47,        1,
( -7/2| -7/2), -3.50000, -3.50000, -5.37681,  3.80207,   47,        1,
(  6  |  1  ),  6.00000,  1.00000,  1.53623, -6.51783,   48,        1,
(  6  | -1  ),  6.00000, -1.00000, -1.53623, -6.51783,   48,        1,
( -6  |  1  ), -6.00000,  1.00000,  1.53623,  6.51783,   48,        1,
( -6  | -1  ), -6.00000, -1.00000, -1.53623,  6.51783,   48,        1,
(  1/2|  9/2),  0.50000,  4.50000,  6.91304, -0.54315,   49,        1,
( -1/2|  9/2), -0.50000,  4.50000,  6.91304,  0.54315,   49,        1,
(  1/2| -9/2),  0.50000, -4.50000, -6.91304, -0.54315,   49,        1,
( -1/2| -9/2), -0.50000, -4.50000, -6.91304,  0.54315,   49,        1,
(  3  |  4  ),  3.00000,  4.00000,  6.14492, -3.25891,   50,        1,
( -3  |  4  ), -3.00000,  4.00000,  6.14492,  3.25891,   50,        1,
(  3  | -4  ),  3.00000, -4.00000, -6.14492, -3.25891,   50,        1,
( -3  | -4  ), -3.00000, -4.00000, -6.14492,  3.25891,   50,        1,
(  3/2|  9/2),  1.50000,  4.50000,  6.91304, -1.62946,   51,        1,
( -3/2|  9/2), -1.50000,  4.50000,  6.91304,  1.62946,   51,        1,
(  3/2| -9/2),  1.50000, -4.50000, -6.91304, -1.62946,   51,        1,
( -3/2| -9/2), -1.50000, -4.50000, -6.91304,  1.62946,   51,        1,
( 11/2|  5/2),  5.50000,  2.50000,  3.84058, -5.97467,   52,        1,
( 11/2| -5/2),  5.50000, -2.50000, -3.84058, -5.97467,   52,        1,
(-11/2|  5/2), -5.50000,  2.50000,  3.84058,  5.97467,   52,        1,
(-11/2| -5/2), -5.50000, -2.50000, -3.84058,  5.97467,   52,        1,
( 13/2|  1/2),  6.50000,  0.50000,  0.76812, -7.06098,   53,        1,
( 13/2| -1/2),  6.50000, -0.50000, -0.76812, -7.06098,   53,        1,
(-13/2|  1/2), -6.50000,  0.50000,  0.76812,  7.06098,   53,        1,
(-13/2| -1/2), -6.50000, -0.50000, -0.76812,  7.06098,   53,        1,
(  5  |  3  ),  5.00000,  3.00000,  4.60869, -5.43152,   54,        1,
(  5  | -3  ),  5.00000, -3.00000, -4.60869, -5.43152,   54,        1,
( -5  |  3  ), -5.00000,  3.00000,  4.60869,  5.43152,   54,        1,
( -5  | -3  ), -5.00000, -3.00000, -4.60869,  5.43152,   54,        1,
(  6  |  2  ),  6.00000,  2.00000,  3.07246, -6.51783,   55,        1,
(  6  | -2  ),  6.00000, -2.00000, -3.07246, -6.51783,   55,        1,
( -6  |  2  ), -6.00000,  2.00000,  3.07246,  6.51783,   55,        1,
