# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/tleedmap/guilib/leedsim/input examples/Cu(111)-(r3x5)rect.tlm
#
# Structure: Cu(111)-(r3x5)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 12.7175 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [12.7175  0.0000]
#            Superlattice: [[1 2] [5 0]]
# Domain 2 - Basis: a = [ 3.8152 -2.2027]; b = [ 6.3587 11.0137]
#            Superlattice: [[ 1 -1] [ 5  5]]
# Domain 3 - Basis: a = [-3.8152 -2.2027]; b = [  6.3587 -11.0137]
#            Superlattice: [[-2 -1] [ 0 -5]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  4/5 | -9/10), 0.80000,-0.90000,  1.97623, -1.42622,   13,        1,
(  9/10| -4/5 ), 0.90000,-0.80000,  2.22326, -0.99836,   13,        3,
( -1/10| -4/5 ),-0.10000,-0.80000, -0.24703, -2.42458,   14,        3,
( -4/5 |  9/10),-0.80000, 0.90000, -1.97623,  1.42622,   14,        1,
( -9/10|  4/5 ),-0.90000, 0.80000, -2.22326,  0.99836,   14,        3,
(  1/10| -9/10), 0.10000,-0.90000,  0.24703, -2.42458,   14,        2,
(  4/5 |  1/10), 0.80000, 0.10000,  1.97623,  1.42622,   14,        1,
(  9/10| -1/10), 0.90000,-0.10000,  2.22326,  0.99836,   14,        2,
( -1   |  1/2 ),-1.00000, 0.50000, -2.47029,  0.00000,   15,        1,
( -1/2 | -1/2 ),-0.50000,-0.50000, -1.23515, -2.13933,   15,        2,
( -1/2 |  1   ),-0.50000, 1.00000, -1.23515,  2.13933,   15,        3,
(  1   | -1/2 ), 1.00000,-0.50000,  2.47029,  0.00000,   15,        1,
(  1/2 | -1   ), 0.50000,-1.00000,  1.23515, -2.13933,   15,        3,
(  1/2 |  1/2 ), 0.50000, 0.50000,  1.23515,  2.13933,   15,        2,
( -1   |  0   ),-1.00000, 0.00000, -2.47029, -1.42622,   16,    1+2+3,
(  0   |  1   ), 0.00000, 1.00000,  0.00000,  2.85245,   16,    1+2+3,
(  1   | -1   ), 1.00000,-1.00000,  2.47029, -1.42622,   16,    1+2+3,
( -1   |  1   ),-1.00000, 1.00000, -2.47029,  1.42622,   17,    1+2+3,
(  0   | -1   ), 0.00000,-1.00000,  0.00000, -2.85245,   17,    1+2+3,
(  1   |  0   ), 1.00000, 0.00000,  2.47029,  1.42622,   17,    1+2+3,
( -1/5 | -9/10),-0.20000,-0.90000, -0.49406, -2.85245,   18,        1,
(-11/10|  9/10),-1.10000, 0.90000, -2.71732,  0.99836,   18,        2,
( -9/10| 11/10),-0.90000, 1.10000, -2.22326,  1.85409,   18,        2,
(  1/5 |-11/10), 0.20000,-1.10000,  0.49406, -2.85245,   18,        1,
( 11/10| -1/5 ), 1.10000,-0.20000,  2.71732,  0.99836,   18,        3,
(  9/10|  1/5 ), 0.90000, 0.20000,  2.22326,  1.85409,   18,        3,
( -1/5 | 11/10),-0.20000, 1.10000, -0.49406,  2.85245,   19,        1,
(-11/10|  1/5 ),-1.10000, 0.20000, -2.71732, -0.99836,   19,        3,
( -9/10| -1/5 ),-0.90000,-0.20000, -2.22326, -1.85409,   19,        3,
(  1/5 |  9/10), 0.20000, 0.90000,  0.49406,  2.85245,   19,        1,
( 11/10| -9/10), 1.10000,-0.90000,  2.71732, -0.99836,   19,        2,
(  9/10|-11/10), 0.90000,-1.10000,  2.22326, -1.85409,   19,        2,
( -3/5 | -3/5 ),-0.60000,-0.60000, -1.48217, -2.56720,   20,        2,
( -3/5 |  6/5 ),-0.60000, 1.20000, -1.48217,  2.56720,   20,        3,
( -6/5 |  3/5 ),-1.20000, 0.60000, -2.96435,  0.00000,   20,        1,
(  3/5 | -6/5 ), 0.60000,-1.20000,  1.48217, -2.56720,   20,        3,
(  3/5 |  3/5 ), 0.60000, 0.60000,  1.48217,  2.56720,   20,        2,
(  6/5 | -3/5 ), 1.20000,-0.60000,  2.96435,  0.00000,   20,        1,
( -2/5 | -4/5 ),-0.40000,-0.80000, -0.98812, -2.85245,   21,        1,
( -4/5 |  6/5 ),-0.80000, 1.20000, -1.97623,  2.28196,   21,        2,
( -6/5 |  4/5 ),-1.20000, 0.80000, -2.96435,  0.57049,   21,        2,
(  2/5 | -6/5 ), 0.40000,-1.20000,  0.98812, -2.85245,   21,        1,
(  4/5 |  2/5 ), 0.80000, 0.40000,  1.97623,  2.28196,   21,        3,
(  6/5 | -2/5 ), 1.20000,-0.40000,  2.96435,  0.57049,   21,        3,
( -2/5 |  6/5 ),-0.40000, 1.20000, -0.98812,  2.85245,   22,        1,
( -4/5 | -2/5 ),-0.80000,-0.40000, -1.97623, -2.28196,   22,        3,
( -6/5 |  2/5 ),-1.20000, 0.40000, -2.96435, -0.57049,   22,        3,
(  2/5 |  4/5 ), 0.40000, 0.80000,  0.98812,  2.85245,   22,        1,
(  4/5 | -6/5 ), 0.80000,-1.20000,  1.97623, -2.28196,   22,        2,
(  6/5 | -4/5 ), 1.20000,-0.80000,  2.96435, -0.57049,   22,        2,
(-13/10|  3/5 ),-1.30000, 0.60000, -3.21138, -0.14262,   23,        3,
( -3/5 | 13/10),-0.60000, 1.30000, -1.48217,  2.85245,   23,        1,
( -7/10| -3/5 ),-0.70000,-0.60000, -1.72920, -2.70982,   23,        3,
( 13/10| -7/10), 1.30000,-0.70000,  3.21138, -0.14262,   23,        2,
(  3/5 |  7/10), 0.60000, 0.70000,  1.48217,  2.85245,   23,        1,
(  7/10|-13/10), 0.70000,-1.30000,  1.72920, -2.70982,   23,        2,
(-13/10|  7/10),-1.30000, 0.70000, -3.21138,  0.14262,   24,        2,
( -3/5 | -7/10),-0.60000,-0.70000, -1.48217, -2.85245,   24,        1,
( -7/10| 13/10),-0.70000, 1.30000, -1.72920,  2.70982,   24,        2,
( 13/10| -3/5 ), 1.30000,-0.60000,  3.21138,  0.14262,   24,        3,
(  3/5 |-13/10), 0.60000,-1.30000,  1.48217, -2.85245,   24,        1,
(  7/10|  3/5 ), 0.70000, 0.60000,  1.72920,  2.70982,   24,        3,
( -1/10|  6/5 ),-0.10000, 1.20000, -0.24703,  3.28031,   25,        3,
(-11/10| -1/10),-1.10000,-0.10000, -2.71732, -1.85409,   25,        2,
( -6/5 |  1/10),-1.20000, 0.10000, -2.96435, -1.42622,   25,        1,
(  1/10| 11/10), 0.10000, 1.10000,  0.24703,  3.28031,   25,        2,
( 11/10| -6/5 ), 1.10000,-1.20000,  2.71732, -1.85409,   25,        3,
(  6/5 |-11/10), 1.20000,-1.10000,  2.96435, -1.42622,   25,        1,
( -1/10|-11/10),-0.10000,-1.10000, -0.24703, -3.28031,   26,        2,
(-11/10|  6/5 ),-1.10000, 1.20000, -2.71732,  1.85409,   26,        3,
( -6/5 | 11/10),-1.20000, 1.10000, -2.96435,  1.42622,   26,        1,
(  1/10| -6/5 ), 0.10000,-1.20000,  0.24703, -3.28031,   26,        3,
( 11/10|  1/10), 1.10000, 0.10000,  2.71732,  1.85409,   26,        2,
(  6/5 | -1/10), 1.20000,-0.10000,  2.96435,  1.42622,   26,        1,
( -7/10| -7/10),-0.70000,-0.70000, -1.72920, -2.99507,   27,        2,
( -7/10|  7/5 ),-0.70000, 1.40000, -1.72920,  2.99507,   27,        3,
( -7/5 |  7/10),-1.40000, 0.70000, -3.45841,  0.00000,   27,        1,
(  7/10| -7/5 ), 0.70000,-1.40000,  1.72920, -2.99507,   27,        3,
(  7/10|  7/10), 0.70000, 0.70000,  1.72920,  2.99507,   27,        2,
(  7/5 | -7/10), 1.40000,-0.70000,  3.45841,  0.00000,   27,        1,
( -3/5 | -4/5 ),-0.60000,-0.80000, -1.48217, -3.13769,   28,        3,
( -4/5 |  7/5 ),-0.80000, 1.40000, -1.97623,  2.85245,   28,        1,
( -7/5 |  4/5 ),-1.40000, 0.80000, -3.45841,  0.28524,   28,        3,
(  3/5 | -7/5 ), 0.60000,-1.40000,  1.48217, -3.13769,   28,        2,
(  4/5 |  3/5 ), 0.80000, 0.60000,  1.97623,  2.85245,   28,        1,
(  7/5 | -3/5 ), 1.40000,-0.60000,  3.45841,  0.28524,   28,        2,
( -3/5 |  7/5 ),-0.60000, 1.40000, -1.48217,  3.13769,   29,        2,
( -4/5 | -3/5 ),-0.80000,-0.60000, -1.97623, -2.85245,   29,        1,
( -7/5 |  3/5 ),-1.40000, 0.60000, -3.45841, -0.28524,   29,        2,
(  3/5 |  4/5 ), 0.60000, 0.80000,  1.48217,  3.13769,   29,        3,
(  4/5 | -7/5 ), 0.80000,-1.40000,  1.97623, -2.85245,   29,        1,
(  7/5 | -4/5 ), 1.40000,-0.80000,  3.45841, -0.28524,   29,        3,
( -1/5 | -6/5 ),-0.20000,-1.20000, -0.49406, -3.70818,   30,        2,
( -6/5 |  7/5 ),-1.20000, 1.40000, -2.96435,  2.28196,   30,        3,
( -7/5 |  6/5 ),-1.40000, 1.20000, -3.45841,  1.42622,   30,        1,
(  1/5 | -7/5 ), 0.20000,-1.40000,  0.49406, -3.70818,   30,        3,
(  6/5 |  1/5 ), 1.20000, 0.20000,  2.96435,  2.28196,   30,        2,
(  7/5 | -1/5 ), 1.40000,-0.20000,  3.45841,  1.42622,   30,        1,
( -1/5 |  7/5 ),-0.20000, 1.40000, -0.49406,  3.70818,   31,        3,
( -6/5 | -1/5 ),-1.20000,-0.20000, -2.96435, -2.28196,   31,        2,
( -7/5 |  1/5 ),-1.40000, 0.20000, -3.45841, -1.42622,   31,        1,
(  1/5 |  6/5 ), 0.20000, 1.20000,  0.49406,  3.70818,   31,        2,
(  6/5 | -7/5 ), 1.20000,-1.40000,  2.96435, -2.28196,   31,        3,
(  7/5 | -6/5 ), 1.40000,-1.20000,  3.45841, -1.42622,   31,        1,
( -1   |  3/2 ),-1.00000, 1.50000, -2.47029,  2.85245,   32,        1,
( -1/2 | -1   ),-0.50000,-1.00000, -1.23515, -3.56556,   32,        3,
( -3/2 |  1   ),-1.50000, 1.00000, -3.70544,  0.71311,   32,        3,
(  1   |  1/2 ), 1.00000, 0.50000,  2.47029,  2.85245,   32,        1,
(  1/2 | -3/2 ), 0.50000,-1.50000,  1.23515, -3.56556,   32,        2,
(  3/2 | -1/2 ), 1.50000,-0.50000,  3.70544,  0.71311,   32,        2,
( -1   | -1/2 ),-1.00000,-0.50000, -2.47029, -2.85245,   33,        1,
( -1/2 |  3/2 ),-0.50000, 1.50000, -1.23515,  3.56556,   33,        2,
