# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Fe2O3(012)-(1x1).tlm
#
# Structure: Fe2O3(012)-(1x1)
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#        Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
# Surface lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(  0|  6),  0.00000,  6.00000,  0.00000,  6.94710,   59,        1,
(  1| -6),  1.00000, -6.00000,  1.24790, -6.94710,   60,        1,
( -1| -6), -1.00000, -6.00000, -1.24790, -6.94710,   60,        1,
(  1|  6),  1.00000,  6.00000,  1.24790,  6.94710,   61,        1,
( -1|  6), -1.00000,  6.00000, -1.24790,  6.94710,   61,        1,
(  5| -3),  5.00000, -3.00000,  6.23951, -3.47355,   62,        1,
( -5| -3), -5.00000, -3.00000, -6.23951, -3.47355,   62,        1,
(  5|  3),  5.00000,  3.00000,  6.23951,  3.47355,   63,        1,
( -5|  3), -5.00000,  3.00000, -6.23951,  3.47355,   63,        1,
(  2| -6),  2.00000, -6.00000,  2.49580, -6.94710,   64,        1,
( -2| -6), -2.00000, -6.00000, -2.49580, -6.94710,   64,        1,
(  2|  6),  2.00000,  6.00000,  2.49580,  6.94710,   65,        1,
( -2|  6), -2.00000,  6.00000, -2.49580,  6.94710,   65,        1,
(  6|  0),  6.00000,  0.00000,  7.48741, -0.00000,   66,        1,
( -6|  0), -6.00000,  0.00000, -7.48741,  0.00000,   66,        1,
(  6| -1),  6.00000, -1.00000,  7.48741, -1.15785,   67,        1,
( -6| -1), -6.00000, -1.00000, -7.48741, -1.15785,   67,        1,
(  6|  1),  6.00000,  1.00000,  7.48741,  1.15785,   68,        1,
( -6|  1), -6.00000,  1.00000, -7.48741,  1.15785,   68,        1,
(  4| -5),  4.00000, -5.00000,  4.99161, -5.78925,   69,        1,
( -4| -5), -4.00000, -5.00000, -4.99161, -5.78925,   69,        1,
(  4|  5),  4.00000,  5.00000,  4.99161,  5.78925,   70,        1,
( -4|  5), -4.00000,  5.00000, -4.99161,  5.78925,   70,        1,
(  5| -4),  5.00000, -4.00000,  6.23951, -4.63140,   71,        1,
( -5| -4), -5.00000, -4.00000, -6.23951, -4.63140,   71,        1,
(  5|  4),  5.00000,  4.00000,  6.23951,  4.63140,   72,        1,
( -5|  4), -5.00000,  4.00000, -6.23951,  4.63140,   72,        1,
(  6|  2),  6.00000,  2.00000,  7.48741,  2.31570,   73,        1,
( -6|  2), -6.00000,  2.00000, -7.48741,  2.31570,   73,        1,
(  6| -2),  6.00000, -2.00000,  7.48741, -2.31570,   74,        1,
