# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/tleedmap/guilib/leedsim/input examples/Ag(111)-(r3xr3)R30.tlm
#
# Structure: Ag(111)-(r3xr3)R30
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3); a = 2.8843 AA; alpha = 120.00 deg
#        Basis: a = [2.8843 0.0000]; b = [-1.4422  2.4979]
# Surface lattice: Hexagonal (p3); a = 4.9958 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.3265 2.4979]; b = [-4.3265  2.4979]
#            Superlattice: [[ 2  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -5/3| 10/3),-1.66667, 3.33333, -3.63068,  6.28853,   30,        1,
( 10/3| -5/3), 3.33333,-1.66667,  7.26136,  0.00000,   30,        1,
( -3  |  0  ),-3.00000, 0.00000, -6.53523, -3.77312,   31,        1,
(  0  |  3  ), 0.00000, 3.00000,  0.00000,  7.54623,   31,        1,
(  3  | -3  ), 3.00000,-3.00000,  6.53523, -3.77312,   31,        1,
( -3  |  3  ),-3.00000, 3.00000, -6.53523,  3.77312,   32,        1,
(  0  | -3  ), 0.00000,-3.00000,  0.00000, -7.54623,   32,        1,
(  3  |  0  ), 3.00000, 0.00000,  6.53523,  3.77312,   32,        1,
(-10/3|  2/3),-3.33333, 0.66667, -7.26136, -2.51541,   33,        1,
(  2/3|  8/3), 0.66667, 2.66667,  1.45227,  7.54623,   33,        1,
(  8/3|-10/3), 2.66667,-3.33333,  5.80909, -5.03082,   33,        1,
(-10/3|  8/3),-3.33333, 2.66667, -7.26136,  2.51541,   34,        1,
(  2/3|-10/3), 0.66667,-3.33333,  1.45227, -7.54623,   34,        1,
(  8/3|  2/3), 2.66667, 0.66667,  5.80909,  5.03082,   34,        1,
( -2/3| -8/3),-0.66667,-2.66667, -1.45227, -7.54623,   35,        1,
( -8/3| 10/3),-2.66667, 3.33333, -5.80909,  5.03082,   35,        1,
( 10/3| -2/3), 3.33333,-0.66667,  7.26136,  2.51541,   35,        1,
( -2/3| 10/3),-0.66667, 3.33333, -1.45227,  7.54623,   36,        1,
( -8/3| -2/3),-2.66667,-0.66667, -5.80909, -5.03082,   36,        1,
( 10/3| -8/3), 3.33333,-2.66667,  7.26136, -2.51541,   36,        1,
(-11/3|  4/3),-3.66667, 1.33333, -7.98750, -1.25771,   37,        1,
(  4/3|  7/3), 1.33333, 2.33333,  2.90455,  7.54623,   37,        1,
(  7/3|-11/3), 2.33333,-3.66667,  5.08295, -6.28853,   37,        1,
(-11/3|  7/3),-3.66667, 2.33333, -7.98750,  1.25771,   38,        1,
(  4/3|-11/3), 1.33333,-3.66667,  2.90455, -7.54623,   38,        1,
(  7/3|  4/3), 2.33333, 1.33333,  5.08295,  6.28853,   38,        1,
( -4/3| -7/3),-1.33333,-2.33333, -2.90455, -7.54623,   39,        1,
( -7/3| 11/3),-2.33333, 3.66667, -5.08295,  6.28853,   39,        1,
( 11/3| -4/3), 3.66667,-1.33333,  7.98750,  1.25771,   39,        1,
( -4/3| 11/3),-1.33333, 3.66667, -2.90455,  7.54623,   40,        1,
( -7/3| -4/3),-2.33333,-1.33333, -5.08295, -6.28853,   40,        1,
( 11/3| -7/3), 3.66667,-2.33333,  7.98750, -1.25771,   40,        1,
( -4  |  2  ),-4.00000, 2.00000, -8.71364,  0.00000,   41,        1,
(  2  | -4  ), 2.00000,-4.00000,  4.35682, -7.54623,   41,        1,
(  2  |  2  ), 2.00000, 2.00000,  4.35682,  7.54623,   41,        1,
( -2  | -2  ),-2.00000,-2.00000, -4.35682, -7.54623,   42,        1,
( -2  |  4  ),-2.00000, 4.00000, -4.35682,  7.54623,   42,        1,
(  4  | -2  ), 4.00000,-2.00000,  8.71364,  0.00000,   42,        1,
(-11/3|  1/3),-3.66667, 0.33333, -7.98750, -3.77312,   43,        1,
(  1/3| 10/3), 0.33333, 3.33333,  0.72614,  8.80394,   43,        1,
( 10/3|-11/3), 3.33333,-3.66667,  7.26136, -5.03082,   43,        1,
(-11/3| 10/3),-3.66667, 3.33333, -7.98750,  3.77312,   44,        1,
(  1/3|-11/3), 0.33333,-3.66667,  0.72614, -8.80394,   44,        1,
( 10/3|  1/3), 3.33333, 0.33333,  7.26136,  5.03082,   44,        1,
( -1/3|-10/3),-0.33333,-3.33333, -0.72614, -8.80394,   45,        1,
(-10/3| 11/3),-3.33333, 3.66667, -7.26136,  5.03082,   45,        1,
( 11/3| -1/3), 3.66667,-0.33333,  7.98750,  3.77312,   45,        1,
( -1/3| 11/3),-0.33333, 3.66667, -0.72614,  8.80394,   46,        1,
(-10/3| -1/3),-3.33333,-0.33333, -7.26136, -5.03082,   46,        1,
( 11/3|-10/3), 3.66667,-3.33333,  7.98750, -3.77312,   46,        1,
( -4  |  1  ),-4.00000, 1.00000, -8.71364, -2.51541,   47,        1,
(  1  |  3  ), 1.00000, 3.00000,  2.17841,  8.80394,   47,        1,
(  3  | -4  ), 3.00000,-4.00000,  6.53523, -6.28853,   47,        1,
( -4  |  3  ),-4.00000, 3.00000, -8.71364,  2.51541,   48,        1,
(  1  | -4  ), 1.00000,-4.00000,  2.17841, -8.80394,   48,        1,
(  3  |  1  ), 3.00000, 1.00000,  6.53523,  6.28853,   48,        1,
( -1  | -3  ),-1.00000,-3.00000, -2.17841, -8.80394,   49,        1,
( -3  |  4  ),-3.00000, 4.00000, -6.53523,  6.28853,   49,        1,
(  4  | -1  ), 4.00000,-1.00000,  8.71364,  2.51541,   49,        1,
( -1  |  4  ),-1.00000, 4.00000, -2.17841,  8.80394,   50,        1,
( -3  | -1  ),-3.00000,-1.00000, -6.53523, -6.28853,   50,        1,
(  4  | -3  ), 4.00000,-3.00000,  8.71364, -2.51541,   50,        1,
(-13/3|  5/3),-4.33333, 1.66667, -9.43977, -1.25771,   51,        1,
(  5/3|  8/3), 1.66667, 2.66667,  3.63068,  8.80394,   51,        1,
(  8/3|-13/3), 2.66667,-4.33333,  5.80909, -7.54623,   51,        1,
(-13/3|  8/3),-4.33333, 2.66667, -9.43977,  1.25771,   52,        1,
(  5/3|-13/3), 1.66667,-4.33333,  3.63068, -8.80394,   52,        1,
(  8/3|  5/3), 2.66667, 1.66667,  5.80909,  7.54623,   52,        1,
( -5/3| 13/3),-1.66667, 4.33333, -3.63068,  8.80394,   53,        1,
( -8/3| -5/3),-2.66667,-1.66667, -5.80909, -7.54623,   53,        1,
( 13/3| -8/3), 4.33333,-2.66667,  9.43977, -1.25771,   53,        1,
( -5/3| -8/3),-1.66667,-2.66667, -3.63068, -8.80394,   54,        1,
( -8/3| 13/3),-2.66667, 4.33333, -5.80909,  7.54623,   54,        1,
( 13/3| -5/3), 4.33333,-1.66667,  9.43977,  1.25771,   54,        1,
( -4  |  0  ),-4.00000, 0.00000, -8.71364, -5.03082,   55,        1,
(  0  |  4  ), 0.00000, 4.00000,  0.00000, 10.06164,   55,        1,
(  4  | -4  ), 4.00000,-4.00000,  8.71364, -5.03082,   55,        1,
( -4  |  4  ),-4.00000, 4.00000, -8.71364,  5.03082,   56,        1,
(  0  | -4  ), 0.00000,-4.00000,  0.00000,-10.06164,   56,        1,
(  4  |  0  ), 4.00000, 0.00000,  8.71364,  5.03082,   56,        1,
(-14/3|  7/3),-4.66667, 2.33333,-10.16591,  0.00000,   57,        1,
(  7/3|-14/3), 2.33333,-4.66667,  5.08295, -8.80394,   57,        1,
(  7/3|  7/3), 2.33333, 2.33333,  5.08295,  8.80394,   57,        1,
(-13/3|  2/3),-4.33333, 0.66667, -9.43977, -3.77312,   58,        1,
( 11/3|-13/3), 3.66667,-4.33333,  7.98750, -6.28853,   58,        1,
(  2/3| 11/3), 0.66667, 3.66667,  1.45227, 10.06164,   58,        1,
(-13/3| 11/3),-4.33333, 3.66667, -9.43977,  3.77312,   59,        1,
( 11/3|  2/3), 3.66667, 0.66667,  7.98750,  6.28853,   59,        1,
(  2/3|-13/3), 0.66667,-4.33333,  1.45227,-10.06164,   59,        1,
(-11/3| -2/3),-3.66667,-0.66667, -7.98750, -6.28853,   60,        1,
( -2/3| 13/3),-0.66667, 4.33333, -1.45227, 10.06164,   60,        1,
( 13/3|-11/3), 4.33333,-3.66667,  9.43977, -3.77312,   60,        1,
(-11/3| 13/3),-3.66667, 4.33333, -7.98750,  6.28853,   61,        1,
( -2/3|-11/3),-0.66667,-3.66667, -1.45227,-10.06164,   61,        1,
( 13/3| -2/3), 4.33333,-0.66667,  9.43977,  3.77312,   61,        1,
( -7/3| -7/3),-2.33333,-2.33333, -5.08295, -8.80394,   62,        1,
( -7/3| 14/3),-2.33333, 4.66667, -5.08295,  8.80394,   62,        1,
( 14/3| -7/3), 4.66667,-2.33333, 10.16591,  0.00000,   62,        1,
(-14/3| 10/3),-4.66667, 3.33333,-10.16591,  2.51541,   63,        1,
( 10/3|  4/3), 3.33333, 1.33333,  7.26136,  7.54623,   63,        1,
(  4/3|-14/3), 1.33333,-4.66667,  2.90455,-10.06164,   63,        1,
(-14/3|  4/3),-4.66667, 1.33333,-10.16591, -2.51541,   64,        1,
( 10/3|-14/3), 3.33333,-4.66667,  7.26136, -7.54623,   64,        1,
(  4/3| 10/3), 1.33333, 3.33333,  2.90455, 10.06164,   64,        1,
(-10/3| -4/3),-3.33333,-1.33333, -7.26136, -7.54623,   65,        1,
( -4/3| 14/3),-1.33333, 4.66667, -2.90455, 10.06164,   65,        1,
( 14/3|-10/3), 4.66667,-3.33333, 10.16591, -2.51541,   65,        1,
(-10/3| 14/3),-3.33333, 4.66667, -7.26136,  7.54623,   66,        1,
( -4/3|-10/3),-1.33333,-3.33333, -2.90455,-10.06164,   66,        1,
( 14/3| -4/3), 4.66667,-1.33333, 10.16591,  2.51541,   66,        1,
( -5  |  2  ),-5.00000, 2.00000,-10.89205, -1.25771,   67,        1,
(  2  |  3  ), 2.00000, 3.00000,  4.35682, 10.06164,   67,        1,
(  3  | -5  ), 3.00000,-5.00000,  6.53523, -8.80394,   67,        1,
( -5  |  3  ),-5.00000, 3.00000,-10.89205,  1.25771,   68,        1,
(  2  | -5  ), 2.00000,-5.00000,  4.35682,-10.06164,   68,        1,
(  3  |  2  ), 3.00000, 2.00000,  6.53523,  8.80394,   68,        1,
( -2  | -3  ),-2.00000,-3.00000, -4.35682,-10.06164,   69,        1,
( -3  |  5  ),-3.00000, 5.00000, -6.53523,  8.80394,   69,        1,
(  5  | -2  ), 5.00000,-2.00000, 10.89205,  1.25771,   69,        1,
( -2  |  5  ),-2.00000, 5.00000, -4.35682, 10.06164,   70,        1,
( -3  | -2  ),-3.00000,-2.00000, -6.53523, -8.80394,   70,        1,
(  5  | -3  ), 5.00000,-3.00000, 10.89205, -1.25771,   70,        1,
