# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ag(111)-(3xr3)rect - pm overlayer.tlm
#
# Structure: Ag(111)-(3xr3)rect - pm overlayer - all domains
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.8843 AA; alpha = 120.00 deg
#        Basis: a = [2.8843 0.0000]; b = [-1.4421  2.4979]
# Surface lattice: Rectangular (pm[1 0]); a = 8.6529 AA; b = 4.9958 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [8.6529 0.0000]; b = [0.0000 4.9958]
#            Superlattice: [[3 0] [1 2]]
# Domain 2 - Basis: a = [4.3265 7.4936]; b = [ 4.3264 -2.4979]
#            Superlattice: [[ 3  3] [ 1 -1]]
# Domain 3 - Basis: a = [ 4.3264 -7.4936]; b = [-4.3265 -2.4979]
#            Superlattice: [[ 0 -3] [-2 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  1  | -2  ), 1.00000,-2.00000,  2.17841, -3.77312,   34,    1+2+3,
(  1  |  1  ), 1.00000, 1.00000,  2.17841,  3.77312,   34,    1+2+3,
(  1  | -2  ), 1.00000,-2.00000,  2.17841, -3.77312,   35,    1+2+3,
(  1  |  1  ), 1.00000, 1.00000,  2.17841,  3.77312,   35,    1+2+3,
(  2  | -1  ), 2.00000,-1.00000,  4.35682, -0.00000,   35,    1+2+3,
(-11/6|  1/6),-1.83333, 0.16667, -3.99375, -1.88656,   36,        2,
(-11/6|  5/3),-1.83333, 1.66667, -3.99375,  1.88656,   36,        3,
( -5/3| -1/6),-1.66667,-0.16667, -3.63068, -2.51541,   36,        1,
( -5/3| 11/6),-1.66667, 1.83333, -3.63068,  2.51541,   36,        1,
(  1/6|-11/6), 0.16667,-1.83333,  0.36307, -4.40197,   36,        2,
(  1/6|  5/3), 0.16667, 1.66667,  0.36307,  4.40197,   36,        3,
( -1/6| -5/3),-0.16667,-1.66667, -0.36307, -4.40197,   37,        3,
( -1/6| 11/6),-0.16667, 1.83333, -0.36307,  4.40197,   37,        2,
( 11/6| -1/6), 1.83333,-0.16667,  3.99375,  1.88656,   37,        2,
( 11/6| -5/3), 1.83333,-1.66667,  3.99375, -1.88656,   37,        3,
(  5/3|-11/6), 1.66667,-1.83333,  3.63068, -2.51541,   37,        1,
(  5/3|  1/6), 1.66667, 0.16667,  3.63068,  2.51541,   37,        1,
( -1/2| -3/2),-0.50000,-1.50000, -1.08920, -4.40197,   38,        2,
( -1/2|  2  ),-0.50000, 2.00000, -1.08920,  4.40197,   38,        3,
( -2  |  1/2),-2.00000, 0.50000, -4.35682, -1.25771,   38,        1,
( -2  |  3/2),-2.00000, 1.50000, -4.35682,  1.25771,   38,        1,
( -3/2| -1/2),-1.50000,-0.50000, -3.26761, -3.14426,   38,        2,
( -3/2|  2  ),-1.50000, 2.00000, -3.26761,  3.14426,   38,        3,
(  1/2| -2  ), 0.50000,-2.00000,  1.08920, -4.40197,   39,        3,
(  1/2|  3/2), 0.50000, 1.50000,  1.08920,  4.40197,   39,        2,
(  2  | -1/2), 2.00000,-0.50000,  4.35682,  1.25771,   39,        1,
(  2  | -3/2), 2.00000,-1.50000,  4.35682, -1.25771,   39,        1,
(  3/2| -2  ), 1.50000,-2.00000,  3.26761, -3.14426,   39,        3,
(  3/2|  1/2), 1.50000, 0.50000,  3.26761,  3.14426,   39,        2,
( -5/6| -4/3),-0.83333,-1.33333, -1.81534, -4.40197,   40,        3,
( -5/6| 13/6),-0.83333, 2.16667, -1.81534,  4.40197,   40,        2,
( 13/6| -4/3), 2.16667,-1.33333,  4.71989, -0.62885,   40,        3,
( 13/6| -5/6), 2.16667,-0.83333,  4.71989,  0.62885,   40,        2,
(  4/3|-13/6), 1.33333,-2.16667,  2.90455, -3.77312,   40,        1,
(  4/3|  5/6), 1.33333, 0.83333,  2.90455,  3.77312,   40,        1,
(-13/6|  4/3),-2.16667, 1.33333, -4.71989,  0.62885,   41,        3,
(-13/6|  5/6),-2.16667, 0.83333, -4.71989, -0.62885,   41,        2,
( -4/3| -5/6),-1.33333,-0.83333, -2.90455, -3.77312,   41,        1,
( -4/3| 13/6),-1.33333, 2.16667, -2.90455,  3.77312,   41,        1,
(  5/6|-13/6), 0.83333,-2.16667,  1.81534, -4.40197,   41,        2,
(  5/6|  4/3), 0.83333, 1.33333,  1.81534,  4.40197,   41,        3,
( -2  |  0  ),-2.00000, 0.00000, -4.35682, -2.51541,   42,    1+2+3,
( -2  |  2  ),-2.00000, 2.00000, -4.35682,  2.51541,   42,    1+2+3,
(  0  | -2  ), 0.00000,-2.00000,  0.00000, -5.03082,   42,    1+2+3,
(  0  |  2  ), 0.00000, 2.00000,  0.00000,  5.03082,   42,    1+2+3,
(  0  | -2  ), 0.00000,-2.00000,  0.00000, -5.03082,   43,    1+2+3,
(  0  |  2  ), 0.00000, 2.00000,  0.00000,  5.03082,   43,    1+2+3,
(  2  | -2  ), 2.00000,-2.00000,  4.35682, -2.51541,   43,    1+2+3,
(  2  |  0  ), 2.00000, 0.00000,  4.35682,  2.51541,   43,    1+2+3,
(-11/6| -1/3),-1.83333,-0.33333, -3.99375, -3.14426,   44,        3,
(-11/6| 13/6),-1.83333, 2.16667, -3.99375,  3.14426,   44,        2,
(  1/3|-13/6), 0.33333,-2.16667,  0.72614, -5.03082,   44,        1,
(  1/3| 11/6), 0.33333, 1.83333,  0.72614,  5.03082,   44,        1,
( 13/6| -1/3), 2.16667,-0.33333,  4.71989,  1.88656,   44,        3,
( 13/6|-11/6), 2.16667,-1.83333,  4.71989, -1.88656,   44,        2,
( -1/3|-11/6),-0.33333,-1.83333, -0.72614, -5.03082,   45,        1,
( -1/3| 13/6),-0.33333, 2.16667, -0.72614,  5.03082,   45,        1,
(-13/6|  1/3),-2.16667, 0.33333, -4.71989, -1.88656,   45,        3,
(-13/6| 11/6),-2.16667, 1.83333, -4.71989,  1.88656,   45,        2,
( 11/6|-13/6), 1.83333,-2.16667,  3.99375, -3.14426,   45,        2,
( 11/6|  1/3), 1.83333, 0.33333,  3.99375,  3.14426,   45,        3,
( -7/3|  7/6),-2.33333, 1.16667, -5.08295,  0.00000,   46,        1,
( -7/6| -7/6),-1.16667,-1.16667, -2.54148, -4.40197,   46,        2,
( -7/6|  7/3),-1.16667, 2.33333, -2.54148,  4.40197,   46,        3,
(  7/3| -7/6), 2.33333,-1.16667,  5.08295, -0.00000,   47,        1,
(  7/6| -7/3), 1.16667,-2.33333,  2.54148, -4.40197,   47,        3,
(  7/6|  7/6), 1.16667, 1.16667,  2.54148,  4.40197,   47,        2,
( -5/3| -2/3),-1.66667,-0.66667, -3.63068, -3.77312,   48,    1+2+3,
( -5/3|  7/3),-1.66667, 2.33333, -3.63068,  3.77312,   48,    1+2+3,
( -7/3|  2/3),-2.33333, 0.66667, -5.08295, -1.25771,   49,    1+2+3,
( -7/3|  5/3),-2.33333, 1.66667, -5.08295,  1.25771,   49,    1+2+3,
( -2/3| -5/3),-0.66667,-1.66667, -1.45227, -5.03082,   50,    1+2+3,
( -2/3|  7/3),-0.66667, 2.33333, -1.45227,  5.03082,   50,    1+2+3,
(  7/3| -2/3), 2.33333,-0.66667,  5.08295,  1.25771,   51,    1+2+3,
(  7/3| -5/3), 2.33333,-1.66667,  5.08295, -1.25771,   51,    1+2+3,
(  2/3| -7/3), 0.66667,-2.33333,  1.45227, -5.03082,   52,    1+2+3,
(  2/3|  5/3), 0.66667, 1.66667,  1.45227,  5.03082,   52,    1+2+3,
(  5/3| -7/3), 1.66667,-2.33333,  3.63068, -3.77312,   53,    1+2+3,
(  5/3|  2/3), 1.66667, 0.66667,  3.63068,  3.77312,   53,    1+2+3,
( -3/2| -1  ),-1.50000,-1.00000, -3.26761, -4.40197,   54,        3,
( -3/2|  5/2),-1.50000, 2.50000, -3.26761,  4.40197,   54,        2,
(  1  | -5/2), 1.00000,-2.50000,  2.17841, -5.03082,   54,        1,
(  1  |  3/2), 1.00000, 1.50000,  2.17841,  5.03082,   54,        1,
(  5/2| -1  ), 2.50000,-1.00000,  5.44602,  0.62885,   54,        3,
(  5/2| -3/2), 2.50000,-1.50000,  5.44602, -0.62885,   54,        2,
( -1  | -3/2),-1.00000,-1.50000, -2.17841, -5.03082,   55,        1,
( -1  |  5/2),-1.00000, 2.50000, -2.17841,  5.03082,   55,        1,
( -5/2|  1  ),-2.50000, 1.00000, -5.44602, -0.62885,   55,        3,
( -5/2|  3/2),-2.50000, 1.50000, -5.44602,  0.62885,   55,        2,
(  3/2| -5/2), 1.50000,-2.50000,  3.26761, -4.40197,   55,        2,
(  3/2|  1  ), 1.50000, 1.00000,  3.26761,  4.40197,   55,        3,
( -1/6|-13/6),-0.16667,-2.16667, -0.36307, -5.65967,   56,        2,
( -1/6|  7/3),-0.16667, 2.33333, -0.36307,  5.65967,   56,        3,
(-13/6| -1/6),-2.16667,-0.16667, -4.71989, -3.14426,   56,        2,
(-13/6|  7/3),-2.16667, 2.33333, -4.71989,  3.14426,   56,        3,
( -7/3|  1/6),-2.33333, 0.16667, -5.08295, -2.51541,   56,        1,
( -7/3| 13/6),-2.33333, 2.16667, -5.08295,  2.51541,   56,        1,
(  1/6| -7/3), 0.16667,-2.33333,  0.36307, -5.65967,   57,        3,
(  1/6| 13/6), 0.16667, 2.16667,  0.36307,  5.65967,   57,        2,
( 13/6| -7/3), 2.16667,-2.33333,  4.71989, -3.14426,   57,        3,
( 13/6|  1/6), 2.16667, 0.16667,  4.71989,  3.14426,   57,        2,
(  7/3| -1/6), 2.33333,-0.16667,  5.08295,  2.51541,   57,        1,
(  7/3|-13/6), 2.33333,-2.16667,  5.08295, -2.51541,   57,        1,
( -2  | -1/2),-2.00000,-0.50000, -4.35682, -3.77312,   58,        1,
( -2  |  5/2),-2.00000, 2.50000, -4.35682,  3.77312,   58,        1,
( -5/2|  1/2),-2.50000, 0.50000, -5.44602, -1.88656,   58,        2,
( -5/2|  2  ),-2.50000, 2.00000, -5.44602,  1.88656,   58,        3,
(  1/2| -5/2), 0.50000,-2.50000,  1.08920, -5.65967,   58,        2,
(  1/2|  2  ), 0.50000, 2.00000,  1.08920,  5.65967,   58,        3,
( -1/2| -2  ),-0.50000,-2.00000, -1.08920, -5.65967,   59,        3,
( -1/2|  5/2),-0.50000, 2.50000, -1.08920,  5.65967,   59,        2,
(  2  | -5/2), 2.00000,-2.50000,  4.35682, -3.77312,   59,        1,
(  2  |  1/2), 2.00000, 0.50000,  4.35682,  3.77312,   59,        1,
(  5/2| -1/2), 2.50000,-0.50000,  5.44602,  1.88656,   59,        2,
(  5/2| -2  ), 2.50000,-2.00000,  5.44602, -1.88656,   59,        3,
( -4/3| -4/3),-1.33333,-1.33333, -2.90455, -5.03082,   60,    1+2+3,
( -4/3|  8/3),-1.33333, 2.66667, -2.90455,  5.03082,   60,    1+2+3,
( -8/3|  4/3),-2.66667, 1.33333, -5.80909,  0.00000,   60,    1+2+3,
(  4/3| -8/3), 1.33333,-2.66667,  2.90455, -5.03082,   61,    1+2+3,
(  4/3|  4/3), 1.33333, 1.33333,  2.90455,  5.03082,   61,    1+2+3,
(  4/3| -8/3), 1.33333,-2.66667,  2.90455, -5.03082,   62,    1+2+3,
(  4/3|  4/3), 1.33333, 1.33333,  2.90455,  5.03082,   62,    1+2+3,
(  8/3| -4/3), 2.66667,-1.33333,  5.80909, -0.00000,   62,    1+2+3,
(-11/6| -5/6),-1.83333,-0.83333, -3.99375, -4.40197,   63,        2,
(-11/6|  8/3),-1.83333, 2.66667, -3.99375,  4.40197,   63,        3,
